#    Source_Name                 SDSS_Name          RA_str         Dec_str               z             e_z         lgMstar    e_lgMstar_hi    e_lgMstar_lo             SFR        e_SFR_hi        e_SFR_lo            sSFR            Mgas          e_Mgas        LPrmCO10      e_LPrmCO10         deltaMS        deltaGas          lgMISM        cosmoAge
# 
              A1  SDSS_J234311.26+000524.3    23:43:11.257   +00:05:24.319        0.096941           7e-06           10.74             0.1           -0.09              30            10.5            -8.1            0.54        5.18e+09        2.12e+09        4.76e+09        1.95e+09          1.0093       0.0942605         9.71433         12.0762
              A2  SDSS_J231332.46+133845.3    23:13:32.468   +13:38:45.301        0.081196           8e-06           10.99             0.1            -0.1            28.4             5.9            -5.2            0.29       1.932e+10        6.73e+09        4.44e+09        1.55e+09        0.886765          0.1977          10.286         12.2627
              A3  SDSS_J233455.23+141731.0    23:34:55.239   +14:17:31.093        0.062168           1e-05           11.03             0.1           -0.09            21.5               9            -6.4             0.2       1.401e+10         4.5e+09        3.22e+09        1.03e+09        0.785822        0.130749         10.1464         12.4934
              A4  SDSS_J085504.16+525248.4    08:55:04.171   +52:52:48.320        0.089592         2.8e-05           10.92            0.06            -0.1            49.9             5.9            -4.6             0.6        2.45e+09        1.09e+09        2.25e+09        1.01e+09         1.15065       0.0294555         9.38917         12.1628
              A5  SDSS_J085307.26+121900.8    08:53:07.258   +12:19:00.827        0.080978         1.1e-05           11.01            0.13           -0.11            42.3             6.2            -6.3            0.42        7.75e+09        2.66e+09        7.12e+09        2.45e+09         1.04982       0.0757359          9.8893         12.2653
              A6  SDSS_J084549.66+573239.3    08:45:49.662   +57:32:39.329        0.085259           5e-06            10.8            0.01           -0.01            35.4            26.5              -9            0.56        1.35e+09         6.1e+08        1.24e+09         5.6e+08         1.07319       0.0213961         9.13033         12.2142
              A7  SDSS_J211527.81-081234.4    21:15:27.817   -08:12:34.441        0.090469           6e-06           10.86             0.1           -0.09            40.9            12.1            -8.7            0.57        2.81e+09        1.05e+09        2.58e+09         9.7e+08         1.09391       0.0387888         9.44871         12.1524
              A8  SDSS_J135751.77+140527.3    13:57:51.775   +14:05:27.317        0.099188         2.7e-05           11.21            0.11            -0.1             7.5             5.6            -2.8            0.05        9.14e+09        3.87e+09         2.1e+09         8.9e+08        0.155254       0.0563568         9.96095           12.05
              A9  SDSS_J105733.59+195154.2    10:57:33.589   +19:51:54.274        0.077338           7e-06           10.55             0.1           -0.09             3.7             1.8            -1.1             0.1        6.92e+09         2.7e+09        1.59e+09         6.2e+08         0.23857        0.195032         9.84011          12.309
             A10  SDSS_J141601.21+183434.1    14:16:01.216   +18:34:34.171        0.055121           8e-06           10.75            0.09           -0.09             5.1             2.2            -1.4            0.09        4.83e+09        2.42e+09        1.11e+09         5.6e+08        0.319948       0.0858909         9.68395         12.5804
             A11  SDSS_J100559.89+110919.6    10:05:59.890   +11:09:19.688        0.076055           6e-06           10.72            0.09           -0.08             8.9               5            -2.4            0.17        8.09e+09        2.69e+09        1.86e+09         6.2e+08        0.533963        0.154152         9.90795         12.3244
             A12  SDSS_J111150.65+281147.7    11:11:50.654   +28:11:47.767        0.098171         1.2e-05           10.55            0.11           -0.09             3.4             6.1            -1.9             0.1        6.92e+09        3.09e+09        1.59e+09         7.1e+08        0.161249        0.195032         9.84011         12.0619
             A13  SDSS_J221938.11+134213.9    22:19:38.115   +13:42:13.890        0.083503         1.2e-05           11.06            0.11            -0.1            11.7            12.8            -5.8             0.1       3.112e+10       1.102e+10        7.15e+09        2.53e+09         0.46025        0.271044          10.493         12.2351
              B1  SDSS_J223528.63+135812.6    22:35:28.638   +13:58:12.619        0.183193         1.7e-05           11.43            0.12           -0.13            88.2           129.9           -50.5            0.33       8.095e+10       2.468e+10        1.86e+10        5.67e+09        0.936159        0.300758         10.9082         11.1224
              B2  SDSS_J002353.97+155947.8    00:23:53.973   +15:59:47.757        0.191773           2e-05           11.29            0.12           -0.11            54.6            30.1           -22.5            0.28       5.745e+10       1.752e+10        1.32e+10        4.03e+09        0.788663        0.294639         10.7593         11.0334
              B3  SDSS_J100518.63+052544.2    10:05:18.640   +05:25:44.225        0.165737         1.2e-05           10.79            0.09           -0.09            47.1            55.9           -23.3            0.76         6.5e+09        2.01e+09        5.97e+09        1.85e+09         1.04765        0.105418         9.81291         11.3066
              B4  SDSS_J105527.18+064015.0    10:55:27.188   +06:40:15.025        0.173078         1.3e-05           11.02            0.11            -0.1            49.7            82.8           -28.7            0.47        7.61e+09         2.3e+09        6.99e+09        2.12e+09        0.931629       0.0726749         9.88138         11.2286
              B5  SDSS_J115744.35+120750.8    11:57:44.348   +12:07:50.792        0.182661           1e-05           11.24             0.1           -0.09            51.1            19.3           -14.5            0.29       4.657e+10       1.406e+10        1.07e+10        3.23e+09        0.804769        0.267982         10.6681         11.1279
              B6  SDSS_J124252.54+130944.2    12:42:52.548   +13:09:44.215        0.174661         1.3e-05           10.83            0.23           -0.12            59.2            15.9            -9.5            0.87        5.68e+09        1.78e+09        5.22e+09        1.63e+09         1.10886       0.0840134         9.75435         11.2119
              B7  SDSS_J091426.24+102409.6    09:14:26.239   +10:24:09.649         0.17618         1.8e-05           11.45             0.1            -0.1            61.5            83.6             -36            0.22       3.921e+10       1.193e+10        9.01e+09        2.74e+09        0.782346        0.139122         10.5934         11.1959
              B8  SDSS_J114649.18+243647.7    11:46:49.182   +24:36:47.703        0.176579         2.1e-05           11.07            0.11           -0.09           106.1           149.5           -81.1            0.89        3.71e+09        1.24e+09        3.41e+09        1.14e+09         1.22702       0.0315772         9.56937         11.1917
              B9  SDSS_J134322.28+181114.1    13:43:22.288   +18:11:14.135        0.178004         1.9e-05           11.35            0.12           -0.12            67.7            84.8           -37.5             0.3       2.624e+10        8.08e+09        6.03e+09        1.86e+09        0.875396         0.11721          10.419         11.1767
             B10  SDSS_J130529.30+222019.8    13:05:29.304   +22:20:19.867        0.190227           1e-05           10.96            0.09            -0.1              75            19.7           -15.8            0.82        1.01e+10        3.06e+09        9.28e+09        2.81e+09         1.11185        0.110744         10.0043         11.0493
              C1  SDSS_J092831.94+252313.9    09:28:31.941   +25:23:13.925         0.28302         2.2e-05           11.24             0.1           -0.11            38.7            85.9           -25.6            0.22        3.59e+10       1.231e+10        8.25e+09        2.83e+09        0.505191        0.206583         10.5551         10.1464
              C2  SDSS_J090636.69+162807.1    09:06:36.694   +16:28:07.136        0.300622           1e-05            11.2            0.29           -0.14            57.5            90.1           -21.9            0.37       4.657e+10       1.411e+10        1.07e+10        3.24e+09        0.671319        0.293837         10.6681         9.98704
              C3  SDSS_J132047.13+160643.7    13:20:47.139   +16:06:43.720        0.312361         1.4e-05           11.46            0.25           -0.12            64.9           142.9             -28            0.23       9.444e+10        2.84e+10        2.17e+10        6.53e+09         0.55341        0.327458         10.9752         9.88277
              C4  SDSS_J133849.18+403331.7    13:38:49.189   +40:33:31.748         0.28538         1.5e-05           11.26            0.18           -0.12            50.5            48.1           -15.4            0.28       5.353e+10       1.618e+10        1.23e+10        3.72e+09          0.6053        0.294169         10.7286         10.1248
  zCOSMOS_811469  SDSS_J100055.81+015703.8     10:00:55.82    +01:57:03.84          0.4741        0.000367            10.6            0.15           -0.15            62.2            77.1           -34.4            1.55        9.53e+09        4.27e+09        4.38e+09        1.96e+09        0.822859        0.239383         9.97909         8.59341
  zCOSMOS_811543  SDSS_J100052.41+014833.0     10:00:52.41    +01:48:32.92          0.5279        0.000367           10.69            0.15           -0.15            71.9            89.1           -39.8            1.47        9.68e+09        4.34e+09        4.45e+09           2e+09        0.767399         0.19764         9.98588         8.21883
  COSMOS_2019408  SDSS_J095939.07+022249.6     09:59:39.07    +02:22:49.94          0.4708        0.000367           10.73            0.15           -0.15            78.7            97.5           -43.5            1.47        9.49e+09        4.25e+09        4.36e+09        1.96e+09        0.848909        0.176712         9.97727          8.6172
  zCOSMOS_840823  SDSS_J095900.61+022833.0     09:59:00.62    +02:28:33.20          0.4778        0.000367           10.74            0.15           -0.15            74.4            92.1           -41.2            1.36       1.497e+10        6.71e+09        6.88e+09        3.09e+09        0.809828        0.272409         10.1752         8.56686
