# Source          SCUBA2_850_mJy
NGC0024           0.00
NGC0337           349.00
NGC0584           0.00
NGC0628           0.00
NGC0855           0.00
NGC0925           0.00
NGC1097           1440.00
NGC1266           0.00
NGC1291           0.00
NGC1316           0.00
NGC1377           0.00
NGC1404           0.00
IC0342            0.00
NGC1482           330.00
NGC1512           0.00
NGC1566           0.00
NGC1705           0.00
NGC2146           0.00
NGC2403           0.00
HoII              0.00
M81dwA            0.00
DDO053            0.00
NGC2798           194.00
NGC2841           0.00
NGC2915           0.00
HoI               0.00
NGC2976           609.00
NGC3049           0.00
NGC3031           0.00
NGC3034           5510.00
HoIX              0.00
NGC3077           0.00
M81dwB            0.00
NGC3190           189.00
NGC3184           0.00
NGC3198           0.00
IC2574            0.00
NGC3265           0.00
Mrk33             40.00
NGC3351           0.00
NGC3521           2100.00
NGC3621           0.00
NGC3627           1860.00
NGC3773           0.00
NGC3938           0.00
NGC4125           0.00
NGC4236           0.00
NGC4254           1000.00
NGC4321           875.00
NGC4450           0.00
NGC4536           414.00
NGC4552           0.00
NGC4559           0.00
NGC4569           464.00
NGC4579           439.00
NGC4594           372.00
NGC4625           0.00
NGC4631           5730.00
NGC4725           0.00
NGC4736           1530.00
DDO154            0.00
NGC4826           1230.00
DDO165            0.00
NGC5033           1090.00
NGC5055           0.00
NGC5194           2610.00
NGC5195           259.00
NGC5398           0.00
NGC5457           0.00
NGC5408           0.00
NGC5474           0.00
NGC5713           572.00
NGC5866           140.00
IC4710            0.00
NGC6822           0.00
NGC6946           2980.00
NGC7331           2110.00
NGC7552           795.00
NGC7793           0.00
