# Source          SPIRE_500_mJy
NGC0024           0.00
NGC0337           1580.00
NGC0584           0.00
NGC0628           11400.00
NGC0855           222.00
NGC0925           6520.00
NGC1097           10600.00
NGC1266           402.00
NGC1291           3090.00
NGC1316           707.00
NGC1377           163.00
NGC1404           0.00
IC0342            92200.00
NGC1482           1760.00
NGC1512           3630.00
NGC1566           0.00
NGC1705           0.00
NGC2146           6810.00
NGC2403           27900.00
HoII              284.00
M81dwA            0.00
DDO053            0.00
NGC2798           853.00
NGC2841           5890.00
NGC2915           204.00
HoI               108.00
NGC2976           4420.00
NGC3049           644.00
NGC3031           36400.00
NGC3034           45600.00
HoIX              0.00
NGC3077           2370.00
M81dwB            42.60
NGC3190           1180.00
NGC3184           5770.00
NGC3198           4030.00
IC2574            1650.00
NGC3265           194.00
Mrk33             0.00
NGC3351           4800.00
NGC3521           16400.00
NGC3621           12300.00
NGC3627           12000.00
NGC3773           155.00
NGC3938           3650.00
NGC4125           239.00
NGC4236           3560.00
NGC4254           8330.00
NGC4321           9010.00
NGC4450           0.00
NGC4536           4620.00
NGC4552           0.00
NGC4559           5290.00
NGC4569           3090.00
NGC4579           2970.00
NGC4594           4770.00
NGC4625           549.00
NGC4631           20100.00
NGC4725           6480.00
NGC4736           9010.00
DDO154            0.00
NGC4826           5160.00
DDO165            0.00
NGC5033           0.00
NGC5055           22100.00
NGC5194           29400.00
NGC5195           1520.00
NGC5398           489.00
NGC5457           38800.00
NGC5408           147.00
NGC5474           1340.00
NGC5713           1930.00
NGC5866           965.00
IC4710            0.00
NGC6822           0.00
NGC6946           36200.00
NGC7331           13900.00
NGC7552           0.00
NGC7793           11700.00
