# Galaxy            Distance       S_CO10  logLPrmCO10      logMmol        S_350        S_500        S_850           L_850        alpha850      In_Scoville2014   In_Groves2015   In_Gao2004           Ref_CO
Antennae                21.4         2000         9.35        10.16        14.06         4.69        0.803        0.440e30         0.30e20      0                 0               0               "Young1995"
IC342                    3.4        29220         8.92         9.73       247.95        96.90       16.886        0.233e30         0.44e20      0                 0               1               "Young1995"
NGC0628                 11.4         2160         8.83         9.65        29.07        12.64        2.185        0.340e30         0.76e20      0                 1               0               "Young1995"
NGC1482                 22.0          560         8.82         9.63         6.03         2.10        0.359        0.208e30         0.48e20      0                 0               0               "Young1995"
NGC2146                 15.0         2840         9.19        10.01        22.13         7.08        1.220        0.328e30         0.32e20      0                 1               1               "Young1995"
NGC2798                 24.7          440         8.82         9.63         2.76         1.03        0.175        0.128e30         0.30e20      0                 1               0               "Young1995"
NGC2841                  9.8         1870         8.64         9.45        15.20         6.66        1.153        0.132e30         0.47e20      0                 1               0               "Young1995"
NGC2976                  3.6          610         7.27         8.09        11.11         4.55        0.793        0.012e30         0.98e20      0                 1               0               "Young1995"
NGC3184                  8.1         1120         8.25         9.07        14.53         6.39        1.109        0.087e30         0.75e20      0                 1               0               "Young1995"
NGC3351                  9.3          700         8.17         8.98        13.01         5.05        0.876        0.091e30         0.95e20      0                 1               0               "Young1995"
NGC3521                  9.0         4920         8.99         9.80        44.84        18.43        3.194        0.309e30         0.49e20      0                 1               0               "Young1995"
NGC3627                  8.9         4660         8.95         9.77        35.72        13.68        2.371        0.225e30         0.38e20      0                 1               0               "Young1995"
NGC3938                 14.0         1750         8.92         9.73         9.78         4.12        0.711        0.167e30         0.31e20      0                 1               0               "Young1995"
NGC4254                 20.0         3000         9.47        10.28        25.27         8.70        1.493        0.714e30         0.38e20      0                 1               0               "Young1995"
NGC4321                 20.0         3340         9.51        10.33        26.50        10.26        1.760        0.842e30         0.40e20      0                 1               0               "Young1995"
NGC4536                 25.0          740         9.05         9.86        11.97         5.25        0.897        0.670e30         0.92e20      0                 1               0               "Young1995"
NGC4569                 20.0         1500         9.16         9.98         8.94         3.49        0.598        0.286e30         0.30e20      0                 1               0               "Young1995"
NGC4579                 20.0          910         8.95         9.76         8.43         3.36        0.577        0.276e30         0.48e20      0                 1               0               "Young1995"
NGC4631                  9.0         1740         8.54         9.35        51.77        22.80        3.952        0.383e30         1.72e20      1                 1               1               "Young1995"
NGC4725                 17.1         1950         9.14         9.96        15.77         7.53        1.296        0.453e30         0.50e20      0                 1               0               "Young1995"
NGC4736                  5.3         2560         8.24         9.06        26.60        11.21        1.950        0.066e30         0.58e20      0                 1               0               "Young1995"
NGC4826                  5.6         2170         8.22         9.03        15.58         5.99        1.041        0.039e30         0.36e20      0                 0               1               "Young1995"
NGC5055                  8.2         5670         8.97         9.78        60.99        24.80        4.301        0.346e30         0.57e20      0                 1               1               "Young1995"
NGC5194                  8.2         9210         9.18         9.99        62.60        21.28        3.691        0.297e30         0.30e20      0                 0               0               "Young1995"
NGC5713                 26.6          680         9.07         9.88         6.07         2.18        0.372        0.315e30         0.41e20      0                 1               1               "Young1995"
NGC5866                 12.5          250         7.98         8.79         2.98         1.08        0.187        0.035e30         0.57e20      0                 0               0               "Young1995"
NGC6946                  5.5        12370         8.96         9.77       103.55        40.66        7.071        0.256e30         0.43e20      0                 1               1               "Young1995"
NGC7331                 14.7         4160         9.34        10.15        38.57        15.68        2.702        0.700e30         0.49e20      1                 1               1               "Young1995"
IZW107                 170.0          -99         9.62        10.44         0.72         0.20        0.029        1.014e30         0.37e20      1                 0               0                       "1"
Arp148                 143.0          -99         9.54        10.35         0.92         0.27        0.040        0.988e30         0.44e20      1                 0               0                       "1"
Arp220                  79.0          -99         9.76        10.57        10.89         3.60        0.584        4.359e30         1.16e20      1                 0               0                     "1,2"
IRASF05189-2           168.0          -99         9.72        10.53         0.59         0.16        0.023        0.790e30         0.23e20      0                 0               0                       "1"
IRASF08572+3           232.0          -99         9.13         9.94         0.16         0.05        0.007        0.429e30         0.49e20      0                 0               0                     "3,2"
IRASF10565+2           176.0          -99         9.73        10.54         1.15         0.32        0.047        1.749e30         0.50e20      0                 0               0                     "1,2"
IRASF12112+0           292.0          -99         9.96        10.77         0.65         0.19        0.024        2.489e30         0.42e20      1                 0               0                       "1"
IRASF14348-1           330.0          -99        10.12        10.93         0.61         0.17        0.022        2.834e30         0.33e20      0                 0               0                       "1"
IRASF22491-1           301.0          -99         9.77        10.58         0.24         0.06        0.008        0.866e30         0.23e20      0                 0               0                       "1"
Mrk231                 174.0          -99         9.72        10.53         1.83         0.51        0.076        2.741e30         0.80e20      1                 0               0                     "1,2"
Mrk273                 153.0          -99         9.67        10.49         1.36         0.37        0.055        1.551e30         0.51e20      1                 0               0                     "2,3"
