# ID   Source                      RA_hms      Dec_dms    z      LineName   ObsFreq  flag_SCO   SCO  e_SCO      V  e_V  DVFWHM  e_DVFWHM  flag_LCO      LCO     lgLIR   S20cm   lgMstar 
  12  "SDSS J092527.80+001837.1"   09:25:27.8  +00:18:37  0.812  "CO(3-2)"  190.837       " "   4.8  1.4       20   36     271   102           " "  1.93e10     12.79     -99   10.42   
  13  "SDSS J093741.65+385752.6"   09:37:41.6  +38:57:53  0.621  "CO(2-1)"  142.220       "<"   0.   0.8      -99  -99     -99   -99           "<"   0.4e10     12.83     0.7   11.43   
  14  "IRAS F10398+3247"           10:42:40.8  +32:31:31  0.633  "CO(2-1)"  141.175       " "   1.1  0.2        1   15     122    29           " "  0.61e10     12.94     6.3   10.62   
2014  "IRAS F10398+3247"           10:42:40.8  +32:31:31  0.633  "CO(4-3)"  282.327       " "   3.7  0.9      -82   65     493    99           " "  0.49e10       -99     -99     -99   
  16  "SBS 1148+549"               11:51:20.4  +54:37:33  0.975  "CO(2-1)"  116.704       "<"   0.   3.2      -99  -99     -99   -99           "<"   4.2e10     13.33     4.5   12.66   
2016  "SBS 1148+549"               11:51:20.4  +54:37:33  0.975  "CO(4-3)"  233.389       " "  10.3  1.6      521   31     483   103           " "  3.36e10       -99     -99     -99   
  18  "3C 280"                     12:56:57.1  +47:20:20  0.996  "CO(4-3)"  230.982       "<"   0.   2.0      -99  -99     -99   -99           "<"   0.7e10     12.95  5100.0   10.33   
  20  "3C 289"                     13:45:26.4  +49:46:33  0.967  "CO(4-3)"  234.340       "<"   0.   1.8      -99  -99     -99   -99           "<"   0.6e10     12.82  2400.0   11.66   
  21  "SDSS J144642.28+011303.0"   14:46:42.3  +01:13:03  0.725  "CO(2-1)"  133.614       "<"   0.   0.8      -99  -99     -99   -99           "<"   0.6e10     12.60     5.9   11.54   
  22  "SDSS J144953.69+444150.3"   14:49:53.7  +44:41:50  0.670  "CO(2-1)"  138.047       " "   1.8  0.4     -656   25     249    57           " "  1.11e10     12.68    11.0   10.04   
2022  "SDSS J144953.69+444150.3"   14:49:53.7  +44:41:50  0.670  "CO(4-3)"  276.072       " "   6.0  0.9     -685   16     214    33           " "  0.91e10       -99     -99     -99   
  23  "IRAS F14537+1950"           14:56:04.4  +19:38:46  0.640  "CO(2-1)"  140.572       "<"   0.   1.0      -99  -99     -99   -99           "<"   0.6e10     12.79     -99   10.29   
  25  "SDSS J153244.01+324246.6"   15:32:44.0  +32:42:47  0.926  "CO(4-3)"  239.415       "<"   0.   3.0      -99  -99     -99   -99           "<"   0.9e10     13.40     5.9   11.36   
  26  "SDSS J160222.38+164353.7"   16:02:22.4  +16:43:54  0.672  "CO(2-1)"  137.882       "<"   0.   1.2      -99  -99     -99   -99           "<"   0.7e10     12.59     1.9   11.85   
  27  "SDSS J160825.24+543809.8"   16:08:25.2  +54:38:10  0.907  "CO(3-2)"  181.330       " "   1.5  0.3     -128   28     211    60           " "  0.77e10     12.82     0.2   11.25   
  28  "CFN1 078"                   16:12:37.0  +54:28:51  0.910  "CO(4-3)"  241.383       "<"   0.   2.2      -99  -99     -99   -99           "<"   0.6e10     12.80     -99   10.14   
  29  "SDSS J161422.14+323403.6"   16:14:22.1  +32:34:04  0.710  "CO(2-1)"  134.818       " "   4.4  0.5       68   18     373    48           " "  3.02e10     12.84     1.2   11.39   
2029  "SDSS J161422.14+323403.6"   16:14:22.1  +32:34:04  0.710  "CO(4-3)"  269.614       " "   8.4  1.6       40   38     421    85           " "  1.43e10       -99     -99     -99   
  30  "SDSS J172507.39+370932.1"   17:25:07.4  +37:09:32  0.689  "CO(2-1)"  136.494       " "   2.4  0.4     -133   21     267    43           " "  1.52e10     12.92     2.3   11.04   
2030  "SDSS J172507.39+370932.1"   17:25:07.4  +37:09:32  0.689  "CO(4-3)"  272.967       " "   1.3  0.4      -32    6      44    26           " "  0.21e10       -99     -99     -99   
  32  "IRAS 17548+6706"            17:54:49.6  +67:05:57  0.919  "CO(4-3)"  240.251       "<"   0.   1.8      -99  -99     -99   -99           "<"   0.5e10     13.48     -99   10.72   
  34  "IRAS Z21293-0154"           21:31:53.5  -01:41:43  0.730  "CO(2-1)"  133.259       " "   3.6  0.5      -60   41     569    96           " "  2.58e10     13.07     2.7   10.84   
2034  "IRAS Z21293-0154"           21:31:53.5  -01:41:43  0.730  "CO(4-3)"  266.498       " "   4.8  1.1      -34   52     414   104           " "  0.87e10       -99     -99     -99   
  35  "PG 0044+030"                00:47:05.9  +03:19:55  0.623  "CO(2-1)"  142.022       " "   1.8  0.5       93   19     182    70           " "  0.93e10     12.41   166.4   11.79   
  36  "EGS70-158"                  14:21:37.5  +53:17:18  0.930  "CO(4-3)"  238.881       "<"   0.   3.6      -99  -99     -99   -99           "<"   1.1e10     12.66     -99   11.62   
  37  "EGS70-124"                  14:22:39.2  +53:24:21  0.850  "CO(4-3)"  249.211       "<"   0.   2.8      -99  -99     -99   -99           "<"   0.7e10     12.21     -99   11.29   
  38  "SDSS J142301.15+532419.2"   14:23:01.1  +53:24:19  0.660  "CO(2-1)"  138.878       "<"   0.   1.4      -99  -99     -99   -99           "<"   0.8e10     12.04     -99   10.83   
  39  "SDSS J142348.80+533006.3"   14:23:48.8  +53:30:06  0.770  "CO(2-1)"  130.247       "<"   0.   1.2      -99  -99     -99   -99           "<"   1.0e10     12.25     -99   12.19   
  40  "EGS70-067"                  14:24:30.1  +53:35:43  0.960  "CO(4-3)"  235.225       "<"   0.   1.8      -99  -99     -99   -99           "<"   0.6e10     12.42     -99   11.69   
  41  "EGS70-058"                  14:25:02.8  +53:31:25  0.690  "CO(2-1)"  136.413       "<"   0.   1.0      -99  -99     -99   -99           "<"   0.7e10     12.15     -99   11.77   
  42  "SDSS J143047.32+602304.4"   14:30:47.3  +60:23:04  0.607  "CO(2-1)"  143.472       " "   2.3  0.4      -98   93    1001   244           " "  1.12e10     12.41    15.0   11.86   
  43  "SDSS J143151.84+324327.9"   14:31:51.8  +32:43:28  0.660  "CO(2-1)"  138.878       " "   4.7  0.6      560   23     385    49           " "  2.75e10     12.38     -99   11.05   
  44  "SDSS J143820.76+340234.3"   14:38:20.7  +34:02:34  0.670  "CO(2-1)"  138.047       " "   5.9  1.0       60   36     415    72           " "  3.59e10     12.57     -99   11.38   
  45  "SDSS J172228.04+601526.0"   17:22:28.0  +60:15:26  0.742  "CO(2-1)"  132.345       "<"   0.   1.8      -99  -99     -99   -99           "<"   1.4e10     12.47     1.2   11.67   
  46  "SDSS J171302.41+593611.1"   17:13:02.4  +59:36:11  0.668  "CO(2-1)"  138.212       "<"   0.   1.4      -99  -99     -99   -99           "<"   0.9e10     12.39     4.6   10.72   
  47  "SDSS J171312.08+600840.4"   17:13:12.0  +60:08:40  0.759  "CO(2-1)"  131.030       " "   3.1  0.7       46   46     437   153           " "  2.45e10     12.34     0.5   11.31   
