# ID   Source                      RA_hms      Dec_dms    z      LineName   ObsFreq  flag_SCO   SCO  e_SCO      V  e_V  DVFWHM  e_DVFWHM  flag_LCO      LCO     lgLIR   S20cm   lgMstar 
   1  "SDSS J005009.81-003900.5"   00:50:09.8  -00:39:01  0.727  "CO(2-1)"  133.490       " "   2.1  0.3      354   37     469    73           " "  1.53e10     13.09     4.3   10.84   
2001  "SDSS J005009.81-003900.5"   00:50:09.8  -00:39:01  0.727  "CO(4-3)"  266.960       " "   4.1  1.1      428   96     702   208           " "  0.74e10       -99     -99     -99   
   2  "FF J0139+0115"              01:39:27.4  +01:15:52  0.612  "CO(2-1)"  143.014       "<"   0.   1.2      -99  -99     -99   -99           "<"   0.6e10     12.77     9.0   10.58   
   3  "IRAS Z02317-0152"           02:34:21.8  -01:39:01  0.645  "CO(2-1)"  140.145       "<"   0.   1.0      -99  -99     -99   -99           "<"   0.6e10     12.51    70.3    9.58   
   4  "SDSS J014612.79+005112.4"   01:46:12.8  +00:51:12  0.622  "CO(4-3)"  284.242       "<"   0.   1.0      -99  -99     -99   -99           "<"   0.1e10     12.32     -99   11.55   
   5  "IRAS Z02433+0110"           02:45:55.5  +01:23:29  0.798  "CO(4-3)"  256.419       "<"   0.   3.0      -99  -99     -99   -99           "<"   0.7e10     13.12     2.0   10.84   
   8  "SDSS J080430.99+360718.1"   08:04:31.0  +36:07:18  0.656  "CO(2-1)"  139.196       "<"   0.   1.2      -99  -99     -99   -99           "<"   0.7e10     12.58    73.7   10.71   
   9  "SDSS J081929.48+522345.2"   08:19:29.5  +52:23:45  0.624  "CO(2-1)"  141.957       "<"   0.   1.0      -99  -99     -99   -99           "<"   0.5e10     12.72     2.6   10.20   
  10  "SDSS J084846.34+022034.1"   08:48:46.3  +02:20:34  0.627  "CO(2-1)"  141.698       " "   1.3  0.2      132   27     291    64           " "  0.68e10     12.51     1.1   10.59   
  11  "SDSS J091501.71+241812.1"   09:15:01.7  +24:18:12  0.840  "CO(4-3)"  250.566       "<"   0.   4.1      -99  -99     -99   -99           "<"   1.0e10     13.03     9.3   11.01   
