# lgMstar_Lo  lgMstar_Hi  lgMstar  Ngal  metalZ_PP04_N2  metalZ_PP04_N2_err  metalZ_PP04_N2_med  metalZ_PP04_N2_stack  metalZ_PP04_N2_stack_eLo  metalZ_PP04_N2_stack_eHi
  8.60        9.00        8.87     8     8.20            0.10                8.21                8.13                  +0.05                     -0.06
  9.00        9.50        9.34     35    8.23            0.03                8.20                8.25                  +0.03                     -0.07
  9.50        9.80        9.69     48    8.31            0.03                8.33                8.30                  +0.03                     -0.02
  9.80        10.00       9.87     34    8.35            0.02                8.35                8.36                  +0.04                     -0.03
  10.00       10.25       10.11    39    8.38            0.02                8.39                8.42                  +0.02                     -0.04
  10.25       10.50       10.37    32    8.47            0.03                8.49                8.49                  +0.03                     -0.04
  10.50       11.00       10.66    39    8.51            0.03                8.54                8.53                  +0.03                     -0.02
  11.00       11.60       11.19    8     8.65            0.02                8.67                8.67                  +0.09                     -0.09
