# ID         lgL_Halpha     lgL_Kband     lgL_IR     lgM_dust    lgM_star     lgM_HI        lgM_H2   SFR
  64         -99            10.19         8.71       6.59        9.38         8.76          -99      0.06966   
  65         -99            10.29         9.03       6.56        9.46         9.27          -99      0.27295   
  66         39.38          11.04         10.12      7.3         10.15        9.40          9.07     1.81949   
  67         -99            10.14         8.76       6.57        9.27         8.96          -99      0.15135   
  68         -99            9.97          8.97       5.87        9.16         8.01          -99      0.11025   
  69         38.74          11.4          9.0        7.14        10.65        9.49          8.05     0.07897   
  70         38.92          10.18         9.11       6.55        9.28         8.92          -99      0.33333   
  71         -99            11.43         8.94       7.22        10.55        -99           8.09     0.001604  
  72         -99            10.2          9.15       6.51        9.27         9.23          -99      0.36979   
  73         38.09          11.44         10.01      7.77        10.73        9.40          9.32     0.70618   
  74         39.14          10.81         9.78       6.92        9.9          9.12          8.85     0.99546   
  75         -99            9.87          8.11       6.39        9.17         8.65          -99      0.00868   
  76         38.37          9.78          8.43       6.07        8.96         8.63          -99      0.11008   
  77         39.4           11.65         10.5       7.96        10.82        9.82          9.29     3.83381   
  78         38.96          10.3          9.0        6.61        9.46         9.23          8.74     0.21552   
  79         38.1           10.04         8.93       6.31        9.15         9.12          -99      0.22143   
  80         38.89          10.5          8.69       6.61        9.47         8.53          -99      0.07175   
  81         38.36          10.93         9.86       7.12        10.18        9.08          9.15     0.62496   
  82         -99            9.87          8.56       5.83        8.79         8.07          -99      0.05461   
  83         -99            9.8           8.4        5.82        8.93         8.09          -99      0.05923   
  84         39.49          10.43         8.97       6.42        9.76         8.52          8.39     0.14092   
  85         38.37          11.28         9.92       7.32        10.4         9.38          9.04     0.86625   
  86         38.19          10.27         9.45       7.21        9.75         9.54          8.67     0.65953   
  87         -99            10.92         8.72       6.25        10.31        7.34          -99      0.01464   
  88         38.36          11.21         9.8        7.44        10.03        9.58          8.81     1.03332   
  89         38.52          10.72         9.69       7.55        10.02        9.63          8.41     0.93302   
  90         -99            11.17         8.29       6.49        10.51        7.80          7.85     0.00117   
  91         38.61          11.71         10.17      7.88        10.93        9.70          9.07     0.99281   
  92         38.02          10.13         8.93       6.57        9.4          8.85          -99      0.09066   
  93         -99            11.34         9.0        6.54        10.86        9.44          7.98     0.00482   
  94         37.81          10.58         9.18       7.26        9.86         9.44          8.59     0.19435   
  95         38.95          10.59         9.55       6.64        9.92         8.65          8.46     0.29365   
  96         39.02          11.18         9.96       7.35        10.36        8.98          8.99     0.92468   
  97         38.62          11.79         9.79       8.06        11.04        9.33          8.84     0.007     
  98         38.33          10.46         9.22       7.03        9.72         9.10          8.29     0.1619    
  99         38.8           9.88          8.69       6.03        9.19         7.85          -99      0.07007   
  100        38.81          10.92         9.67       7.08        10.16        8.37          9.00     0.29616   
  101        -99            11.19         8.22       5.65        10.59        7.34          7.62     0.00095   
  102        39.1           11.57         10.69      8.05        10.81        9.72          9.73     7.20117   
  103        37.88          11.23         8.85       6.61        10.76        7.73          8.76     0.00154   
  104        36.54          9.66          7.58       5.43        8.80         -99           -99      0.002261  
  105        -99            11.03         8.17       6.15        10.45        8.77          7.66     0.00216   
  106        38.42          10.44         9.18       6.8         9.7          8.80          -99      0.22798   
  107        37.45          9.97          8.7        6.51        9.38         8.44          -99      0.04226   
  108        38.39          10.14         8.91       6.29        9.45         8.14          -99      0.06854   
  109        37.28          10.42         9.1        6.78        9.72         9.20          -99      0.10702   
  110        38.41          10.51         9.48       6.92        9.71         9.31          8.06     0.57213   
  111        38.91          11.05         9.84       7.4         10.32        9.09          9.07     0.56884   
  112        38.25          10.86         8.85       6.35        10.21        7.86          8.18     0.01432   
  113        38.31          11.25         9.92       7.73        10.6         9.35          9.14     0.38418   
  114        39.05          11.62         10.69      7.94        10.86        9.76          9.63     7.68282   
  115        38.08          10.04         8.67       6.05        9.41         7.74          -99      0.0156    
  116        -99            10.43         8.37       6.2         9.83         7.49          -99      0.00079   
  117        37.97          11.17         9.56       7.35        10.53        8.22          8.97     0.01134   
  118        38.51          9.92          8.71       6.31        9.17         9.16          -99      0.22161   
  119        37.29          10.8          9.47       6.85        10.14        8.12          9.1      0.00224   
  120        37.79          11.01         9.32       6.98        10.37        8.05          8.75     0.00273   
  121        38.29          10.94         9.7        7.28        10.29        9.08          8.45     0.28189   
  122        38.71          11.8          10.61      8.16        11.01        9.52          9.55     4.89071   
  123        38.23          11.0          8.99       6.69        10.31        8.79          7.78     0.05714   
  124        37.37          10.6          9.21       7.08        9.82         8.67          8.72     0.1815    
  125        -99            11.25         8.5        6.68        10.76        7.88          7.92     0.00326   
  126        -99            11.14         8.01       5.81        10.41        7.30          7.91     0.00082   
  127        38.59          11.06         9.57       7.17        10.4         8.84          9.06     0.17725   
  128        38.24          10.25         8.87       6.81        9.59         8.44          -99      0.09821   
  129        -99            11.27         8.7        5.55        10.29        7.42          7.78     0.00063   
  130        37.97          10.33         8.99       6.56        9.56         8.58          8.31     0.08867   
  131        38.22          10.24         8.85       6.62        9.53         8.35          -99      0.08434   
  132        38.33          10.18         9.11       6.42        9.47         8.94          -99      0.32065   
  133        38.24          10.52         8.88       7.01        9.6          9.23          8.39     0.11477   
  134        37.91          10.84         9.18       6.77        10.12        8.06          -99      0.00574   
  135        -99            12.04         8.97       6.72        11.54        8.13          8.31     0.01339   
  136        -99            10.92         9.32       6.78        10.29        7.95          8.53     0.00113   
  137        -99            11.3          8.24       6.39        10.78        7.46          7.97     0.00085   
  138        37.64          11.82         8.77       5.58        11.15        7.50          8.00     0.00118   
  139        38.17          10.21         9.1        6.66        9.46         8.89          -99      0.32062   
  140        38.61          11.0          9.05       7.09        10.37        8.90          8.28     0.08475   
  141        38.03          11.33         9.54       7.49        10.6         8.51          8.66     0.28389   
  142        38.87          10.62         9.81       6.73        9.76         9.48          8.56     1.08645   
  143        38.13          10.84         9.73       7.34        10.02        9.53          -99      0.65339   
  144        38.47          11.22         10.06      7.17        10.42        8.71          8.64     0.88967   
  145        38.62          10.44         9.27       7.01        9.69         8.96          8.75     0.3342    
  146        38.63          10.45         9.27       6.9         9.7          8.76          -99      0.16605   
  147        37.51          10.98         9.02       7.0         9.62         8.72          -99      0.04507   
  148        38.48          10.27         9.27       7.09        9.53         9.05          8.74     0.37708   
  149        39.26          11.03         9.89       7.47        10.36        8.72          9.23     0.57647   
  150        38.02          11.95         8.81       6.78        11.19        7.95          7.52     0.00088   
  151        38.4           10.49         9.2        6.77        9.79         8.33          8.49     0.1302    
  152        38.99          10.48         9.53       6.48        9.71         8.40          8.59     0.52501   
  153        38.52          10.33         9.2        6.76        9.6          8.46          8.44     0.22311   
  154        38.06          10.58         9.23       7.17        9.75         9.42          8.26     0.32224   
  155        -99            11.36         8.4        6.32        10.76        7.74          7.87     0.00145   
  156        37.86          11.3          9.86       7.19        10.59        7.99          8.94     0.12843   
  157        39.03          10.54         9.54       6.85        9.73         8.89          8.61     0.58512   
  158        38.03          10.12         9.03       6.99        9.41         9.27          9.28     0.21385   
  159        38.19          11.09         9.72       6.77        10.35        8.64          8.79     0.1897    
  160        38.9           10.92         9.58       7.3         10.13        8.92          8.71     0.55596   
  161        38.46          11.68         9.28       6.3         11.17        7.52          8.45     0.00612   
  162        -99            11.46         9.22       6.37        10.66        7.29          8.34     0.00148   
  163        38.04          11.61         9.72       7.2         10.88        8.74          8.76     0.24571   
  164        -99            10.83         8.64       7.13        10.22        7.21          8.35     0.00056   
  165        38.57          9.98          8.84       6.53        9.32         8.41          -99      0.09959   
  166        -99            11.74         8.63       6.56        11.21        7.74          8.04     0.00265   
  167        38.15          10.72         9.04       6.82        10.12        8.00          -99      0.03628   
  168        38.82          9.89          8.88       6.34        9.2          9.29          -99      0.18107   
  169        38.46          10.33         8.87       6.43        9.26         8.48          -99      0.13606   
  170        37.96          11.62         9.55       7.38        10.93        8.65          8.78     0.07806   
  171        38.8           10.67         9.55       6.78        9.92         8.55          8.68     0.3173    
  172        38.01          10.69         9.21       6.71        9.94         7.91          8.67     0.00681   
  173        38.78          11.3          9.66       6.85        10.67        8.43          9.01     0.18459   
  174        38.57          11.45         9.21       6.25        10.95        7.82          8.62     0.00191   
  175        -99            11.17         8.32       6.67        10.59        7.22          7.82     0.00081   
  176        38.15          11.45         9.37       6.84        10.96        7.64          -99      0.00446   
  177        38.44          10.37         9.29       6.61        9.59         8.70          8.52     0.39342   
  178        37.47          12.25         9.16       6.96        11.72        7.81          7.63     0.02393   
  179        37.14          11.5          8.43       6.36        10.84        7.90          7.82     0.00126   
  180        -99            11.42         8.41       5.77        10.99        7.04          7.69     0.00085   
  181        -99            11.07         8.22       5.97        10.36        7.74          7.54     0.00087   
  182        38.54          10.48         9.32       6.84        9.71         8.89          8.35     0.31738   
  183        38.0           11.96         8.94       7.1         11.3         7.82          8.17     0.00245   
  184        -99            10.39         9.08       6.07        9.69         7.31          8.37     0.045     
  185        38.36          10.71         8.73       6.71        10.07        7.62          8.33     0.01417   
  186        -99            10.48         8.49       5.1         10.83        7.78          8.22     0.00347   
  187        38.33          10.64         9.7        7.3         9.79         9.47          8.61     1.06061   
  188        38.37          10.57         9.33       6.99        9.75         9.12          8.39     0.37532   
  189        38.68          10.07         8.99       6.53        9.34         8.39          -99      0.17429   
  190        39.35          11.94         10.51      8.09        11.24        9.30          9.50     2.52532   
  191        38.21          9.71          8.44       5.88        8.94         8.20          -99      0.0627    
  192        37.68          10.24         8.35       5.73        9.6          7.21          -99      0.00031   
  193        38.44          10.15         9.23       6.67        9.36         8.44          8.16     0.33063   
  194        38.41          11.45         10.17      8.11        10.7         9.97          9.13     1.22591   
  195        -99            10.47         7.85       5.83        9.78         7.97          8.44     0.00034   
  196        38.68          10.49         9.64       6.99        9.72         9.50          8.37     0.91001   
  197        38.6           10.5          9.32       6.9         9.73         8.69          9.02     0.27937   
  198        38.21          10.4          8.85       6.89        9.62         8.82          8.26     0.11905   
  199        38.5           10.13         8.77       6.25        9.38         7.91          -99      0.0751    
  200        39.16          11.81         9.8        7.01        11.14        7.44          8.99     0.00523   
  201        39.51          11.62         10.45      7.96        11.01        9.87          9.41     2.17945   
  202        -99            9.86          8.56       6.32        9.28         7.50          -99      0.03914   
  203        39.19          10.6          9.85       7.0         9.8          9.45          8.40     1.40335   
  204        38.81          11.49         10.29      7.97        10.81        9.69          9.33     2.93965   
  205        38.89          11.37         10.44      7.66        10.64        9.71          9.25     3.62826   
  206        38.23          10.14         9.1        6.41        9.56         7.98          8.96     0.15441   
  207        38.87          10.68         9.38       6.92        9.94         8.50          8.69     0.17767   
  208        38.29          11.54         9.79       7.71        10.9         8.84          8.61     0.41251   
  209        -99            11.34         8.17       6.46        10.57        8.25          7.49     0.00026   
  210        -99            10.92         7.91       5.36        10.28        7.97          7.82     0.00024   
  211        37.28          11.69         8.65       7.36        11.21        7.72          8.08     0.01085   
  212        38.64          10.27         9.05       6.43        9.35         9.4           8.80     0.26751   
  213        38.51          12.22         10.43      8.38        11.29        10.28         9.23     1.42139   
  214        -99            11.24         8.12       6.08        10.69        7.95          7.86     0.00163   
  215        39.33          11.03         9.85       7.22        10.2         9.03          9.67     0.57985   
  216        39.0           11.38         10.28      7.68        10.65        9.23          9.23     1.66949   
  217        37.81          11.73         10.17      7.65        10.96        8.88          9.35     0.02413   
  218        -99            11.29         8.32       6.48        10.72        7.43          7.91     0.00107   
  219        -99            11.05         8.54       6.64        10.38        7.22          7.85     0.00071   
  220        38.77          11.81         10.04      7.74        11.15        8.82          9.01     0.39101   
  221        38.5           10.81         9.34       6.95        10.09        7.60          8.59     0.0843    
  222        37.7           10.11         8.54       6.03        9.47         7.44          -99      0.00269   
  223        38.27          9.61          8.22       6.41        8.96         8.32          -99      0.0277    
  224        37.73          10.96         8.9        6.82        10.29        8.03          8.39     0.00116   
  225        37.82          9.82          7.79       5.75        9.04         7.83          -99      0.00799   
  226        38.34          10.29         8.94       6.48        9.59         8.38          -99      0.10411   
  227        38.12          10.34         9.23       6.98        9.56         9.95          -99      0.41618   
  228        -99            9.59          8.22       5.97        -99          -99           -99      0.02221   
  229        -99            9.94          7.8        5.98        9.2          7.25          7.61     0.01798   
  230        38.48          10.33         9.17       6.68        9.59         8.68          8.55     0.23401   
  231        -99            11.44         8.44       5.68        11.01        7.11          7.94     0.00082   
  232        36.81          10.62         9.06       6.39        9.95         7.73          -99      0.00108   
  233        38.81          10.6          9.45       7.02        9.91         8.34          8.90     0.17121   
  234        -99            11.22         8.35       6.63        10.73        7.29          7.83     0.01427   
  235        -99            10.94         8.37       6.99        10.25        7.29          7.83     0.0006    
  236        -99            11.7          8.77       6.79        11.26        7.64          8.23     0.00799   
  237        38.79          10.44         9.47       6.73        9.7          8.71          8.82     0.43022   
  238        -99            9.71          8.3        5.8         8.84         9.24          -99      0.08862   
  239        38.77          10.7          9.73       7.01        9.92         8.71          8.90     0.56742   
  240        -99            11.09         8.02       5.88        10.4         7.41          7.76     0.00057   
  241        37.42          11.79         8.51       5.28        10.68        9.00          7.55     0.00163   
  242        39.31          10.89         9.45       6.92        10.18        9.11          8.49     0.4054    
  243        38.6           11.34         9.03       7.16        10.86        8.06          8.16     0.00324   
  244        39.3           10.97         9.92       7.33        10.26        8.73          9.25     0.81302   
  245        38.17          12.07         8.97       6.65        11.52        7.77          7.98     0.02284   
  246        38.96          11.19         9.92       7.43        10.47        9.63          8.83     1.11254   
  247        38.74          11.31         10.3       7.75        10.52        9.54          9.43     2.67483   
  248        -99            11.1          8.57       6.9         10.35        7.83          7.72     0.00066   
  249        -99            9.83          7.91       5.89        9.19         7.83          -99      0.00083   
  250        -99            11.43         8.36       6.47        10.76        8.33          -99      0.00076   
  251        39.47          11.88         10.68      8.11        11.09        9.95          9.56     4.95298   
  252        -99            10.36         9.14       6.66        9.55         9.18          -99      0.34431   
  253        -99            11.24         9.21       5.83        10.51        8.22          7.93     0.0712    
  254        38.9           11.0          9.76       7.47        10.5         8.76          9.22     0.86308   
  255        38.24          10.34         9.1        6.87        9.48         9.33          7.63     0.41334   
  256        -99            10.98         9.93       6.84        10.14        8.46          8.83     1.31365   
  257        38.41          11.37         9.25       7.44        10.69        9.31          8.43     0.00207   
  258        37.06          11.94         8.69       5.48        11.10        -99           8.15     0.000641  
  259        38.95          10.53         9.47       6.99        9.65         9.58          8.65     0.70417   
  260        39.23          11.38         9.78       7.03        10.76        7.76          8.51     0.00252   
  261        -99            10.34         8.78       6.87        9.59         8.73          -99      0.03521   
  262        38.72          10.65         9.74       7.07        9.8          9.51          8.80     0.9488    
  263        38.73          12.01         10.1       8.17        11.26        9.91          9.29     0.89124   
  264        -99            10.07         8.48       6.61        9.32         8.4           -99      0.02631   
  265        -99            10.24         9.11       6.30        9.05         -99           -99      0.25801   
  266        37.95          10.78         9.74       7.56        9.9          10.15         8.69     1.37478   
  267        38.19          10.56         9.4        6.88        9.87         9.28          -99      0.30486   
  268        39.11          10.6          9.75       7.01        9.77         9.08          8.65     0.71238   
  269        -99            11.43         8.79       7.22        10.85        7.50          -99      0.00146   
  270        -99            11.79         9.58       7.06        11.02        8.09          8.24     0.00275   
  271        38.82          10.34         9.16       6.93        9.61         8.95          -99      0.12211   
  272        -99            11.49         8.48       6.45        10.81        7.99          8.03     0.00154   
  273        39.21          10.81         9.33       7.22        10.08        8.93          8.65     0.19931   
  274        38.71          11.06         8.99       6.92        10.37        9.01          8.45     0.01968   
  275        38.79          10.84         9.8        7.17        9.89         9.64          8.13     1.51157   
  276        38.6           10.51         9.36       6.65        9.69         8.78          8.94     0.35483   
  277        -99            9.97          8.87       6.26        9.84         7.77          -99      0.08273   
  278        37.63          10.25         8.59       6.25        9.59         7.65          -99      0.01246   
  279        37.93          10.52         9.07       7.1         9.66         9.21          -99      0.26801   
  280        39.05          10.48         9.2        6.53        9.76         8.62          8.53     0.13179   
  281        38.71          9.64          9.06       6.65        9.62         8.13          -99      0.17645   
  282        -99            10.15         7.99       6.18        10.29        7.85          7.71     0.00136   
  283        39.05          10.77         9.89       7.21        9.95         9.68          8.61     1.1173    
  284        -99            10.85         9.65       7.16        10.2         8.93          8.89     0.25598   
  285        38.23          11.32         9.95       7.34        10.66        8.24          8.77     0.22755   
  286        -99            11.22         8.61       6.88        10.68        9.30          8.48     0.00371   
  287        39.08          10.64         9.54       6.96        9.86         8.99          8.61     0.48475   
  288        38.43          11.01         9.35       7.14        10.29        8.51          8.40     0.18297   
  289        39.49          11.33         10.02      7.45        10.46        9.68          8.93     1.35923   
  290        39.33          10.34         9.2        6.17        9.48         8.58          8.66     0.16195   
  291        -99            10.68         7.68       5.92        9.98         8.43          7.62     0.00057   
  292        39.41          10.68         9.62       6.9         9.95         9.02          8.96     0.42406   
  293        39.01          10.4          9.38       6.81        9.53         8.96          8.25     0.47436   
  294        38.44          10.52         9.33       6.91        9.75         8.89          -99      0.18826   
  295        39.63          11.23         10.37      7.78        10.67        9.67          9.61     2.79919   
  296        37.96          10.88         8.48       5.89        10.16        7.82          7.62     0.00045   
  297        38.75          11.04         9.77       7.51        10.27        9.55          8.75     0.69257   
  298        39.69          10.45         9.58       6.6         9.55         8.98          -99      0.62548   
  299        38.63          10.92         9.25       7.24        10.0         9.04          8.25     0.3715    
  300        38.2           10.46         8.6        6.16        9.68         8.39          -99      0.01081   
  301        38.65          11.02         9.37       7.49        10.09        9.48          8.47     0.45455   
  302        38.38          10.28         8.9        6.9         9.5          9.24          -99      0.11592   
  303        39.82          10.40         9.60       6.46        9.23         -99           -99      0.568607  
  304        38.02          10.66         9.25       7.16        9.95         8.64          8.62     0.08512   
  305        38.13          9.99          8.16       5.97        9.28         7.60          -99      0.01451   
  306        -99            11.6          9.12       6.63        11.04        8.06          8.57     0.00233   
  307        38.74          11.42         9.86       7.84        10.69        9.59          8.44     1.08746   
  308        39.46          9.43          7.61       5.22        8.71         7.89          -99      0.00281   
  309        38.29          9.99          8.81       6.3         9.11         9.08          -99      0.16234   
  310        38.57          10.74         9.63       7.01        9.99         9.01          8.84     0.42236   
  311        38.76          11.64         9.69       7.61        10.92        9.08          8.81     0.13983   
  312        -99            11.46         8.35       6.1         10.74        7.45          7.99     0.00087   
  313        38.4           10.69         9.26       7.22        9.89         9.05          8.32     0.20532   
  314        38.6           10.39         9.18       6.82        9.49         9.27          -99      0.38941   
  315        37.36          9.89          8.56       6.37        9.08         9.30          -99      0.13785   
  316        -99            11.39         8.29       6.4         10.66        7.96          7.84     0.00145   
  317        -99            9.97          8.46       6.41        9.2          8.82          -99      0.05836   
  318        38.68          10.67         9.42       6.91        9.77         9.29          8.52     0.47551   
  319        38.52          10.67         9.5        7.26        9.86         9.53          8.37     0.80481   
  320        38.72          10.8          9.73       7.52        10.0         9.68          8.35     1.25507   
  321        -99            10.41         9.34       6.5         9.55         8.66          -99      0.36288   
  322        38.43          11.41         9.08       7.4         10.66        9.85          -99      0.16154   
  323        39.16          10.89         9.64       7.16        10.09        9.36          8.72     0.32984   
