# ID         lgL_Halpha     lgL_Kband     lgL_IR     lgM_dust    lgM_star     lgM_HI        lgM_H2   SFR
  1          39.17          9.83          8.48       5.93        9.10         -99           -99      0.05010   
  2          39.84          9.96          9.08       6.23        9.11         8.42          -99      0.19272   
  3          38.39          11.08         8.56       5.87        10.47        8.65          8.05     0.00379   
  4          38.55          11.5          9.9        7.41        10.63        8.98          9.17     0.75207   
  5          37.49          10.4          9.2        6.58        9.7          8.2           -99      0.13443   
  6          -99            9.9           8.21       6.92        9.08         8.89          -99      0.02582   
  7          -99            11.36         9.2        6.13        10.64        7.63          7.86     0.00131   
  8          38.18          11.04         9.19       7.46        10.16        9.66          8.39     0.17824   
  9          38.91          10.97         9.06       6.5         10.24        8.65          8.57     0.10294   
  10         38.98          10.06         8.83       6.19        9.2          8.76          -99      0.15716   
  12         39.01          9.69          8.42       5.72        8.85         8.23          -99      0.06024   
  14         -99            11.08         8.61       5.45        10.2         7.79          7.78     0.0005    
  17         38.58          10.75         9.67       7.15        9.87         9.42          8.93     0.80073   
  18         38.8           10.71         9.11       6.54        9.93         8.54          -99      0.1366    
  19         38.72          10.65         9.48       6.94        9.79         9.32          -99      0.60928   
  20         39.09          10.77         9.98       7.21        9.92         9.47          8.14     1.90571   
  23         39.45          11.03         9.96       7.31        10.2         9.17          8.16     1.03844   
  24         38.67          11.17         9.91       7.49        10.31        10.04         8.94     1.2722    
  27         39.63          10.28         9.47       6.49        9.44         8.62          9.06     0.57398   
  28         38.75          10.39         9.3        6.72        9.48         8.85          -99      0.34901   
  29         -99            10.07         8.91       6.56        9.27         8.54          -99      0.07496   
  30         38.85          10.18         8.99       6.67        9.4          9.12          -99      0.19726   
  31         38.03          11.08         9.78       6.97        9.94         9.77          8.32     1.07332   
  32         -99            10.49         7.4        5.97        9.75         7.92          7.58     0.00015   
  33         38.76          10.83         9.45       7.01        9.96         9.41          8.61     0.50899   
  34         37.37          10.45         9.27       7.11        9.76         9.14          8.64     0.21611   
  35         38.99          10.64         9.34       6.71        9.81         -99           7.69     0.00530   
  36         39.17          11.35         10.35      7.44        10.49        8.74          9.25     2.93756   
  37         38.99          10.64         9.34       6.71        9.81         8.84          8.62     0.41618   
  38         -99            10.28         8.99       6.59        9.4          9.0           8.30     0.21554   
  39         -99            10.13         8.75       6.7         9.36         9.13          -99      0.08668   
  40         38.7           10.49         9.48       6.67        9.61         9.02          -99      0.52878   
  42         38.66          11.07         9.71       7.31        10.15        9.39          8.83     0.92682   
  44         39.52          9.88          8.94       6.08        9.01         8.37          -99      0.17407   
  45         -99            11.19         9.1        6.88        10.48        8.89          8.17     0.05492   
  46         -99            11.34         9.48       6.58        10.59        9.02          8.17     0.09389   
  47         38.57          10.49         9.22       6.79        9.56         9.32          -99      0.45388   
  48         38.88          11.21         10.09      7.5         10.31        9.51          9.27     2.10298   
  49         -99            11.39         8.29       6.23        10.69        8.27          7.86     0.00081   
  52         -99            10.44         8.69       5.98        9.69         9.35          -99      0.09075   
  53         38.81          10.66         9.46       6.94        9.81         9.39          8.65     0.41137   
  54         38.76          10.83         9.07       6.65        10.09        9.41          8.14     0.1882    
  55         38.91          10.69         9.51       7.04        9.82         9.27          8.72     0.51186   
  56         39.48          11.27         10.06      7.84        10.57        9.06          9.15     0.98898   
  57         39.05          11.14         9.71       7.24        10.22        8.91          8.82     0.79531   
  58         38.88          10.1          8.79       6.32        9.27         8.29          -99      0.13965   
  59         38.78          11.0          9.51       7.24        10.26        9.24          8.65     0.34514   
  60         39.15          10.95         9.47       6.84        10.14        9.47          8.72     0.25265   
  61         -99            9.83          8.44       6.2         8.95         9.01          -99      0.08972   
  62         38.7           10.47         9.24       7.04        9.59         9.65          -99      0.43629   
  63         38.35          11.22         9.54       7.46        10.3         9.34          8.67     0.46393   
