#   ID      lgMH2_XCOMW    lgMH2_XCOZ     lgMHI
     1      -99            -99            -99      
     2      -99            -99            8.42     
     3      8.16           8.05           8.65     
     4      9.42           9.17           8.98     
     5      -99            -99            8.20     
     6      -99            -99            8.89     
     7      8.07           7.86           7.63     
     8      8.49           8.39           9.66     
     9      8.64           8.57           8.65     
    10      -99            -99            8.76     
    11      8.34           8.43           8.79     
    12      -99            -99            8.23     
    13      9.04           8.80           9.32     
    14      7.89           7.78           7.79     
    15      9.14           8.94           9.97     
    16      8.52           8.50           9.14     
    17      8.91           8.93           9.42     
    18      -99            -99            8.54     
    19      -99            -99            9.32     
    20      8.14           8.14           9.47     
    21      -99            -99            8.28     
    22      7.87           7.65           8.12     
    23      8.24           8.16           9.17     
    24      9.08           8.94          10.04     
    25      8.75           8.72           9.24     
    26      -99            -99            8.56     
    27      8.86           9.06           8.62     
    28      -99            -99            8.85     
    29      -99            -99            8.54     
    30      -99            -99            9.12     
    31      8.41           8.32           9.77     
    32      7.47           7.58           7.92     
    33      8.64           8.61           9.41     
    34      8.47           8.64           9.14     
    35      7.59           7.69           -99      
    36      9.44           9.25           8.74     
    37      8.56           8.62           8.84     
    38      8.10           8.30           9.00     
    39      -99            -99            9.13     
    40      -99            -99            9.02     
    41      -99            -99            8.54     
    42      8.94           8.83           9.39     
    43      7.92           7.81           7.09     
    44      -99            -99            8.37     
    45      8.32           8.17           8.89     
    46      8.38           8.17           9.02     
    47      -99            -99            9.32     
    48      9.43           9.27           9.51     
    49      8.08           7.86           8.27     
    50      9.11           9.02           9.23     
    51      -99            -99            9.31     
    52      -99            -99            9.35     
    53      8.59           8.65           9.39     
    54      8.16           8.14           9.41     
    55      8.68           8.72           9.27     
    56      9.32           9.15           9.06     
    57      8.95           8.82           8.91     
    58      -99            -99            8.29     
    59      8.73           8.65           9.24     
    60      8.78           8.72           9.47     
    61      -99            -99            9.01     
    62      -99            -99            9.65     
    63      8.83           8.67           9.34     
    64      -99            -99            8.76     
    65      -99            -99            9.27     
    66      9.15           9.07           9.40     
    67      -99            -99            8.96     
    68      -99            -99            8.01     
    69      8.28           8.05           9.49     
    70      -99            -99            8.92     
    71      8.35           8.09           -99      
    72      -99            -99            9.23     
    73      9.56           9.32           9.40     
    74      8.86           8.85           9.12     
    75      -99            -99            8.65     
    76      -99            -99            8.63     
    77      9.61           9.29           9.82     
    78      8.49           8.74           9.23     
    79      -99            -99            9.12     
    80      -99            -99            8.53     
    81      9.17           9.15           9.08     
    82      -99            -99            8.07     
    83      -99            -99            8.09     
    84      8.20           8.39           8.52     
    85      9.20           9.04           9.38     
    86      8.55           8.67           9.54     
    87      -99            -99            7.34     
    88      8.72           8.81           9.58     
    89      8.43           8.41           9.63     
    90      7.99           7.85           7.80     
    91      9.39           9.07           9.70     
    92      -99            -99            8.85     
    93      8.19           7.98           9.44     
    94      8.52           8.59           9.44     
    95      8.35           8.46           8.65     
    96      9.11           8.99           8.98     
    97      9.21           8.84           9.33     
    98      8.06           8.29           9.10     
    99      -99            -99            7.85     
   100      9.01           8.98           8.37     
   101      7.75           7.62           7.34     
   102     10.02           9.73           9.72     
   103      8.92           8.76           7.73     
   104      -99            -99            -99      
   105      7.74           7.66           8.77     
   106      -99            -99            8.80     
   107      -99            -99            8.44     
   108      -99            -99            8.14     
   109      -99            -99            9.20     
   110      7.95           8.06           9.31     
   111      9.16           9.07           9.09     
   112      8.19           8.18           7.86     
   113      9.29           9.14           9.35     
   114      9.94           9.63           9.76     
   115      -99            -99            7.74     
   116      -99            -99            7.49     
   117      9.00           8.97           8.22     
   118      -99            -99            9.16     
   119      9.10           9.09           8.12     
   120      8.80           8.75           8.05     
   121      8.48           8.45           9.08     
   122      9.91           9.55           9.52     
   123      7.84           7.78           8.79     
   124      8.61           8.72           8.67     
   125      8.07           7.92           7.88     
   126      8.02           7.91           7.30     
   127      9.09           9.03           8.84     
   128      -99            -99            8.44     
   129      7.95           7.78           7.42     
   130      8.11           8.31           8.58     
   131      -99            -99            8.35     
   132      -99            -99            8.94     
   133      8.12           8.39           9.23     
   134      -99            -99            8.06     
   135      8.78           8.31           8.13     
   136      8.53           8.52           7.95     
   137      8.14           7.97           7.46     
   138      8.38           8.00           7.50     
   139      -99            -99            8.89     
   140      8.39           8.28           8.90     
   141      8.84           8.66           8.51     
   142      8.48           8.56           9.48     
   143      -99            -99            9.53     
   144      8.78           8.64           8.71     
   145      8.60           8.75           8.96     
   146      -99            -99            8.76     
   147      -99            -99            8.72     
   148      8.55           8.74           9.05     
   149      9.31           9.23           8.72     
   150      7.97           7.52           7.95     
   151      8.38           8.49           8.33     
   152      8.38           8.59           8.40     
   153      8.27           8.44           8.46     
   154      8.15           8.26           9.42     
   155      8.14           7.87           7.74     
   156      9.11           8.94           7.99     
   157      8.51           8.61           8.89     
   158      9.04           9.28           9.27     
   159      8.86           8.79           8.64     
   160      8.73           8.71           8.92     
   161      8.76           8.45           7.52     
   162      8.56           8.34           7.29     
   163      9.01           8.76           8.74     
   164      8.41           8.35           7.21     
   165      -99            -99            8.41     
   166      8.38           8.04           7.74     
   167      -99            -99            8.00     
   168      -99            -99            9.29     
   169      -99            -99            8.48     
   170      9.07           8.78           8.65     
   171      8.64           8.68           8.55     
   172      8.62           8.67           7.91     
   173      9.19           9.01           8.43     
   174      8.88           8.62           7.82     
   175      7.96           7.82           7.22     
   176      -99            -99            7.64     
   177      8.35           8.52           8.70     
   178      8.20           7.63           7.81     
   179      8.07           7.82           7.90     
   180      7.95           7.69           7.04     
   181      7.60           7.54           7.74     
   182      8.25           8.35           8.89     
   183      8.61           8.17           7.82     
   184      8.22           8.37           7.31     
   185      8.31           8.33           7.62     
   186      8.10           8.22           7.78     
   187      8.29           8.61           9.47     
   188      8.26           8.39           9.12     
   189      -99            -99            8.39     
   190      9.88           9.50           9.30     
   191      -99            -99            8.20     
   192      -99            -99            7.21     
   193      7.89           8.16           8.44     
   194      9.35           9.13           9.97     
   195      8.25           8.44           7.97     
   196      8.27           8.37           9.50     
   197      8.90           9.02           8.69     
   198      8.08           8.26           8.82     
   199      -99            -99            7.91     
   200      9.38           8.99           7.44     
   201      9.68           9.41           9.87     
   202      -99            -99            7.50     
   203      8.30           8.40           9.45     
   204      9.55           9.33           9.69     
   205      9.45           9.25           9.71     
   206      8.65           8.96           7.98     
   207      8.64           8.69           8.50     
   208      8.88           8.61           8.84     
   209      7.70           7.49           8.25     
   210      7.85           7.82           7.97     
   211      8.40           8.08           7.72     
   212      8.57           8.80           9.40     
   213      9.67           9.23          10.28     
   214      8.00           7.86           7.95     
   215      9.76           9.67           9.03     
   216      9.43           9.23           9.23     
   217      9.69           9.35           8.88     
   218      8.09           7.91           7.43     
   219      7.92           7.85           7.22     
   220      9.36           9.01           8.82     
   221      8.60           8.58           7.60     
   222      -99            -99            7.44     
   223      -99            -99            8.32     
   224      8.44           8.39           8.03     
   225      -99            -99            7.83     
   226      -99            -99            8.38     
   227      -99            -99            9.95     
   228      -99            -99            -99      
   229      7.29           7.61           7.25     
   230      8.42           8.55           8.68     
   231      8.19           7.94           7.11     
   232      -99            -99            7.73     
   233      8.80           8.90           8.34     
   234      8.02           7.83           7.29     
   235      7.85           7.83           7.29     
   236      8.36           8.03           7.64     
   237      8.75           8.88           8.71     
   238      -99            -99            9.24     
   239      8.82           8.90           8.71     
   240      7.86           7.76           7.41     
   241      7.91           7.55           9.00     
   242      8.52           8.49           9.11     
   243      8.33           8.16           8.06     
   244      9.36           9.25           8.73     
   245      8.43           7.98           7.77     
   246      8.96           8.83           9.63     
   247      9.61           9.43           9.54     
   248      7.82           7.72           7.83     
   249      -99            -99            7.83     
   250      -99            -99            8.33     
   251      9.95           9.56           9.95     
   252      -99            -99            9.18     
   253      8.10           7.93           8.22     
   254      9.31           9.22           8.76     
   255      7.38           7.63           9.33     
   256      8.90           8.83           8.46     
   257      8.65           8.43           9.31     
   258      8.59           8.15           -99      
   259      8.51           8.65           9.58     
   260      8.71           8.51           7.76     
   261      -99            -99            8.73     
   262      8.72           8.80           9.51     
   263      9.72           9.29           9.91     
   264      -99            -99            8.40     
   265      -99            -99            -99      
   266      8.69           8.69          10.15     
   267      -99            -99            9.28     
   268      8.53           8.65           9.08     
   269      -99            -99            7.50     
   270      8.61           8.24           8.09     
   271      -99            -99            8.95     
   272      8.28           8.03           7.99     
   273      8.64           8.65           8.93     
   274      8.48           8.41           9.01     
