#   ID      lgMH2_XCOMW    lgMH2_XCOZ     lgMHI
   275      8.13           8.13           9.64     
   276      8.78           8.94           8.78     
   277      -99            -99            7.77     
   278      -99            -99            7.65     
   279      -99            -99            9.21     
   280      8.37           8.53           8.62     
   281      -99            -99            8.13     
   282      7.47           7.71           7.85     
   283      8.59           8.62           9.68     
   284      8.89           8.89           8.93     
   285      8.92           8.77           8.24     
   286      8.62           8.48           9.30     
   287      8.55           8.61           8.99     
   288      8.48           8.40           8.51     
   289      9.13           8.93           9.68     
   290      8.49           8.66           8.58     
   291      7.60           7.64           8.43     
   292      8.93           8.98           9.02     
   293      8.10           8.25           8.96     
   294      -99            -99            8.89     
   295      9.77           9.61           9.67     
   296      7.65           7.62           7.82     
   297      8.84           8.75           9.55     
   298      -99            -99            8.98     
   299      8.30           8.25           9.04     
   300      -99            -99            8.39     
   301      8.56           8.47           9.48     
   302      -99            -99            9.24     
   303      -99            -99            -99      
   304      8.56           8.62           8.64     
   305      -99            -99            7.60     
   306      8.87           8.57           8.06     
   307      8.67           8.44           9.59     
   308      -99            -99            7.89     
   309      -99            -99            9.08     
   310      8.82           8.85           9.01     
   311      9.13           8.81           9.08     
   312      8.25           7.99           7.45     
   313      8.30           8.33           9.05     
   314      -99            -99            9.27     
   315      -99            -99            9.30     
   316      8.07           7.84           7.96     
   317      -99            -99            8.82     
   318      8.47           8.52           9.29     
   319      8.36           8.38           9.53     
   320      8.37           8.33           9.68     
   321      -99            -99            8.66     
   322      -99            -99            9.85     
   323      8.73           8.70           9.36     
