# lgMstar   metalZ
8.57        8.44
8.67        8.48
8.76        8.57
8.86        8.61
8.96        8.63
9.06        8.66
9.16        8.68
9.26        8.71
9.36        8.74
9.46        8.78
9.57        8.82
9.66        8.84
9.76        8.87
9.86        8.90
9.96        8.94
10.06       8.97
10.16       8.99
10.26       9.01
10.36       9.03
10.46       9.05
10.56       9.07
10.66       9.08
10.76       9.09
10.86       9.10
10.95       9.11
11.05       9.11
11.15       9.12
11.25       9.12
