# lgMstar   metalZ_PP04    metalZ_err   lgSFR   lgSFR_err
9.70        8.358          0.038        1.175   0.048
9.83        8.382          0.034        1.258   0.059
9.95        8.454          0.022        1.397   0.051
10.05       8.482          0.021        1.415   0.056
10.11       8.514          0.024        1.509   0.046
10.17       8.515          0.019        1.512   0.076
10.25       8.531          0.019        1.702   0.044
10.35       8.587          0.014        1.699   0.054
10.50       8.652          0.013        1.824   0.057
10.83       8.661          0.013        2.206   0.093
