# Name                 Distance_Mpc         metalZ                             LPrm_CO(1-0)_Entire
DDO053                 3.61                 8.394488693                        -99
DDO154                 4.3                  8.337899118                        -99
HoI                    3.9                  8.312673866                        -99
HoII                   3.05                 8.223191317                        -99
IC2574                 3.79                 8.166413514                        1.864E+06
M81dwB                 3.6                  8.179025675                        -99
NGC0337                19.3                 8.490615675                        8.261E+07
NGC0628                7.2                  8.535155957                        2.896E+08
NGC0925                9.12                 8.375723424                        6.131E+07
NGC2146                17.2                 -99                                1.812E+09
NGC2798                25.8                 8.719409265                        5.407E+08
NGC2841                14.1                 8.886833217                        2.080E+08
NGC2976                3.55                 8.649903151                        1.591E+07
NGC3077                3.83                 -99                                3.863E+06
NGC3184                11.7                 8.753900798                        4.109E+08
NGC3198                14.1                 8.426305405                        1.419E+08
NGC3351                9.33                 8.907791274                        2.132E+08
NGC3521                11.2                 8.74243692                         8.911E+08
NGC3627                9.38                 8.661501116                        6.372E+08
NGC3938                17.9                 8.74243692                         5.278E+08
NGC4236                4.45                 8.3855861                          6.818E+05
NGC4254                14.4                 8.765324414                        1.504E+09
NGC4321                14.3                 8.810511804                        1.440E+09
NGC4536                14.5                 8.6731006                          3.940E+08
NGC4569                9.86                 8.958110898                        2.875E+08
NGC4579                16.4                 8.918102846                        5.132E+08
NGC4625                9.3                  8.730938001                        5.637E+06
NGC4631                7.62                 8.395580859                        3.412E+08
NGC4725                11.9                 8.788029969                        1.411E+08
NGC4736                4.66                 8.719409265                        1.256E+08
NGC5055                7.94                 8.799301463                        7.111E+08
NGC5457                6.7                  8.55                               5.243E+08
NGC5474                6.8                  8.47966719                         8.637E+05
NGC5713                21.4                 8.707855934                        8.514E+08
NGC6946                6.8                  8.661501116                        1.352E+09
NGC7331                14.5                 8.730938001                        1.107E+09
NGC0253                2.5                  9.03                               3.746E+08
IC1623                 81.7                 8.653                              1.192E+10
NGC0660                14                   -99                                5.477E+08
NGC0695                133.5                -99                                9.056E+09
IC214                  123                  -99                                4.885E+09
NGC0891                10                   8.9                                9.116E+08
NGC1022                21.1                 -99                                3.660E+08
NGC1055                14.8                 -99                                1.186E+09
NGC1068                16.7                 9                                  2.481E+09
NGC1144                118                  -99                                7.180E+09
NGC1365                20.8                 8.93                               3.905E+09
IC342                  3.7                  8.85                               6.349E+08
NGC1614                63.3                 8.69                               2.014E+09
VIIZw31                223.4                8.9                                1.147E+10
IRAS05189-2524         167.5                8.9                                6.082E+09
NGC2146                15.2                 8.68                               1.404E+09
NGC2276                35.5                 -99                                8.947E+08
Arp055                 162.7                -99                                1.129E+10
NGC2903                6.2                  8.68                               1.976E+08
UGC05101               160.2                8.9                                4.427E+09
M82                    3.5                  8.776702546                        5.291E+08
NGC3079                16.2                 8.57                               2.038E+09
IRAS10565+2448         173.3                8.9                                5.458E+09
Arp148                 143.3                -99                                4.175E+09
NGC3556                10.6                 8.46815125                         2.831E+08
NGC3627                7.6                  8.661501116                        6.310E+08
NGC3628                9.6                  8.57                               9.782E+08
NGC3893                13.9                 -99                                2.951E+08
NGC4030                17.1                 -99                                1.338E+09
NGC4041                18                   -99                                3.422E+08
NGC4414                9.3                  -99                                4.183E+08
NGC4631                8.1                  8.405702478                        1.869E+08
NGC4826                4.7                  -99                                1.172E+08
NGC5005                14                   8.799301463                        1.215E+09
NGC5055                7.3                  -99                                6.104E+08
NGC5135                51.7                 8.7                                2.749E+09
M83                    3.7                  9.2                                4.374E+08
Mrk273                 152.4                8.9                                5.857E+09
NGC5678                27.8                 -99                                1.525E+09
NGC5713                24                   8.707855934                        7.083E+08
NGC5775                21.3                 8.64                               9.586E+08
IRAS17208-0014         168                  8.9                                1.367E+10
IRAS18293-3413         72.1                 -99                                7.390E+09
NGC6701                56.8                 8.9                                2.966E+09
NGC6921                75.5                 -99                                2.501E+09
NGC6946                5.5                  8.661501116                        8.434E+08
NGC7130                65                   8.8                                3.895E+09
IC5179                 46.2                 8.9                                2.305E+09
NGC7331                15                   8.730938001                        9.617E+08
NGC7469                67.5                 -99                                3.222E+09
NGC7479                35.2                 -99                                2.368E+09
IRAS23365+3604         266.1                8.9                                8.330E+09
Mrk331                 75.3                 8.76                               4.579E+09
Antennae               21.4                 8.803943352                        2.301E+09
NGC1482                22                   -99                                6.563E+08
NGC5194                8.2                  8.7                                1.503E+09
NGC5866                12.5                 -99                                9.486E+07
VV705                  170                  -99                                4.237E+09
Arp220                 79                   8.9                                5.716E+09
IRAS08572+3915         232                  8.9                                1.340E+09
IRAS12112+0305         292                  8.9                                9.059E+09
IRAS14348-1447         330                  8.9                                1.309E+10
IRAS22491-1808         301                  8.9                                5.849E+09
Mrk231                 174                  8.9                                5.213E+09
