# ID_COSMOS   z       lgMstar   lgSFR   metalZ_KK04
  799604      0.675   10.05     +1.23   8.80
  1235118     0.685   9.77      +0.95   8.63
  1265343     0.678   9.74      -0.54   8.88
  1234271     0.683   9.62      +0.62   8.76
  1003946     0.620   9.17      -0.45   8.89
  1242162     0.656   9.15      -0.42   8.68
  1236769     0.667   9.12      +0.30   8.41
  794540      0.620   9.02      +0.02   8.58
  1015084     0.678   8.99      +0.33   8.57
  1036285     0.684   8.98      +0.08   8.57
  801017      0.638   8.97      -0.06   8.61
  775548      0.670   8.86      -0.33   8.72
  1035959     0.628   8.83      -0.36   8.75
  982000      0.621   8.82      +0.43   8.51
  1013478     0.635   8.72      -0.28   8.35
  980802      0.621   8.63      -0.56   8.65
  799190      0.638   8.62      -0.04   8.43
  770439      0.629   8.53      -1.08   8.64
  1009808     0.616   8.45      -0.13   8.57
  1237667     0.640   8.43      -0.51   8.63
  772773      0.616   8.40      -0.61   8.66
  989316      0.674   8.39      -0.21   8.49
  1010994     0.634   8.38      -1.41   8.49
  1015516     0.679   8.37      +0.46   8.40
  1010583     0.639   8.22      -0.06   8.38
  1217842     0.633   7.98      -0.48   8.40
