# ID  z         lgMstar  lgSFR  R_OII_Hbeta  R_OIII_Hbeta         metalZ  metalZ_eHi  metalZ_eLo
  01  0.8194    8.81     +0.23  2.165        5.507                  7.96  +0.11  -0.14
  02  0.7496    8.76     +0.54  1.821        7.792                  8.13  +0.10  -0.10
  03  0.7099    8.94     -0.09  2.413        5.178                  7.98  +0.17  -0.19
  04  0.7878    -99      -0.06  0.867        7.273                  7.35  +0.11  -0.17
  05  0.7710    8.86     +1.50  1.960        8.497                  8.27  +0.07  -0.06
  06  0.7166    8.85     +0.71  2.539        6.245                  8.51  +0.13  -0.10
  07  0.7624    9.07     +0.84  3.304        5.003                  8.29  +0.15  -0.21
  08  0.7653    8.07     +0.15  1.412        7.866                  7.63  +0.17  -0.21
  09  0.7909    9.00     +0.22  2.496        5.485                  8.23  +0.16  -0.17
  10  0.7945    8.70     +1.06  2.159        6.739                  8.21  +0.09  -0.08
  11  0.7980    8.56     +0.11  2.086        7.480                  7.97  +0.06  -0.11
  12  0.7488    8.33     +0.31  1.702        6.384                  8.04  +0.03  -0.05
  13  0.7936    9.09     +0.40  2.862        6.241                  8.20  +0.12  -0.11
  14  0.7936    8.68     +0.98  2.173        7.209                  8.33  +0.06  -0.06
  15  0.7553    8.13     +1.29  1.034        7.428                  8.00  +0.04  -0.05
  16  0.7743    9.23     +0.71  1.958        4.320                  7.85  +0.20  -0.18
  17  0.7637    8.39     +0.78  2.420        6.508                  8.29  +0.13  -0.15
  18  0.7885    9.34     +0.96  1.794        7.022                  8.38  +0.10  -0.15
  19  0.8562    8.99     +0.62  1.636        7.989                  8.40  +0.08  -0.13
  20  0.7842    8.61     +0.66  2.017        5.575                  7.72  +0.14  -0.19
  21  0.8225    8.81     +0.34  1.692        6.989                  7.93  +0.10  -0.14
  22  0.7838    7.85     +0.30  1.735        7.110                  8.04  +0.10  -0.12
  23  0.7661    8.63     +0.63  1.492        7.631                  8.41  +0.12  -0.20
  24  0.7214    7.87     +0.90  1.525        7.105                  8.20  +0.05  -0.06
  25  0.7888    8.69     +2.12  2.857        4.878                  7.84  +0.10  -0.09
  26  0.7743    9.24     +0.54  2.064        5.895                  8.29  +0.08  -0.10
  27  0.7294    8.66     +0.80  2.555        7.849                  8.01  +0.09  -0.12
  28  0.7315    8.70     +1.18  1.515        7.633                  8.40  +0.04  -0.03
