# Name_KINGFISH    z         z_ref   Distance_Mpc  Maj_arcmin  Min_arcmin   FLUX_500_Jy  FLUXERR_500_Jy  L_500_Lsun  LERR_500_Lsun    Metallicity_KK04   logMstar   SFR       MHI         MHI_ERR     MH2        MH2_ERR
DDO053             0.000067  NED     3.61          1.5         1.3          0.05         0.01            0.12E6      0.01E6           7.98               6.35      0.0060    3.88E7      0.58E7      0.0E7      0.02E7       
DDO154             0.001248  NED     4.3           3.0         2.2          0.05         0.02            0.19E6      0.01E6           8.02               6.63      0.0020    9.20E7      1.38E7      0.0E7      0.01E7       
HoI                0.000464  NED     3.9           3.6         3.0          0.14         0.02            0.40E6      0.02E6           8.04               6.87      0.0040    10.06E7     1.51E7      0.0E7      0.03E7       
HoII               0.000474  NED     3.05          7.9         6.3          0.51         0.14            0.89E6      0.07E6           8.13               7.59      0.036     31.60E7     4.74E7      0.0E7      0.02E7       
IC2574             0.000190  NED     3.79          13.2        5.4          1.83         0.19            4.93E6      0.09E6           8.23               8.2       0.057     71.46E7     10.72E7     0.82E7     0.08E7       
M81dwB             0.001159  NED     3.6           0.9         0.6          0.04         0.01            0.11E6      0.01E6           8.2                6.36      0.0010    0.92E7      0.14E7      0.0        0.0          
NGC0337            0.005490  NED     19.3          2.9         1.8          1.66         0.10            116.06E6    0.63E6           8.84               9.32      1.3       330.82E7    49.62E7     36.35E7    1.82E7       
NGC0628            0.002192  NED     7.2           10.5        9.5          12.46        0.24            121.05E6    0.72E6           8.88               9.56      0.68      260.53E7    39.08E7     127.41E7   6.37E7       
NGC0925            0.001845  NED     9.12          10.5        5.9          6.98         0.14            108.85E6    0.37E6           8.73               9.49      0.54      448.59E7    67.29E7     26.98E7    1.35E7       
NGC2146            0.002979  NED     17.2          6.0         3.4          7.75         0.09            429.99E6    1.24E6           -99                10.3      7.94      188.07E7    28.21E7     797.18E7   39.86E7      
NGC2798            0.005757  NED     25.8          2.6         1.0          0.92         0.02            115.18E6    0.93E6           9.04               10.04     3.38      72.72E7     10.91E7     237.92E7   11.90E7      
NGC2841            0.002128  NED     14.1          8.1         3.5          6.39         0.09            237.98E6    0.81E6           9.19               10.17     2.45      450.51E7    67.58E7     91.54E7    4.58E7       
NGC2976            0.000010  NED     3.55          5.9         2.7          4.81         0.31            11.36E6     0.10E6           8.98               8.96      0.082     12.72E7     1.91E7      7.00E7     0.35E7       
NGC3077            0.000047  NED     3.83          5.4         4.5          2.82         0.18            7.76E6      0.05E6           -99                9.34      0.094     28.94E7     4.34E7      1.70E7     0.09E7       
NGC3184            0.001975  NED     11.7          7.4         6.9          6.22         0.13            159.61E6    0.92E6           9.07               9.5       0.66      302.38E7    45.36E7     180.82E7   9.04E7       
NGC3198            0.002202  NED     14.1          8.5         3.3          4.34         0.06            161.93E6    0.44E6           8.78               9.83      1.01      506.31E7    75.95E7     62.42E7    3.12E7       
NGC3351            0.002595  NED     9.33          7.4         5.0          5.28         0.13            86.09E6     0.54E6           9.21               10.24     0.58      95.24E7     14.29E7     93.82E7    4.69E7       
NGC3521            0.002672  NED     11.2          11.0        5.1          17.86        0.20            419.94E6    0.87E6           9.06               10.69     1.95      811.43E7    121.71E7    392.12E7   19.61E7      
NGC3627            0.002425  NED     9.38          9.1         4.2          12.95        0.17            213.68E6    0.61E6           8.99               10.49     1.7       87.40E7     13.11E7     280.36E7   14.02E7      
NGC3938            0.002699  NED     17.9          5.4         4.9          3.89         0.09            233.44E6    1.84E6           9.06               9.46      1.77      432.18E7    64.83E7     232.21E7   11.61E7      
NGC4236            0.000000  NED     4.45          21.9        7.2          3.97         0.20            14.75E6     0.14E6           8.74               8.36      0.13      203.74E7    30.56E7     0.30E7     0.02E7       
NGC4254            0.008029  NED     14.4          5.4         4.7          9.04         0.13            351.59E6    0.90E6           9.08               9.56      3.92      381.34E7    57.20E7     661.71E7   33.09E7      
NGC4321            0.005240  NED     14.3          7.4         6.3          9.70         0.15            371.87E6    0.98E6           9.12               10.3      2.61      257.89E7    38.68E7     633.54E7   31.68E7      
NGC4536            0.006031  NED     14.5          7.6         3.2          5.01         0.09            197.38E6    0.72E6           9.0                9.44      2.17      363.38E7    54.51E7     173.33E7   8.67E7       
NGC4569           -0.000784  NED     9.86          9.5         4.4          3.43         0.06            62.55E6     0.31E6           9.26               10.0      0.29      19.86E7     2.98E7      126.50E7   6.33E7       
NGC4579            0.005060  NED     16.4          5.9         4.7          3.19         0.03            160.90E6    0.60E6           9.22               10.02     1.1       57.18E7     8.58E7      225.79E7   11.29E7      
NGC4625            0.002071  NED     9.3           2.2         1.9          0.58         0.03            9.34E6      0.16E6           9.05               8.72      0.052     32.12E7     4.82E7      2.48E7     0.12E7       
NGC4631            0.002021  NED     7.62          15.5        2.7          22.61        0.12            246.09E6    0.31E6           8.75               9.76      1.7       616.84E7    92.53E7     150.09E7   7.50E7       
NGC4725            0.004023  NED     11.9          10.7        7.6          7.10         0.12            188.45E6    0.79E6           9.1                10.52     0.44      294.52E7    44.18E7     62.08E7    3.10E7       
NGC4736            0.001027  NED     4.66          11.2        9.1          10.09        0.22            41.08E6     0.24E6           9.04               10.34     0.38      40.70E7     6.10E7      55.26E7    2.76E7       
NGC5055            0.001614  NED     7.94          12.6        7.2          24.05        0.32            284.20E6    0.94E6           9.11               10.55     1.04      365.07E7    54.76E7     312.90E7   15.65E7      
NGC5457            0.000804  NED     6.7           28.8        26.0         42.00        0.44            353.44E6    0.74E6           -99                9.98      2.33      888.70E7    133.31E7    230.70E7   11.54E7      
