#            ID              RA             DEC               z           Mstar             SFR         deltaMS        deltaMS2        deltaGas         cosmoAge
#
           3189         10.0979         14.6137       0.0383301     1.11173e+10         2.36624        0.379397        0.179122        0.109755         12.7912
           3261         13.8859         15.7758       0.0374571     1.19674e+10         1.49383        0.165074        -0.04514       0.0978242         12.8022
           3465         18.0909         15.0108       0.0289761      1.5417e+10        0.215442       -0.714878       -0.965478         0.02816         12.9107
           3509         19.2985         13.3409       0.0482021     6.38264e+10         1.24354        -0.30642       -0.708647       0.0296117         12.6667
           3524         19.3171         14.6224       0.0379701     5.37031e+10        0.319687       -0.836258        -1.23025       0.0156247         12.7957
           3519         19.3671         14.7044       0.0426927     5.55904e+10         3.01375        0.120386       -0.271913       0.0304737         12.7359
           3504         19.5977         13.6246       0.0379892     1.44212e+10        0.738774       -0.182827       -0.415393       0.0584536         12.7955
           3819           25.43         13.6758        0.045252     4.68813e+10         10.7457        0.704781        0.336406        0.157948         12.7037
           3962         30.9964         14.3104       0.0425931     8.01679e+10         6.32852        0.361897      -0.0752389       0.0990822         12.7372
           4017         31.3231         13.5057       0.0256948     1.67881e+10        0.674139       -0.231526       -0.496372        0.028098          12.953
           3977         31.9353         14.0816       0.0323046      1.8281e+10        0.435695        -0.45304       -0.721042       0.0134495          12.868
           4030         32.4145         13.9832       0.0490846     2.14289e+11          1.1536       -0.609686        -1.15758       0.0174186         12.6556
           4038         32.8409         14.5043       0.0416505     5.19996e+10         1.49637       -0.166698       -0.552145       0.0381932         12.7491
           4048         33.0808         13.6127       0.0414304     3.58096e+10          1.5373      -0.0721382       -0.412251       0.0476684         12.7519
          13775         117.982          27.303       0.0264318     3.74111e+10        0.375468        -0.66239        -1.02612       0.0100694         12.9435
          56375         119.332         11.2061       0.0462552     6.95024e+10         1.27933         -0.3088       -0.723829       0.0422125         12.6911
          56319         120.845         9.96273       0.0345926     1.37088e+10        0.471668       -0.359907       -0.589871       0.0390256         12.8387
          51563         121.176         15.7757       0.0293155     2.99916e+10        0.776667       -0.304436       -0.637184       0.0448815         12.9063
          56304         121.392         10.3934       0.0340303     7.76248e+10          1.4949       -0.238849       -0.683266       0.0129744         12.8459
          32308         129.893         25.4771       0.0292136     1.03753e+10        0.323855       -0.451579       -0.652787       0.0355068         12.9076
          16695         135.315          4.1181       0.0278804     1.16413e+10        0.351057       -0.439163       -0.656075       0.0664861         12.9248
          25752         135.352         10.2002       0.0367647     3.58922e+10         2.34725        0.120873       -0.225097       0.0795053          12.811
          25763         135.797          10.152       0.0296062     1.30017e+10         1.64981        0.205308      -0.0234727         0.12818         12.9026
          57017         140.622         14.4621        0.032286     3.43558e+10        0.335155       -0.705434        -1.05142       0.0212325         12.8682
          20133         143.152         9.84054        0.048744     7.17794e+10         5.32823        0.298287       -0.117495       0.0448005         12.6599
           8349         144.973         3.81395       0.0286054     2.31739e+10        0.881836       -0.191319        -0.49292       0.0509232         12.9155
          18686         148.261         7.84149       0.0409959     3.55631e+10         1.90313       0.0230002       -0.316786       0.0715418         12.7574
          20292         148.455         9.19379       0.0293901     4.69894e+10        0.296173       -0.821641        -1.20999       0.0194626         12.9054
          20286         148.664         9.44464       0.0345917     3.41193e+10        0.990046       -0.238341       -0.580691       0.0581692         12.8387
          14831         151.376         5.67207       0.0444631      1.6293e+11         1.16473       -0.534183        -1.05529       0.0202184         12.7136
          26221          154.16         12.5774         0.03158      9.6605e+10         3.70551         0.11283       -0.361903       0.0843864         12.8773
          26368         154.922          12.843        0.032878     1.84501e+10         1.77541        0.153892       -0.114596        0.110198         12.8606
          26311          155.79         12.2395       0.0450636     1.33968e+11         1.34045         -0.4312       -0.927652      0.00981859         12.7061
          22999         155.818         11.8557       0.0453945     4.38531e+10         4.61682        0.352368     -0.00770387         0.10289         12.7019
          23120         158.386         11.8756       0.0337912     1.07895e+10        0.844979      -0.0524997        -0.25379        0.104182          12.849
          15181         160.012         6.02058       0.0469573     1.51356e+11         1.47619       -0.420621       -0.929312       0.0235779         12.6823
          15155          160.23         5.99141       0.0274047     1.54525e+10         3.73108        0.526252        0.273634         0.58997         12.9309
          15166         160.338         6.27898       0.0338941     1.04232e+10         1.25115        0.125343      -0.0715665       0.0499815         12.8476
          29555          160.44          13.898       0.0314168     2.39883e+10        0.107508        -1.11862        -1.42122       0.0120324         12.8793
           8914         161.009         4.66301       0.0265356      2.6485e+10         1.47645      0.00755148       -0.313069       0.0725244         12.9421
          23453         164.501         11.9871       0.0344985     1.33352e+10         1.90898        0.253517       0.0268579       0.0675249         12.8399
           5442         165.135         2.11607       0.0394283     1.26765e+11         3.60675       0.0236002       -0.473826       0.0303131         12.7772
          29624          165.21         13.5976       0.0339979     2.07492e+10         1.08891      -0.0864638       -0.368187        0.143371         12.8463
          12371         168.277         5.23417       0.0432518     6.25172e+10          2.2891      -0.0262024        -0.43214       0.0300123         12.7289
          12293         170.122         4.12838       0.0494009     2.07014e+11        0.956524       -0.684098        -1.22736       0.0152748         12.6517
          12460         170.201         3.83918       0.0491045     9.44062e+10        0.345321       -0.951653        -1.40019       0.0143786         12.6554
          29842         170.382         13.4266       0.0341464     6.26614e+10         2.34239       0.0030018       -0.414851       0.0909741         12.8444
          17865         172.336         8.60233       0.0268722     1.92309e+10         1.21665     -0.00719199       -0.287612       0.0721402         12.9378
          29892         172.443         15.3336       0.0366426     1.05196e+11         1.11936       -0.437162       -0.915507       0.0138743         12.8126
          24168         184.052         13.4376       0.0262256     2.73527e+10        0.156755       -0.972849        -1.29785       0.0152789         12.9461
          24183         184.434          13.171       0.0428295     5.88844e+10         4.38934        0.270668       -0.128492         0.11475         12.7342
          24741         184.462         8.43028       0.0490394     8.20351e+10         4.41043        0.185913       -0.245679       0.0348855         12.6562
          18421         185.027         10.0748       0.0433896     3.99945e+10         1.84909      -0.0204516       -0.371709       0.0358355         12.7271
          24094         185.126         11.3409       0.0430483     1.20781e+11        0.817192       -0.618686        -1.10524       0.0156105         12.7314
           6375         186.865         3.30213       0.0488073      1.1324e+11         8.83141        0.416445      -0.0545243       0.0769316         12.6591
          18469         188.215         8.73998       0.0338128     1.41254e+10         1.00471       -0.036543       -0.271043       0.0772154         12.8487
           6506         190.789         3.58119       0.0486402      5.8479e+10         7.04359        0.465184        0.074118        0.152697         12.6612
          26822         192.871         13.7818       0.0375729     1.06906e+11          2.7986      -0.0448274       -0.523895       0.0498061         12.8008
          40494         194.269         10.6207       0.0463357     1.44877e+11         1.21965       -0.492427       -0.996657       0.0165433         12.6901
          13227         194.959         5.04756       0.0481793     1.65959e+11         1.26747       -0.510014         -1.0282       0.0175512          12.667
          40439         196.063         9.22346       0.0350814     8.93306e+10         5.31945        0.279198       -0.181135       0.0694327         12.8325
           6749         196.962         3.19466       0.0385752     1.31523e+11         1.09147       -0.501696        -1.00481       0.0176332          12.788
          40781         199.893         10.4549       0.0479515     1.26474e+11         2.17787       -0.214163       -0.699683       0.0383506         12.6698
          25448         202.516         12.1752       0.0446986      4.8084e+10         1.84578      -0.0647094        -0.43685       0.0256444         12.7107
          40024         203.409          13.236        0.043267     1.43219e+11        0.162719        -1.35772        -1.86478      0.00746506         12.7287
          13512         204.051         4.74009       0.0344145     5.39511e+10        0.478019       -0.654895        -1.05395      0.00726259          12.841
           7050          207.29         2.75321       0.0487127     9.72747e+10        0.283164        -1.04362        -1.49629        0.010246         12.6603
          13624         207.968         3.45502       0.0296395     2.05116e+10         2.72844        0.323827       0.0385574        0.107087         12.9022
           9301         210.821         4.36317        0.046086     2.15774e+11          1.3097       -0.549156        -1.10217       0.0135872         12.6932
           7286         213.634         3.19026       0.0268786     5.34564e+10         1.42632       -0.161763       -0.569326      0.00818416         12.9377
          38462         213.941         10.4389       0.0257787     5.57186e+10        0.709264       -0.471832       -0.885977       0.0350939         12.9519
           9514          215.54         4.52114       0.0266227     3.25087e+10        0.212044       -0.880233        -1.22625       0.0143381          12.941
           7493         216.834         2.83838       0.0262326     3.64754e+10         2.57721        0.180137       -0.180679       0.0800978          12.946
