#            ID              RA             Dec            z           Mstar             SFR            sSFR        deltaMS1        deltaMS2        deltaMS3        deltaMS4        deltaGas        cosmoAge     is_uplim     is_stack           w_obs          w_rest                     Source
#
              0    -99.00000000    -99.00000000         1.06         3.4e+10              22            0.79       -0.088336     -0.00752863      -0.0451459        0.138086        0.194118         5.54337            0            1          856.55           415.8         stack_lowz_cell_1
              1    -99.00000000    -99.00000000         1.15           6e+10              26             0.7       -0.244093       -0.183576       -0.162571      -0.0909576           0.235         5.22554            0            1          856.55           398.4         stack_lowz_cell_2
              2    -99.00000000    -99.00000000         1.14         3.9e+10              51            1.54        0.193245        0.269774        0.247379        0.401839        0.879487         5.25943            0            1          856.55          400.26         stack_lowz_cell_4
              3    -99.00000000    -99.00000000         1.15         6.9e+10              67            1.72        0.133167        0.188472        0.227885        0.268345        0.628985         5.22554            0            1          856.55           398.4         stack_lowz_cell_5
              4    -99.00000000    -99.00000000         1.21        1.75e+11              91            1.86      -0.0572224      -0.0334465        0.176732      -0.0395541        0.224571         5.02926            0            1          856.55          387.58         stack_lowz_cell_6
              5    -99.00000000    -99.00000000         1.12         3.5e+10             105            3.37        0.547591        0.628104        0.596699        0.770335         1.16286         5.32824            0            1          856.55          404.03         stack_lowz_cell_7
              6    -99.00000000    -99.00000000         1.18         7.5e+10             154            3.74        0.450459        0.503411         0.55403        0.575162           0.748         5.12592            0            1          856.55          392.91         stack_lowz_cell_8
              7    -99.00000000    -99.00000000         1.23        1.54e+11             178             3.6        0.260785        0.289806        0.468289         0.29493        0.614286         4.96641            0            1          856.55           384.1         stack_lowz_cell_9
              8    -99.00000000    -99.00000000         1.23         3.1e+10             221            6.65        0.845666        0.929772        0.900775         1.08109         1.34516         4.96641            0            1          856.55           384.1        stack_lowz_cell_10
              9    -99.00000000    -99.00000000         1.25           5e+10             390            9.61        0.937718         1.00529         1.00831         1.11255            2.02         4.90478            0            1          856.55          380.69        stack_lowz_cell_11
             10    -99.00000000    -99.00000000          1.2        2.06e+11             300            6.15        0.418418        0.435951        0.687853        0.415171        0.495146         5.06116            0            1          856.55          389.34        stack_lowz_cell_12
             11    -99.00000000    -99.00000000          2.2         2.8e+10              64            0.67       0.0225371       0.0594075        0.106282        0.251512           0.375         2.95837            0            1          856.55          267.67         stack_midz_cell_1
             12    -99.00000000    -99.00000000         2.73         7.1e+10             115            0.71       -0.138536       -0.124848       -0.121816      -0.0490178         0.31831         2.36167            0            1          856.55          229.64         stack_midz_cell_2
             13    -99.00000000    -99.00000000         2.66        1.21e+11             117            0.64       -0.296873       -0.285306       -0.266553       -0.252444        0.312397         2.42863            0            1          856.55          234.03         stack_midz_cell_3
             14    -99.00000000    -99.00000000          2.2         2.8e+10             173            1.82        0.452537        0.489408        0.536282        0.681512               1         2.95837            0            1          856.55          267.67         stack_midz_cell_4
             15    -99.00000000    -99.00000000         2.24         6.8e+10             191            1.48        0.189337        0.214482        0.238231        0.324292        0.601471         2.90509            0            1          856.55          264.37         stack_midz_cell_5
             16    -99.00000000    -99.00000000         2.25        2.01e+11             266            1.75      -0.0328929      -0.0199348       0.0928078     -0.00933944        0.333333         2.89201            0            1          856.55          263.55         stack_midz_cell_6
             17    -99.00000000    -99.00000000         2.34         3.1e+10             585            5.19        0.919533        0.949143          0.9941          1.1264         2.95806         2.77853            0            1          856.55          256.45         stack_midz_cell_7
             18    -99.00000000    -99.00000000         2.43         7.4e+10             608            4.02        0.621059        0.639899        0.658022        0.733121        0.797297         2.67215            0            1          856.55          249.72         stack_midz_cell_8
             19    -99.00000000    -99.00000000          2.3        1.82e+11             559            3.56          0.3184        0.331565        0.424762        0.349198        0.923077         2.82805            0            1          856.55          259.56         stack_midz_cell_9
             20    -99.00000000    -99.00000000         1.94         1.6e+11             885            7.56        0.655416        0.678083        0.792498        0.639811           0.875         3.34723            0            1          856.55          291.34        stack_midz_cell_12
             21    -99.00000000    -99.00000000         4.71         2.7e+10              70            0.57       -0.200257       -0.145646       -0.216318       -0.245963        0.681481         1.25353            0            1          856.55          150.01        stack_highz_cell_1
             22    -99.00000000    -99.00000000         4.23         5.1e+10              97            0.63       -0.253678       -0.215323       -0.295323       -0.298274        0.294118         1.42925            0            1          856.55          163.78        stack_highz_cell_2
             23    -99.00000000    -99.00000000         4.04        1.03e+11             137            0.75       -0.334451        -0.29982       -0.421031       -0.418184        0.669903         1.51039            0            1          856.55          169.95        stack_highz_cell_3
             24    -99.00000000    -99.00000000         4.63         2.2e+10             211             1.9          0.3458        0.395319        0.351815        0.326459        0.690909         1.28025            0            1          856.55          152.14        stack_highz_cell_4
             25    -99.00000000    -99.00000000         5.59         4.5e+10             352            2.35        0.280207        0.385328        0.168459       0.0952396        0.444444         1.01151            0            1          856.55          129.98        stack_highz_cell_5
             26    -99.00000000    -99.00000000         4.52        2.21e+11             321            1.68       -0.265414       -0.204835       -0.406764       -0.466658        0.647059         1.31857            0            1          856.55          155.17        stack_highz_cell_6
             27    -99.00000000    -99.00000000         4.25         1.9e+10             328            3.44        0.619316        0.652861        0.661007        0.656896         1.78947         1.42113            0            1          856.55          163.15        stack_highz_cell_7
             28    -99.00000000    -99.00000000         3.54           5e+10             788             5.1        0.719651        0.737331        0.715446        0.755507             5.8         1.76476            0            1          856.55          188.67        stack_highz_cell_8
             29    -99.00000000    -99.00000000         4.03        2.24e+11             696            3.54       0.0962039        0.134037      0.00490926      -0.0536976        0.767857         1.51487            0            1          856.55          170.29        stack_highz_cell_9
             30    -99.00000000    -99.00000000         4.18         1.4e+10             807             9.4         1.12024         1.14977         1.19238         1.19235         5.32143         1.44989            0            1          856.55          165.36       stack_highz_cell_10
             31    -99.00000000    -99.00000000         4.64         8.4e+10            1114            6.35        0.605819         0.66555        0.498802        0.472907         5.59524         1.27686            0            1          856.55          151.87       stack_highz_cell_11
