# ID  z    logMstar logSFR Z    Re_kpc Tdust_K logMdust E_logMdust logMgas_via_dust E_logMgas_via_dust logMgas_via_CO E_logMgas_via_CO logMdyn E_logMdyn logMHI E_logMHI flag_HI
  216 0.06 10.76    1.03   8.77 4.06   27.1    7.96     0.01       9.87             0.01               9.97           0.05             10.43   0.26      10.15  0.29     1      
  586 0.14 10.56    1.33   8.73 3.17   31.2    8.21     0.03       10.16            0.03               10.11          0.07             10.56   0.16      10.25  0.29     1      
  621 0.15 10.88    1.41   8.81 3.72   30.2    8.28     0.04       10.16            0.04               10.35          0.06             10.79   0.14      9.98   0.29     1      
  742 0.2  11.11    1.35   8.74 15.06  28.5    8.53     0.03       10.47            0.03               10.46          0.06             11.56   0.06      10.53  0.29     1      
  745 0.15 10.51    1.13   8.67 6.02   31.2    8.17     0.03       10.18            0.03               10.12          0.06             10.34   0.13      10.46  0.29     1      
  210 0.07 10.0     0.18   8.68 5.1    26.0    7.66     0.05       9.65             0.05               9.21           0.09             10.2    0.07      9.71   0.29     1      
  335 0.05 10.21    0.43   8.79 6.27   25.1    7.75     0.03       9.65             0.03               9.64           0.07             10.58   0.07      9.97   0.29     1      
  749 0.15 10.67    1.05   8.75 5.6    28.5    8.24     0.03       10.17            0.03               10.12          0.06             10.84   0.13      10.27  0.29     1      
  310 0.04 10.8     0.74   8.81 4.81   25.5    8.04     0.01       9.92             0.01               9.87           0.06             10.78   0.09      9.92   0.29     1      
  576 0.14 10.88    1.44   8.81 4.15   29.3    8.34     0.03       10.22            0.03               10.32          0.06             10.79   0.12      9.94   0.29     1      
  315 0.04 10.43    0.36   8.77 7.44   26.0    7.62     0.03       9.53             0.03               9.46           0.07             10.64   0.11      9.87   0.05     0      
  765 0.16 10.66    1.39   8.8  4.17   26.5    8.65     0.02       10.54            0.02               10.53          0.05             10.94   0.12      10.09  0.29     1      
  393 0.06 10.37    0.79   8.72 3.74   30.2    7.83     0.01       9.79             0.01               9.69           0.06             10.29   0.12      10.61  0.02     0      
  62  0.03 10.46    0.33   8.77 4.48   27.1    7.78     0.01       9.7              0.01               9.78           0.06             10.73   0.1       9.73   0.04     0      
  633 0.15 10.45    1.03   8.7  7.04   28.5    8.17     0.05       10.14            0.05               10.03          0.07             10.12   0.31      10.46  0.29     1      
  498 0.13 10.95    1.23   8.69 7.07   29.3    8.22     0.03       10.21            0.03               10.28          0.06             11.0    0.07      10.24  0.29     1      
  110 0.06 10.82    0.69   8.79 6.83   26.0    8.02     0.01       9.92             0.01               10.03          0.05             10.5    0.36      10.47  0.29     1      
  66  0.03 10.36    0.6    8.8  3.1    29.3    7.21     0.02       9.11             0.02               9.12           0.07             10.22   0.08      9.21   0.29     1      
  67  0.03 10.38    -0.07  8.78 3.95   28.5    7.45     0.01       9.36             0.01               9.37           0.06             10.51   0.07      9.3    0.06     0      
  495 0.13 10.94    0.93   8.73 6.92   26.5    8.22     0.05       10.17            0.05               10.05          0.06             10.92   0.06      9.89   0.29     1      
  72  0.05 10.62    0.62   8.72 6.39   27.1    7.83     0.01       9.8              0.01               9.71           0.06             10.76   0.06      9.79   0.29     1      
  657 0.16 10.47    1.07   8.77 5.18   27.8    8.28     0.04       10.19            0.04               10.1           0.06             10.45   0.18      10.13  0.29     1      
  770 0.16 10.83    1.1    8.8  5.48   26.0    8.33     0.05       10.22            0.05               10.2           0.06             10.53   0.21      10.29  0.29     1      
  793 0.05 10.56    0.93   8.85 5.76   29.3    7.72     0.01       9.57             0.01               9.68           0.06             10.56   0.09      10.21  0.07     0      
  22  0.04 10.76    0.94   8.83 8.57   28.5    7.75     0.01       9.61             0.01               9.65           0.06             10.93   0.11      10.31  0.04     0      
  345 0.05 10.57    0.53   8.7  5.73   27.1    7.73     0.02       9.7              0.02               9.62           0.06             10.74   0.06      9.85   0.07     0      
  628 0.15 10.74    1.09   8.72 6.71   27.8    8.23     0.05       10.19            0.05               10.0           0.08             10.82   0.09      10.51  0.29     1      
  47  0.04 10.27    0.22   8.8  3.79   27.1    7.49     0.02       9.38             0.02               9.47           0.07             10.22   0.11      10.05  0.06     0      
  579 0.14 10.39    0.73   8.72 5.59   28.5    8.12     0.05       10.07            0.05               9.81           0.08             10.59   0.08      10.31  0.29     1      
  4   0.05 10.74    0.52   8.8  3.23   25.1    7.74     0.05       9.63             0.05               9.65           0.06             10.65   0.07      9.52   0.29     1      
  525 0.08 10.35    0.57   8.77 5.38   23.1    8.26     0.09       10.17            0.09               9.88           0.05             10.34   0.25      10.46  0.1      0      
  527 0.08 10.74    0.78   8.76 6.68   25.1    8.17     0.03       10.09            0.03               10.14          0.05             11.4    0.39      10.41  0.08     0      
  652 0.16 10.7     1.58   8.78 3.44   29.3    8.36     0.03       10.27            0.03               10.23          0.06             10.36   0.25      10.16  0.29     1      
  521 0.08 10.42    0.74   8.67 8.5    26.5    8.15     0.03       10.15            0.03               9.92           0.06             10.69   0.06      10.07  0.29     1      
  650 0.16 11.03    1.48   8.75 11.74  25.5    8.63     0.03       10.57            0.03               10.56          0.06             11.16   0.11      10.79  0.29     1      
  334 0.05 10.46    0.71   8.83 5.26   26.0    7.9      0.03       9.77             0.03               9.72           0.05             10.56   0.08      10.1   0.29     1      
  506 0.13 11.48    1.03   8.81 5.74   24.2    8.28     0.05       10.16            0.05               9.96           0.06             11.32   0.26      10.89  0.29     1      
  5   0.05 10.77    0.7    8.79 6.09   26.5    7.96     0.01       9.86             0.01               10.02          0.07             10.78   0.12      10.24  0.02     0      
  364 0.06 10.32    0.88   8.71 5.1    28.5    7.95     0.02       9.92             0.02               9.59           0.07             10.5    0.08      10.08  0.29     1      
  277 0.1  11.01    1.37   8.79 6.11   26.0    8.38     0.02       10.28            0.02               10.23          0.05             10.98   0.06      9.92   0.29     1      
  202 0.07 10.88    0.46   8.65 10.12  23.7    8.02     0.08       10.04            0.08               9.99           0.07             11.21   0.11      10.27  0.29     1      
  734 0.18 11.16    1.39   8.82 6.58   27.8    8.44     0.03       10.31            0.03               10.25          0.06             11.6    0.3       10.35  0.29     1      
  753 0.15 10.33    0.9    8.71 7.22   26.5    8.21     0.14       10.18            0.14               9.61           0.08             10.26   0.35      10.58  0.29     1      
  151 0.08 10.65    0.64   8.81 6.73   25.5    8.22     0.11       10.1             0.11               9.74           0.07             10.85   0.12      10.56  0.08     0      
  336 0.05 10.25    0.75   8.8  5.29   24.8    7.88     0.03       9.77             0.03               9.51           0.07             10.89   0.29      10.18  0.29     1      
  401 0.12 10.81    1.12   8.82 5.46   27.1    8.23     0.03       10.11            0.03               10.08          0.06             10.85   0.06      10.11  0.29     1      
  715 0.13 10.89    1.12   8.79 12.32  25.5    8.33     0.05       10.22            0.05               10.13          0.07             11.2    0.21      10.65  0.29     1      
  439 0.07 10.52    0.45   8.73 5.68   26.5    7.89     0.02       9.84             0.02               9.71           0.06             10.59   0.05      9.86   0.29     1      
  614 0.17 10.97    1.6    8.79 5.37   28.5    8.71     0.02       10.61            0.02               10.52          0.05             10.54   0.45      10.55  0.29     1      
  190 0.07 10.35    0.68   8.82 4.7    27.1    7.89     0.03       9.77             0.03               9.63           0.06             10.37   0.12      10.13  0.29     1      
  121 0.06 10.49    0.69   8.76 4.5    27.8    7.74     0.03       9.67             0.03               9.35           0.08             10.44   0.14      10.04  0.29     1      
  111 0.06 10.85    0.65   8.8  6.14   26.5    7.86     0.02       9.75             0.02               9.87           0.07             10.9    0.14      10.47  0.29     1      
  38  0.04 10.13    0.74   8.81 4.25   29.3    7.52     0.02       9.39             0.02               9.52           0.07             10.51   0.21      9.73   0.1      0      
  267 0.03 10.83    1.0    8.81 4.73   27.8    7.98     0.0        9.86             0.0                10.05          0.06             10.79   0.17      9.59   0.04     0      
  266 0.03 10.13    0.03   8.82 2.6    25.5    7.33     0.03       9.2              0.03               9.2            0.08             10.24   0.08      9.52   0.04     0      
  264 0.03 10.26    -0.08  8.84 3.96   27.1    7.3      0.01       9.16             0.01               9.35           0.07             10.37   0.18      9.27   0.06     0      
  780 0.19 11.17    1.34   8.72 4.11   26.5    8.49     0.06       10.45            0.06               10.32          0.09             10.82   0.22      9.92   0.29     1      
  268 0.03 10.11    0.15   8.76 2.71   27.8    7.4      0.01       9.33             0.01               9.25           0.06             10.23   0.08      9.2    0.06     0      
  106 0.06 10.22    0.73   8.79 3.44   29.3    7.88     0.02       9.77             0.02               9.78           0.06             10.24   0.1       9.84   0.29     1      
  480 0.09 11.04    0.91   8.73 8.88   26.5    8.14     0.03       10.09            0.03               10.17          0.06             11.3    0.12      10.64  0.29     1      
  39  0.04 10.92    0.87   8.78 9.33   26.5    7.85     0.01       9.76             0.01               9.78           0.07             11.0    0.05      10.11  0.29     1      
  520 0.08 10.76    0.73   8.76 7.5    25.5    8.13     0.03       10.05            0.03               9.93           0.06             10.76   0.07      10.76  0.04     0      
  59  0.03 10.33    0.71   8.84 3.73   30.2    7.69     0.0        9.55             0.0                9.77           0.07             10.35   0.09      10.19  0.01     0      
  319 0.04 10.38    0.39   8.82 8.19   26.0    7.53     0.02       9.4              0.02               9.27           0.09             10.63   0.22      10.25  0.03     0      
  55  0.03 10.04    0.5    8.85 3.47   28.5    7.46     0.01       9.31             0.01               9.3            0.07             10.44   0.22      9.9    0.29     1      
  18  0.04 10.05    0.4    8.83 4.03   27.1    7.51     0.02       9.37             0.02               9.3            0.06             10.09   0.24      10.06  0.03     0      
  30  0.04 10.31    -0.4   8.86 8.41   23.9    7.77     0.08       9.61             0.08               9.35           0.07             10.74   0.13      9.86   0.04     0      
  37  0.04 10.42    0.57   8.76 3.53   25.1    7.94     0.01       9.86             0.01               9.76           0.06             10.43   0.09      9.72   0.13     0      
  354 0.05 10.63    0.29   8.73 5.88   25.1    7.78     0.12       9.73             0.12               9.37           0.06             10.76   0.08      10.27  0.29     1      
  379 0.06 10.08    0.54   8.72 4.71   25.5    7.62     0.04       9.58             0.04               9.25           0.08             10.47   0.12      10.0   0.29     1      
  642 0.18 10.85    1.27   8.77 8.19   27.8    8.41     0.04       10.33            0.04               10.36          0.07             11.0    0.12      10.33  0.29     1      
  32  0.04 10.82    0.59   8.72 11.11  26.5    7.66     0.02       9.62             0.02               9.65           0.06             10.83   0.12      9.72   0.04     0      
  649 0.16 10.89    1.03   8.8  6.23   27.8    8.57     0.02       10.46            0.02               10.45          0.05             12.11   0.58      10.39  0.29     1      
  437 0.07 10.76    1.11   8.71 7.12   31.2    8.12     0.01       10.08            0.01               10.01          0.06             10.74   0.09      10.16  0.29     1      
  204 0.07 10.9     0.89   8.78 3.72   26.5    8.04     0.02       9.95             0.02               9.97           0.06             10.75   0.14      9.78   0.29     1      
  292 0.04 11.0     0.3    8.78 5.76   24.8    7.47     0.05       9.38             0.05               9.21           0.11             11.2    0.24      9.67   0.29     1      
  514 0.08 10.6     0.47   8.7  8.79   23.9    8.09     0.08       10.07            0.08               9.78           0.07             10.79   0.15      10.0   0.29     1      
  65  0.03 10.34    -0.33  8.68 6.26   21.6    7.41     0.03       9.4              0.03               9.12           0.07             10.7    0.1       9.8    0.03     0      
