#             ID               RA              DEC            z            Mstar              SFR          deltaMS         deltaMS2         deltaGas          cosmoAge
#
            3189       10.0979000       14.6137000       0.0383     1.111730e+10         2.366240       0.37939700       0.17912200       0.08758135      12.79120000
            3261       13.8859000       15.7758000       0.0375     1.196740e+10         1.493830       0.16507400      -0.04514000       0.07845587      12.80220000
            3465       18.0909000       15.0108000       0.0290     1.541700e+10         0.215442      -0.71487800      -0.96547800       0.02372471      12.91070000
            3509       19.2985000       13.3409000       0.0482     6.382640e+10         1.243540      -0.30642000      -0.70864700       0.02232509      12.66670000
            3524       19.3171000       14.6224000       0.0380     5.370310e+10         0.319687      -0.83625800      -1.23025000       0.01249403      12.79570000
            3519       19.3671000       14.7044000       0.0427     5.559040e+10         3.013750       0.12038600      -0.27191300       0.02371304      12.73590000
            3504       19.5977000       13.6246000       0.0380     1.442120e+10         0.738774      -0.18282700      -0.41539300       0.04673629      12.79550000
            3819       25.4300000       13.6758000       0.0453     4.688130e+10        10.745700       0.70478100       0.33640600       0.12111225      12.70370000
            3962       30.9964000       14.3104000       0.0426     8.016790e+10         6.328520       0.36189700      -0.07523890       0.07714478      12.73720000
            4017       31.3231000       13.5057000       0.0257     1.678810e+10         0.674139      -0.23152600      -0.49637200       0.02413051      12.95300000
            3977       31.9353000       14.0816000       0.0323     1.828100e+10         0.435695      -0.45304000      -0.72104200       0.01111371      12.86800000
            4030       32.4145000       13.9832000       0.0491     2.142890e+11         1.153600      -0.60968600      -1.15758000       0.01306623      12.65560000
            4038       32.8409000       14.5043000       0.0417     5.199960e+10         1.496370      -0.16669800      -0.55214500       0.02989881      12.74910000
            4048       33.0808000       13.6127000       0.0414     3.580960e+10         1.537300      -0.07213820      -0.41225100       0.03736363      12.75190000
           13775      117.9820000       27.3030000       0.0264     3.741110e+10         0.375468      -0.66239000      -1.02612000       0.00861039      12.94350000
           56375      119.3320000       11.2061000       0.0463     6.950240e+10         1.279330      -0.30880000      -0.72382900       0.03218217      12.69110000
           56319      120.8450000        9.9627300       0.0346     1.370880e+10         0.471668      -0.35990700      -0.58987100       0.03182243      12.83870000
           51563      121.1760000       15.7757000       0.0293     2.999160e+10         0.776667      -0.30443600      -0.63718400       0.03773777      12.90630000
           56304      121.3920000       10.3934000       0.0340     7.762480e+10         1.494900      -0.23884900      -0.68326600       0.01061421      12.84590000
           32308      129.8930000       25.4771000       0.0292     1.037530e+10         0.323855      -0.45157900      -0.65278700       0.02987297      12.90760000
           16695      135.3150000        4.1181000       0.0279     1.164130e+10         0.351057      -0.43916300      -0.65607500       0.05637355      12.92480000
           25752      135.3520000       10.2002000       0.0368     3.589220e+10         2.347250       0.12087300      -0.22509700       0.06401988      12.81100000
           25763      135.7970000       10.1520000       0.0296     1.300170e+10         1.649810       0.20530800      -0.02347270       0.10759532      12.90260000
           57017      140.6220000       14.4621000       0.0323     3.435580e+10         0.335155      -0.70543400      -1.05142000       0.01754692      12.86820000
           20133      143.1520000        9.8405400       0.0487     7.177940e+10         5.328230       0.29828700      -0.11749500       0.03367177      12.65990000
            8349      144.9730000        3.8139500       0.0286     2.317390e+10         0.881836      -0.19131900      -0.49292000       0.04299549      12.91550000
           18686      148.2610000        7.8414900       0.0410     3.556310e+10         1.903130       0.02300020      -0.31678600       0.05621675      12.75740000
           20292      148.4550000        9.1937900       0.0294     4.698940e+10         0.296173      -0.82164100      -1.20999000       0.01635765      12.90540000
           20286      148.6640000        9.4446400       0.0346     3.411930e+10         0.990046      -0.23834100      -0.58069100       0.04743284      12.83870000
           14831      151.3760000        5.6720700       0.0445     1.629300e+11         1.164730      -0.53418300      -1.05529000       0.01557357      12.71360000
           26221      154.1600000       12.5774000       0.0316     9.660500e+10         3.705510       0.11283000      -0.36190300       0.07002530      12.87730000
           26368      154.9220000       12.8430000       0.0329     1.845010e+10         1.775410       0.15389200      -0.11459600       0.09075688      12.86060000
           26311      155.7900000       12.2395000       0.0451     1.339680e+11         1.340450      -0.43120000      -0.92765200       0.00753690      12.70610000
           22999      155.8180000       11.8557000       0.0454     4.385310e+10         4.616820       0.35236800      -0.00770387       0.07883007      12.70190000
           23120      158.3860000       11.8756000       0.0338     1.078950e+10         0.844979      -0.05249970      -0.25379000       0.08534846      12.84900000
           15181      160.0120000        6.0205800       0.0470     1.513560e+11         1.476190      -0.42062100      -0.92931200       0.01790323      12.68230000
           15155      160.2300000        5.9914100       0.0274     1.545250e+10         3.731080       0.52625200       0.27363400       0.50162669      12.93090000
           15166      160.3380000        6.2789800       0.0339     1.042320e+10         1.251150       0.12534300      -0.07156650       0.04092163      12.84760000
           29555      160.4400000       13.8980000       0.0314     2.398830e+10         0.107508      -1.11862000      -1.42122000       0.00999418      12.87930000
            8914      161.0090000        4.6630100       0.0265     2.648500e+10         1.476450       0.00755148      -0.31306900       0.06197836      12.94210000
