# Name_DGS           Distance_Madden2013         FLUX_500_Jy   FLUXERR_500_Jy
"Haro11"             92.1                        0.0800        0.0090 
"Haro2"              21.7                        0.1700        0.0200 
"Haro3"              19.3                        0.2500        0.0200 
"He2-10"             8.7                         0.9000        0.0800 
"HS0052+2536"        191.0                       0.0210        0.0080 
"IC 10"              0.7                         19.3000       6.0000 
"IIZw40"             12.1                        0.1500        0.0100 
"Mrk 1089"           56.6                        0.2900        0.0300 
"Mrk 930"            77.8                        0.0800        0.0100 
"NGC 1140"           20.0                        0.3300        0.0400 
"NGC 1569"           3.1                         1.8500        0.1600 
"NGC 1705"           5.1                         0.1200        0.0200 
"NGC 2366"           3.2                         0.4500        0.0400 
"NGC 4214"           2.9                         4.5300        0.3700 
"NGC 4449"           4.2                         5.9000        0.4800 
"NGC 4861"           7.5                         0.2300        0.0300 
"NGC 5253"           4.0                         1.3700        0.1100 
"NGC 625"            3.9                         0.9500        0.0800 
"NGC 6822"           0.5                         16.1000       5.0000 
"UM311"              23.5                        0.8100        0.0700 
"UM448"              87.8                        0.1100        0.0100 
"VIIZw403"           4.5                         0.0270        0.0080 
