# Source_Name              z                      SFR                  lgMstar   LPrmCO10        deltaMS       deltaGas             
  5MUSES-179               0.05299999937415123    1.4791100025177002   11.08     1.46E9          -0.382181     0.0558613            
  5MUSES-169               0.06400000303983688    6.165949821472168    10.82     8.4E8           0.347732      0.058484             
  5MUSES-105               0.06800000369548798    7.079460144042969    10.79     1.54E9          0.414865      0.114889             
  5MUSES-171               0.07800000160932541    11.220199584960938   10.93     2.14E9          0.521388      0.115657             
  5MUSES-229               0.0820000022649765     12.022600173950195   11.36     3.52999987E9    0.318835      0.0708814            
  5MUSES-230               0.08399999886751175    12.30270004272461    10.46     2.09E9          0.794241      0.333353             
  5MUSES-234               0.10000000149011612    10.0                 10.47     2.92999987E9    0.66841       0.456694             
  5MUSES-132               0.11699999868869781    19.952600479125977   10.67     2.76999987E9    0.830189      0.272419             
  5MUSES-227               0.1340000033378601     8.128310203552246    10.73     1.0E9           0.37589       0.085656             
  5MUSES-141               0.14000000059604645    8.511380195617676    11.15     2.86E9          0.158375      0.0931373            
  5MUSES-158               0.14499999582767487    22.908700942993164   10.99     5.2099999E9     0.664893      0.245242             
  5MUSES-225               0.14499999582767487    10.47130012512207    10.99     4.5500001E9     0.324893      0.214175             
  5MUSES-273               0.1889999955892563     19.05459976196289    10.97     3.16E9          0.513484      0.155756             
  5MUSES-136               0.20399999618530273    13.48960018157959    11.41     4.6899999E9     0.0917433     0.0839326            
  5MUSES-216               0.2150000035762787     23.44230079650879    10.71     4.14E9          0.70253       0.371328             
  5MUSES-250               0.2370000034570694     42.65800094604492    11.29     1.55000003E10   0.598345      0.36567              
  5MUSES-275               0.28600001335144043    53.70320129394531    11.13     3.2E10          0.705964      1.09121              
  HATLASJ083601.5+002617   0.03319999948143959    2.059999942779541    10.59     1.04E9          0.0539609     0.123027             
  HATLASJ083745.1-005141   0.03060000017285347    1.350000023841858    10.35     3.4E8           -0.00289905   0.0707946            
  HATLASJ083831.9+000045   0.07810000330209732    14.170000076293945   10.27     2.5E9           0.965884      0.616595             
  HATLASJ084217.7+021222   0.09600000083446503    8.510000228881836    10.53     2.48999987E9    0.574388      0.338065             
  HATLASJ084305.0+010858   0.07769999653100967    11.3100004196167     10.41     1.66E9          0.79592       0.297167             
  HATLASJ084350.7+005535   0.07289999723434448    10.609999656677246   10.64     1.91E9          0.658202      0.200909             
  HATLASJ084428.3+020349   0.02539999969303608    1.7999999523162842   10.29     4.1E8           0.162887      0.0968278            
  HATLASJ084428.3+020657   0.07859999686479568    10.329999923706055   10.78     3.92E9          0.562289      0.298538             
  HATLASJ084630.7+005055   0.13230000436306       32.130001068115234   10.36     4.6300001E9     1.17453       0.161808             
  HATLASJ084907.0-005139   0.0697999969124794     15.100000381469727   10.48     2.79000013E9    0.900561      0.42462              
  HATLASJ085111.5+013006   0.05939999967813492    5.289999961853027    10.56     1.98E9          0.424581      0.251189             
  HATLASJ085112.9+010342   0.02669999934732914    1.5800000429153442   10.14     2.0E8           0.179159      0.0679204            
  HATLASJ085234.4+013419   0.19499999284744263    83.43000030517578    10.57     1.99899996E10   1.36558       2.47172              
  HATLASJ085340.7+013348   0.04100000113248825    1.9199999570846558   10.36     6.1E8           0.123905      0.12331              
  HATLASJ085346.4+001252   0.05040000006556511    5.110000133514404    10.31     7.6E8           0.555773      0.171002             
  HATLASJ085356.5+001256   0.05079999938607216    2.140000104904175    10.01     6.8E8           0.330429      0.304089             
  HATLASJ085406.0+011129   0.04410000145435333    3.5                  9.79      4.3E8           0.668757      0.31989              
  HATLASJ085450.2+021207   0.05829999968409538    5.050000190734863    10.66     2.02E9          0.355262      0.203704             
  HATLASJ085615.9+005237   0.16920000314712524    8.619999885559082    10.96     4.4300001E9     0.210871      0.223872             
  HATLASJ085748.0+004641   0.07180000096559525    18.68000030517578    10.37     2.76E9          1.04602       0.094189             
  HATLASJ085750.0+012808   0.19930000603199005    8.380000114440918    10.49     5.6E8           0.40464       0.0829851            
  HATLASJ085828.4+012211   0.19920000433921814    29.149999618530273   10.7      7.9E8           0.829623      0.0729458            
  HATLASJ085828.5+003815   0.052400000393390656   2.7200000286102295   10.43     4.3E8           0.216526      0.0743019            
  HATLASJ085836.0+013149   0.10679999738931656    16.510000228881836   10.9      5.5399997E9     0.645871      0.320627             
  HATLASJ085957.9+015632   0.19429999589920044    21.690000534057617   10.81     8.7E8           0.648785      0.0107895            
  HATLASJ090004.9+000447   0.05389999970793724    3.680000066757202    10.7      1.53E9          0.206428      0.140605             
  HATLASJ090120.7+020224   0.20090000331401825    18.950000762939453   11.06     7.8899999E9     0.43968       0.316228             
  HATLASJ090223.8-001639   0.19629999995231628    8.720000267028809    11.03     3.2E8           0.127563      0.0136773            
  HATLASJ090532.6+020220   0.051899999380111694   4.889999866485596    10.8      2.38E9          0.28289       0.17338              
  HATLASJ090633.6+001526   0.16500000655651093    7.659999847412109    10.98     3.00999987E9    0.156497      0.144877             
  HATLASJ090750.0+010141   0.12809999287128448    50.06999969482422    10.14     5.3500001E9     1.49245       0.309742             
  HATLASJ090949.6+014847   0.1818999946117401     68.47000122070312    10.89     1.36399995E10   1.12597       0.809096             
  HATLASJ091157.2+014454   0.16940000653266907    24.489999771118164   10.9      7.3699999E9     0.696791      0.42658              
  HATLASJ091205.8+002655   0.054499998688697815   12.319999694824219   10.33     1.87E9          0.919632      0.401791             
  HATLASJ091420.1+000509   0.2021999955177307     35.47999954223633    10.62     6.6700001E9     0.95431       0.736207             
  HATLASJ091956.8+013851   0.17640000581741333    13.479999542236328   10.45     3.64999987E9    0.671695      0.595662             
  HATLASJ092232.2+002707   0.17299999296665192    15.600000381469727   10.36     5.04E9          0.790258      1.01391              
  HATLASJ113740.6-010454   0.1517000049352646     8.489999771118164    10.71     9.6E8           0.372706      0.0862979            
  HATLASJ113858.4-001629   0.16369999945163727    16.1200008392334     10.84     5.4599997E9     0.558437      0.363078             
  HATLASJ114343.9+000203   0.18719999492168427    11.180000305175781   10.1      4.8499999E9     0.765357      1.77011              
  HATLASJ114540.7+002554   0.34290000796318054    36.439998626708984   11.04     1.47E9          0.500882      0.0618016            
  HATLASJ114625.1-014511   0.16449999809265137    52.79999923706055    10.71     8.6099999E9     1.14318       0.772681             
  HATLASJ114702.7+001207   0.328000009059906      46.29999923706055    10.81     1.27899996E10   0.76238       0.909913             
  HATLASJ115039.6-010639   0.34299999475479126    84.51000213623047    11.3      2.84E9          0.712678      0.0656145            
  HATLASJ115141.3-004239   0.32100000977516174    58.93000030517578    10.94     5.48E9          0.801475      0.289734             
  HATLASJ115317.4-010123   0.18039999902248383    15.130000114440918   10.73     5.2600003E9     0.561036      0.450817             
  HATLASJ121141.8-015731   0.31700000166893005    63.650001525878906   11.18     2.1E9           0.700851      0.0636796            
  HATLASJ121253.5-002203   0.18549999594688416    13.010000228881836   10.79     4.4700001E9     0.453398      0.333426             
  HATLASJ121427.4+005818   0.18400000035762787    18.440000534057617   10.93     4.6E9           0.530397      0.0432514            
  HATLASJ121446.4-011155   0.17970000207424164    35.36000061035156    10.82     7.2499999E9     0.881455      0.504661             
  HATLASJ121908.8-010201   0.1574999988079071     7.760000228881836    11.12     6.1E8           0.100152      0.0212324            
  HATLASJ140649.0-005647   0.27149999141693115    45.5099983215332     11.25     8.3399997E9     0.589206      0.215774             
  HATLASJ140912.3-013454   0.26489999890327454    78.16000366210938    10.97     1.49400003E10   0.995439      0.736207             
  HATLASJ141008.0+005106   0.2563999891281128     67.9000015258789     11.1      1.31099996E10   0.874292      0.47863              
  HATLASJ141522.0+004413   0.26820001006126404    23.690000534057617   10.84     6.1400003E9     0.546047      0.408319             
  HATLASJ141925.3-011130   0.2533000111579895     56.599998474121094   10.15     9.1E8           1.34102       0.295121             
  HATLASJ142057.9+015233   0.26460000872612       43.849998474121094   10.86     1.23800003E10   0.807808      0.785236             
  HATLASJ142208.8+005428   0.2540999948978424     28.770000457763672   11.17     8.2200003E9     0.465413      0.0444631            
  HATLASJ142517.1+010546   0.2806999981403351     68.5199966430664     11.07     1.71399997E10   0.85502       0.671429             
  HATLASJ144218.7+003615   0.24089999496936798    35.27000045776367    10.58     1.01400003E10   0.910594      1.22744              
  HATLASJ144515.0+003907   0.2818000018596649     70.93000030517578    10.85     2.39000013E9    0.994936      0.0270396            
  A1                       0.096941               30.0                 10.74     4.76E9          1.0093        0.0942605            
  A2                       0.081196               28.399999618530273   10.99     4.44E9          0.886765      0.1977               
  A3                       0.062168               21.5                 11.03     3.22E9          0.785822      0.130749             
  A4                       0.089592               49.900001525878906   10.92     2.24999987E9    1.15065       0.0294555            
  A5                       0.080978               42.29999923706055    11.01     7.12E9          1.04982       0.0757359            
  A6                       0.085259               35.400001525878906   10.8      1.24E9          1.07319       0.0213961            
  A7                       0.090469               40.900001525878906   10.86     2.58E9          1.09391       0.0387888            
  A8                       0.099188               7.5                  11.21     2.1E9           0.155254      0.0563568            
  A9                       0.077338               3.700000047683716    10.55     1.59E9          0.23857       0.195032             
  A10                      0.055121               5.099999904632568    10.75     1.11E9          0.319948      0.0858909            
  A11                      0.076055               8.899999618530273    10.72     1.86E9          0.533963      0.154152             
  A12                      0.098171               3.4000000953674316   10.55     1.59E9          0.161249      0.195032             
  A13                      0.083503               11.699999809265137   11.06     7.1500001E9     0.46025       0.271044             
  B1                       0.183193               88.19999694824219    11.43     1.85999995E10   0.936159      0.300758             
  B2                       0.191773               54.599998474121094   11.29     1.32E10         0.788663      0.294639             
  B3                       0.165737               47.099998474121094   10.79     5.9699999E9     1.04765       0.105418             
  B4                       0.173078               49.70000076293945    11.02     6.9900001E9     0.931629      0.0726749            
  B5                       0.182661               51.099998474121094   11.24     1.07000003E10   0.804769      0.267982             
  B6                       0.174661               59.20000076293945    10.83     5.2199997E9     1.10886       0.0840134            
  B7                       0.17618                61.5                 11.45     9.0099999E9     0.782346      0.139122             
  B8                       0.176579               106.0999984741211    11.07     3.40999987E9    1.22702       0.0315772            
  B9                       0.178004               67.69999694824219    11.35     6.0300001E9     0.875396      0.11721              
  B10                      0.190227               75.0                 10.96     9.28E9          1.11185       0.110744             
  C1                       0.28302                38.70000076293945    11.24     8.2499999E9     0.505191      0.206583             
  C2                       0.300622               57.5                 11.2      1.07000003E10   0.671319      0.293837             
  C3                       0.312361               64.9000015258789     11.46     2.16999997E10   0.55341       0.327458             
  C4                       0.28538                50.5                 11.26     1.23000003E10   0.6053        0.294169             
  zCOSMOS_811469           0.4741                 62.20000076293945    10.6      4.3800003E9     0.822859      0.239383             
  zCOSMOS_811543           0.5279                 71.9000015258789     10.69     4.4499999E9     0.767399      0.19764              
  COSMOS_2019408           0.4708                 78.69999694824219    10.73     4.36E9          0.848909      0.176712             
  zCOSMOS_840823           0.4778                 74.4000015258789     10.74     6.88E9          0.809828      0.272409             
  ALMA01                   0.2669999897480011     9.899999618530273    10.4      5.216E9         0.420889      0.7099999785423279   
  ALMA02                   0.27399998903274536    19.600000381469727   10.3      5.696E9         0.764455      1.0                  
  ALMA03                   0.30799999833106995    19.899999618530273   10.4      6.336E9         0.664233      0.9900000095367432   
  ALMA04                   0.3109999895095825     10.100000381469727   10.6      2.368E9         0.248897      0.20000000298023224  
  ALMA05                   0.3230000138282776     24.200000762939453   10.9      8.528E9         0.435335      0.44999998807907104  
