# ID_GAMA      Source_Name                RA_str          Dec_str          z_spec      lgLIR   e_lgLIR   SFR  e_SFR        lgMstar  e_lgMstar  sSFR  e_sSFR     freq_obs      vel_obs  e_vel_obs     vel_FWHM  e_vel_FWHM   SCO10    e_SCO10     LPrmCO10   e_LPrmCO10    lgMH2  e_lgMH2      R_FWHM_kpc  e_R_FWHM_kpc
105572        HATLASJ141008.0+005106      14:10:08.0      +00:51:06.9      0.2564      11.83   0.01      67.9    1.85      11.1     0.12       0.54   0.15      91.702       144   29                411   70               4.0      0.9         1.311e10   0.295e10      10.78    0.098      13.7   3.6
15049         HATLASJ141522.0+004413      14:15:22.1      +00:44:14.9      0.2682      11.37   0.01      23.69   0.62      10.84    0.14       0.34   0.11      90.928       -48   90                805  213               1.7      0.45        0.614e10   0.162e10      10.451   0.114      22.7   3.3
227768        HATLASJ141908.4+011313      14:19:08.6      +01:13:10.7      0.2801      11.52   0.01      33.23   0.88      11.0     0.11       0.33   0.09      90.11        -99  -99                -99  -99               0.0      0.8         0.0e10     0.321e10      -99.     -99.        -99   -99
511560        HATLASJ141925.3-011130      14:19:25.4      -01:11:30.5      0.2533      11.75   0.01      56.6    1.53      10.15    0.12       4.03   1.16      91.991       -99  -99                -99  -99               0.3      0.16        0.091e10   -99           9.62     -99         -99   -99
319660        HATLASJ142057.9+015233      14:20:58.0      +01:52:32.1      0.2646      11.64   0.01      43.85   1.18      10.86    0.12       0.6    0.17      91.145        19   15                244   37               3.5      0.66        1.238e10   0.231e10      10.755   0.081      15.4   0.8
106336        HATLASJ142208.8+005428      14:22:09.0      +00:54:27.4      0.2541      11.46   0.01      28.77   0.76      11.17    0.13       0.19   0.06      91.953      -117   26                261   63               2.6      0.16        0.822e10   0.051e10      9.818    0.027       -99   -99
228157        HATLASJ142517.1+010546      14:25:17.1      +01:05:46.6      0.2807      11.84   0.01      68.52   1.87      11.07    0.12       0.58   0.16      90.023       -52   12                308   29               4.3      0.6         1.714e10   0.237e10      10.897   0.06        -99   -99
771527        HATLASJ144116.3+002724      14:41:16.4      +00:27:26.0      0.2441      11.08   0.01      12.16   0.31      10.83    0.11       0.18   0.05      92.647       -99  -99                -99  -99               0.0      0.9         0.0e10     0.262e10      -99.     -99.        -99   -99
594509        HATLASJ144129.5-000902      14:41:29.7      -00:09:01.2      0.2432      11.25   0.01      17.84   0.46      10.98    0.13       0.19   0.06      92.688       -99  -99                -99  -99               0.0      0.9         0.0e10     0.261e10      -99.     -99.        -99   -99
93478         HATLASJ144218.7+003615      14:42:18.7      +00:36:15.5      0.2409      11.55   0.01      35.27   0.94      10.58    0.12       0.92   0.25      92.859       112   18                363   42               3.5      0.96        1.014e10   0.276e10      10.669   0.118       -99   -99
16985         HATLASJ144515.0+003907      14:45:15.1      +00:39:06.4      0.2818      11.85   0.01      70.93   1.94      10.85    0.15       1.01   0.36      89.886       -99  -99                -99  -99               0.6      0.17        0.239e10   -99           9.282    -99         -99   -99
