# ID_GAMA      Source_Name                RA_str          Dec_str          z_spec      lgLIR   e_lgLIR   SFR  e_SFR        lgMstar  e_lgMstar  sSFR  e_sSFR     freq_obs      vel_obs  e_vel_obs     vel_FWHM  e_vel_FWHM   SCO10    e_SCO10     LPrmCO10   e_LPrmCO10    lgMH2  e_lgMH2      R_FWHM_kpc  e_R_FWHM_kpc
214184        HATLASJ083601.5+002617      08:36:01.6      +00:26:18.1      0.0332      10.31   0.02      2.06    0.1       10.59    0.1        0.05   0.01      111.545       54   11                306   27               20.6     0.85        0.104e10   0.004e10      9.68     0.018      10.1   0.8
3895257       HATLASJ083745.1-005141      08:37:45.2      -00:51:40.9      0.0306      10.13   0.03      1.35    0.09      10.35    0.12       0.06   0.02      111.843       18   14                202   33               8.1      0.62        0.034e10   0.003e10      9.2      0.034       6.4   0.9
208589        HATLASJ083831.9+000045      08:38:31.9      +00:00:45.0      0.0781      11.15   0.01      14.17   0.4       10.27    0.11       0.77   0.2      106.911        38    3                172    8               8.8      0.68        0.25e10    0.019e10      10.06    0.034       6.6   0.6
345647        HATLASJ084139.5+015346      08:41:39.5      +01:53:46.7      0.0736      10.98   0.01      9.48    0.25      10.29    0.11       0.49   0.13      107.561      -99  -99                -99  -99               0.0      1.3         0.0e10     0.032e10      -99.     -99.        -99   -99
417395        HATLASJ084217.7+021222      08:42:17.9      +02:12:23.4      0.096       10.93   0.04      8.51    0.79      10.53    0.11       0.25   0.07      105.185      -35    5                186   12               5.7      0.45        0.249e10   0.02e10       10.059   0.034      17.3   1.4
300757        HATLASJ084305.0+010858      08:43:05.1      +01:08:56.0      0.0777      11.05   0.03      11.31   0.78      10.41    0.17       0.44   0.17      106.975      -40    4                187   11               5.9      0.6         0.166e10   0.017e10      9.883    0.044       -99   -99
371334        HATLASJ084350.7+005535      08:43:50.8      +00:55:34.8      0.0729      11.03   0.01      10.61   0.27      10.64    0.12       0.24   0.07      107.478       30   17                283   47               7.7      0.64        0.191e10   0.016e10      9.943    0.036       -99   -99
345754        HATLASJ084428.3+020349      08:44:28.4      +02:03:49.8      0.0254      10.25   0.01      1.8     0.04      10.29    0.12       0.09   0.03      112.401       46    4                203   20               14.0     1.18        0.041e10   0.003e10      9.276    0.037       -99   -99
386263        HATLASJ084428.3+020657      08:44:28.4      +02:06:57.4      0.0786      11.01   0.03      10.33   0.64      10.78    0.11       0.17   0.05      106.865        5   10                349   25               13.6     1.78        0.392e10   0.051e10      10.255   0.057       -99   -99
278475        HATLASJ084630.7+005055      08:46:30.9      +00:50:53.3      0.1323      11.51   0.02      32.13   1.69      10.36    0.12       1.42   0.39      101.802       -4    9                324   23               5.5      0.5         0.463e10   0.042e10      9.569    0.039       -99   -99
3624571       HATLASJ084907.0-005139      08:49:07.1      -00:51:37.7      0.0698      11.18   0.01      15.1    0.33      10.48    0.11       0.5    0.13      107.752       -3    4                244    9               12.3     0.98        0.279e10   0.022e10      10.108   0.035       -99   -99
376293        HATLASJ085111.5+013006      08:51:11.4      +01:30:06.9      0.0594      10.72   0.02      5.29    0.26      10.56    0.1        0.15   0.04      108.805       16   15                372   35               12.2     0.46        0.198e10   0.007e10      9.96     0.016      13.9   0.7
371789        HATLASJ085112.9+010342      08:51:12.8      +01:03:43.7      0.0267      10.2    0.01      1.58    0.04      10.14    0.12       0.11   0.03      112.28       -13    4                143   11               6.3      0.87        0.02e10    0.003e10      8.972    0.06        -99   -99
323772        HATLASJ085234.4+013419      08:52:33.9      +01:34:22.7      0.195       11.92   0.01      83.43   2.18      10.57    0.12       2.25   0.62      96.417       134   16                340   38               10.7     0.07        1.999e10   0.012e10      10.963   0.003       -99   -99
323855        HATLASJ085340.7+013348      08:53:40.7      +01:33:47.9      0.041       10.28   0.03      1.92    0.14      10.36    0.12       0.08   0.02      110.722       26   14                140   32               8.0      0.37        0.061e10   0.003e10      9.451    0.02       11.2   2.3
600024        HATLASJ085346.4+001252      08:53:46.3      +00:12:52.4      0.0504      10.71   0.01      5.11    0.15      10.31    0.12       0.25   0.07      109.73         8   12                259   29               6.5      0.13        0.076e10   0.002e10      9.543    0.009       5.5   0.7
600026        HATLASJ085356.5+001256      08:53:56.3      +00:12:56.3      0.0508      10.33   0.03      2.14    0.16      10.01    0.12       0.21   0.06      109.683       31    5                138   13               5.7      0.14        0.068e10   0.002e10      9.493    0.011       9.5   2.5
301346        HATLASJ085406.0+011129      08:54:05.9      +01:11:30.4      0.0441      10.54   0.02      3.5     0.14      9.79     0.13       0.57   0.17      110.405       -5   17                255   41               4.8      1.25        0.043e10   0.011e10      9.295    0.113       4.5   1.2
386720        HATLASJ085450.2+021207      08:54:50.2      +02:12:08.3      0.0583      10.7    0.02      5.05    0.27      10.66    0.1        0.11   0.03      108.909       29   15                387   36               12.9     1.23        0.202e10   0.019e10      9.969    0.042       8.6   0.8
278874        HATLASJ085615.9+005237      08:56:16.0      +00:52:36.2      0.1692      10.94   0.01      8.62    0.22      10.96    0.1        0.09   0.02      98.588        15   13                252   32               3.2      0.55        0.443e10   0.076e10      10.31    0.075      17.1   2.9
600164        HATLASJ085623.6+001352      08:56:23.7      +00:13:51.7      0.1774      11.14   0.01      13.86   0.36      10.7     0.12       0.27   0.07      97.305       -99  -99                -99  -99               0.0      0.8         0.0e10     0.119e10      -99.     -99.        -99   -99
622662        HATLASJ085748.0+004641      08:57:48.0      +00:46:38.7      0.0718      11.27   0.01      18.68   0.33      10.37    0.11       0.79   0.2      107.552         0    2                182    6               11.5     0.58        0.276e10   0.014e10      9.344    0.022       -99   -99
376631        HATLASJ085750.0+012808      08:57:50.0      +01:28:06.7      0.1993      10.92   0.01      8.38    0.21      10.49    0.12       0.27   0.08      96.117       -99  -99                -99  -99               0.3      0.17        0.056e10   -99           9.409    -99         -99   -99
301648        HATLASJ085828.4+012211      08:58:28.5      +01:22:11.5      0.1992      11.46   0.01      29.15   0.77      10.7     0.12       0.58   0.16      96.14        -99  -99                -99  -99               0.4      0.18        0.079e10   -99           9.563    -99         -99   -99
622694        HATLASJ085828.5+003815      08:58:28.6      +00:38:14.8      0.0524      10.44   0.02      2.72    0.14      10.43    0.11       0.1    0.03      109.538       -6    8                223   19               3.4      0.42        0.043e10   0.005e10      9.301    0.053       8.2   0.8
376679        HATLASJ085836.0+013149      08:58:36.0      +01:31:49.0      0.1068      11.22   0.01      16.51   0.43      10.9     0.1        0.21   0.05      104.131       57    6                217   15               10.3     0.2         0.554e10   0.011e10      10.406   0.008      24.9   1.2
382034        HATLASJ085957.9+015632      08:59:57.9      +01:56:34.2      0.1943      11.34   0.01      21.69   0.57      10.81    0.2        0.33   0.15      96.531       -99  -99                -99  -99               0.5      0.18        0.087e10   -99           8.843    -99         -99   -99
209807        HATLASJ090004.9+000447      09:00:05.0      +00:04:46.8      0.0539      10.57   0.02      3.68    0.15      10.7     0.1        0.07   0.02      109.375       14   10                308   24               11.4     1.64        0.153e10   0.022e10      9.848    0.062       -99   -99
346900        HATLASJ090120.7+020224      09:01:20.7      +02:02:24.9      0.2009      11.28   0.01      18.95   0.49      11.06    0.15       0.16   0.06      95.954        95   26                393   62               4.0      0.51        0.789e10   0.101e10      10.56    0.056      21.2   5.0
203879        HATLASJ090223.8-001639      09:02:23.8      -00:16:39.6      0.1963      10.94   0.01      8.72    0.22      11.03    0.1        0.08   0.02      96.338       -99  -99                -99  -99               0.2      0.17        0.032e10   -99           9.166    -99         -99   -99
382362        HATLASJ090532.6+020220      09:05:32.6      +02:02:21.9      0.0519      10.69   0.02      4.89    0.17      10.8     0.1        0.08   0.02      109.59       -13   16                256   37               19.2     4.08        0.238e10   0.051e10      10.039   0.092       6.8   1.4
600656        HATLASJ090633.6+001526      09:06:33.6      +00:15:27.9      0.165       10.88   0.01      7.66    0.19      10.98    0.11       0.08   0.02      98.913        95   22                334   53               2.3      0.1         0.301e10   0.013e10      10.141   0.019       -99   -99
279387        HATLASJ090750.0+010141      09:07:50.1      +01:01:41.8      0.1281      11.7    0.01      50.07   1.05      10.14    0.12       3.62   0.97      102.191      -22    3                150    7               6.8      0.58        0.535e10   0.045e10      9.631    0.037       -99   -99
324842        HATLASJ090949.6+014847      09:09:49.6      +01:48:46.0      0.1819      11.84   0.02      68.47   2.7       10.89    0.12       0.88   0.24      97.531         6    1                73     3               8.5      0.58        1.364e10   0.093e10      10.798   0.03        -99   -99
324931        HATLASJ091157.2+014454      09:11:57.2      +01:44:53.9      0.1694      11.39   0.01      24.49   0.64      10.9     0.16       0.31   0.11      98.569        -3    5                168   13               5.3      0.52        0.737e10   0.072e10      10.53    0.043       -99   -99
216401        HATLASJ091205.8+002655      09:12:05.8      +00:26:55.6      0.0545      11.09   0.01      12.32   0.2       10.33    0.11       0.58   0.14      109.314       10    2                171    6               13.6     0.84        0.187e10   0.011e10      9.934    0.027       -99   -99
210543        HATLASJ091420.1+000509      09:14:20.0      +00:05:10.0      0.2022      11.55   0.01      35.48   0.94      10.62    0.13       0.85   0.25      95.874        37    9                302   22               3.3      0.57        0.667e10   0.114e10      10.487   0.074       -99   -99
378002        HATLASJ091956.8+013851      09:19:57.0      +01:38:51.6      0.1764      11.13   0.01      13.48   0.35      10.45    0.12       0.48   0.13      97.994       -10    7                151   16               2.4      0.32        0.365e10   0.048e10      10.225   0.057       -99   -99
216973        HATLASJ092232.2+002707      09:22:32.3      +00:27:08.4      0.173       11.19   0.01      15.6    0.4       10.36    0.12       0.68   0.18      98.305       -96   24                518   57               3.5      0.64        0.504e10   0.093e10      10.366   0.08        -99   -99
30313         HATLASJ113740.6-010454      11:37:40.7      -01:04:54.1      0.1517      10.93   0.01      8.49    0.21      10.71    0.12       0.17   0.05      100.123      -99  -99                -99  -99               0.9      0.11        0.096e10   -99           9.646    -99         -99   -99
53724         HATLASJ113858.4-001629      11:38:58.5      -00:16:30.2      0.1637      11.21   0.01      16.12   0.42      10.84    0.12       0.23   0.06      99.075       -58   19                261   45               4.2      1.0         0.546e10   0.129e10      10.4     0.103      18.8   4.2
69661         HATLASJ114343.9+000203      11:43:44.1      +00:02:02.5      0.1872      11.05   0.01      11.18   0.28      10.1     0.12       0.89   0.25      97.106       -24    4                67    10               2.8      0.52        0.485e10   0.089e10      10.348   0.08       18.0   4.1
84183         HATLASJ114540.7+002554      11:45:41.0      +00:25:55.3      0.3429      11.56   0.01      36.44   0.97      11.04    0.11       0.33   0.09      85.827       -99  -99                -99  -99               0.2      0.18        0.147e10   -99           9.831    -99         -99   -99
136959        HATLASJ114625.1-014511      11:46:25.0      -01:45:13.0      0.1645      11.72   0.01      52.8    1.42      10.71    0.1        1.03   0.24      98.956        95   11                381   28               6.6      0.64        0.861e10   0.084e10      10.598   0.043       -99   -99
758786        HATLASJ114702.7+001207      11:47:02.8      +00:12:07.0      0.328       11.67   0.01      46.3    1.24      10.81    0.11       0.71   0.19      86.779        61   32                335   76               2.3      0.72        1.279e10   0.393e10      10.769   0.134      35.0   9.5
30979         HATLASJ115039.6-010639      11:50:39.7      -01:06:40.7      0.343       11.93   0.01      84.51   2.32      11.3     0.14       0.42   0.14      85.84        -99  -99                -99  -99               0.5      0.18        0.284e10   -99           10.117   -99         -99   -99
39703         HATLASJ115141.3-004239      11:51:41.5      -00:42:39.5      0.321       11.77   0.01      58.93   1.6       10.94    0.11       0.68   0.17      87.265       -99  -99                -99  -99               1.1      0.16        0.548e10   -99           10.402   -99         -99   -99
535507        HATLASJ115317.4-010123      11:53:17.4      -01:01:21.3      0.1804      11.18   0.01      15.13   0.39      10.73    0.19       0.28   0.12      97.661       -21   45                506  107               3.3      0.76        0.526e10   0.12e10       10.384   0.099       -99   -99
179053        HATLASJ121141.8-015731      12:11:41.8      -01:57:29.7      0.317       11.8    0.01      63.65   1.73      11.18    0.1        0.42   0.09      87.599       -99  -99                -99  -99               0.4      0.17        0.21e10    -99           9.984    -99         -99   -99
186110        HATLASJ121206.2-013425      12:12:06.2      -01:34:24.3      0.1588      10.77   0.01      5.84    0.14      10.86    0.11       0.08   0.02      99.604       -99  -99                -99  -99               0.0      0.9         0.0e10     0.108e10      -99.     -99.        -99   -99
55717         HATLASJ121253.5-002203      12:12:53.5      -00:22:04.4      0.1855      11.11   0.01      13.01   0.33      10.79    0.11       0.21   0.05      97.238        -8   12                202   28               2.7      0.39        0.447e10   0.065e10      10.313   0.063       -99   -99
99611         HATLASJ121427.4+005818      12:14:27.4      +00:58:18.3      0.184       11.27   0.01      18.44   0.48      10.93    0.13       0.22   0.06      97.34         41    9                215   22               2.8      0.42        0.46e10    0.069e10      9.566    0.065       -99   -99
32169         HATLASJ121446.4-011155      12:14:46.5      -01:11:55.6      0.1797      11.55   0.01      35.36   0.94      10.82    0.11       0.54   0.14      97.707        13   19                402   47               4.6      0.6         0.725e10   0.094e10      10.523   0.056       -99   -99
537340        HATLASJ121908.8-010201      12:19:08.8      -01:02:00.5      0.1575      10.89   0.01      7.76    0.19      11.12    0.11       0.06   0.01      99.635       -99  -99                -99  -99               0.5      0.18        0.061e10   -99           9.447    -99         -99   -99
543473        HATLASJ140649.0-005647      14:06:49.0      -00:56:47.9      0.2715      11.66   0.01      45.51   1.22      11.25    0.12       0.25   0.07      90.656        12   36                390   86               2.3      0.52        0.834e10   0.192e10      10.584   0.1         -99   -99
491545        HATLASJ140912.3-013454      14:09:12.5      -01:34:54.9      0.2649      11.89   0.01      78.16   2.14      10.97    0.13       0.84   0.26      91.098       100   11                271   27               4.3      0.66        1.494e10   0.231e10      10.837   0.067       -99   -99
