#        ID_GAMA                  Source_Name          RA_str         Dec_str          z_spec           lgLIR         e_lgLIR             SFR           e_SFR         lgMstar       e_lgMstar            sSFR          e_sSFR        freq_obs         vel_obs       e_vel_obs        vel_FWHM      e_vel_FWHM           SCO10         e_SCO10        LPrmCO10      e_LPrmCO10           lgMH2         e_lgMH2      R_FWHM_kpc    e_R_FWHM_kpc               z         deltaMS        deltaGas        cosmoAge
# 
          376293       HATLASJ085111.5+013006      08:51:11.4     +01:30:06.9          0.0594           10.72            0.02            5.29            0.26           10.56             0.1            0.15            0.04         108.805              16              15             372              35            12.2            0.46        1.98e+09           7e+07            9.96           0.016            13.9             0.7          0.0594        0.424581        0.251189         12.5275
          371789       HATLASJ085112.9+010342      08:51:12.8     +01:03:43.7          0.0267            10.2            0.01            1.58            0.04           10.14            0.12            0.11            0.03          112.28             -13               4             143              11             6.3            0.87           2e+08           3e+07           8.972            0.06             -99             -99          0.0267        0.179159       0.0679204           12.94
          323772       HATLASJ085234.4+013419      08:52:33.9     +01:34:22.7           0.195           11.92            0.01           83.43            2.18           10.57            0.12            2.25            0.62          96.417             134              16             340              38            10.7            0.07       1.999e+10         1.2e+08          10.963           0.003             -99             -99           0.195         1.36558         2.47172         11.0002
          323855       HATLASJ085340.7+013348      08:53:40.7     +01:33:47.9           0.041           10.28            0.03            1.92            0.14           10.36            0.12            0.08            0.02         110.722              26              14             140              32               8            0.37         6.1e+08           3e+07           9.451            0.02            11.2             2.3           0.041        0.123905         0.12331         12.7573
          600024       HATLASJ085346.4+001252      08:53:46.3     +00:12:52.4          0.0504           10.71            0.01            5.11            0.15           10.31            0.12            0.25            0.07          109.73               8              12             259              29             6.5            0.13         7.6e+08           2e+07           9.543           0.009             5.5             0.7          0.0504        0.555773        0.171002         12.6392
          600026       HATLASJ085356.5+001256      08:53:56.3     +00:12:56.3          0.0508           10.33            0.03            2.14            0.16           10.01            0.12            0.21            0.06         109.683              31               5             138              13             5.7            0.14         6.8e+08           2e+07           9.493           0.011             9.5             2.5          0.0508        0.330429        0.304089         12.6342
          301346       HATLASJ085406.0+011129      08:54:05.9     +01:11:30.4          0.0441           10.54            0.02             3.5            0.14            9.79            0.13            0.57            0.17         110.405              -5              17             255              41             4.8            1.25         4.3e+08         1.1e+08           9.295           0.113             4.5             1.2          0.0441        0.668757         0.31989         12.7182
          386720       HATLASJ085450.2+021207      08:54:50.2     +02:12:08.3          0.0583            10.7            0.02            5.05            0.27           10.66             0.1            0.11            0.03         108.909              29              15             387              36            12.9            1.23        2.02e+09         1.9e+08           9.969           0.042             8.6             0.8          0.0583        0.355262        0.203704         12.5411
          278874       HATLASJ085615.9+005237      08:56:16.0     +00:52:36.2          0.1692           10.94            0.01            8.62            0.22           10.96             0.1            0.09            0.02          98.588              15              13             252              32             3.2            0.55        4.43e+09         7.6e+08           10.31           0.075            17.1             2.9          0.1692        0.210871        0.223872         11.2698
          600164       HATLASJ085623.6+001352      08:56:23.7     +00:13:51.7          0.1774           11.14            0.01           13.86            0.36            10.7            0.12            0.27            0.07          97.305             -99             -99             -99             -99               0             0.8               0        1.19e+09             -99             -99             -99             -99          0.1774             -99             -99         11.1831
          622662       HATLASJ085748.0+004641      08:57:48.0     +00:46:38.7          0.0718           11.27            0.01           18.68            0.33           10.37            0.11            0.79             0.2         107.552               0               2             182               6            11.5            0.58        2.76e+09         1.4e+08           9.344           0.022             -99             -99          0.0718         1.04602        0.094189         12.3759
          376631       HATLASJ085750.0+012808      08:57:50.0     +01:28:06.7          0.1993           10.92            0.01            8.38            0.21           10.49            0.12            0.27            0.08          96.117             -99             -99             -99             -99             0.3            0.17         5.6e+08             -99           9.409             -99             -99             -99          0.1993         0.40464       0.0829851         10.9561
          301648       HATLASJ085828.4+012211      08:58:28.5     +01:22:11.5          0.1992           11.46            0.01           29.15            0.77            10.7            0.12            0.58            0.16           96.14             -99             -99             -99             -99             0.4            0.18         7.9e+08             -99           9.563             -99             -99             -99          0.1992        0.829623       0.0729458         10.9571
          622694       HATLASJ085828.5+003815      08:58:28.6     +00:38:14.8          0.0524           10.44            0.02            2.72            0.14           10.43            0.11             0.1            0.03         109.538              -6               8             223              19             3.4            0.42         4.3e+08           5e+07           9.301           0.053             8.2             0.8          0.0524        0.216526       0.0743019         12.6142
          376679       HATLASJ085836.0+013149      08:58:36.0     +01:31:49.0          0.1068           11.22            0.01           16.51            0.43            10.9             0.1            0.21            0.05         104.131              57               6             217              15            10.3             0.2        5.54e+09         1.1e+08          10.406           0.008            24.9             1.2          0.1068        0.645871        0.320627         11.9615
          382034       HATLASJ085957.9+015632      08:59:57.9     +01:56:34.2          0.1943           11.34            0.01           21.69            0.57           10.81             0.2            0.33            0.15          96.531             -99             -99             -99             -99             0.5            0.18         8.7e+08             -99           8.843             -99             -99             -99          0.1943        0.648785       0.0107895         11.0074
          209807       HATLASJ090004.9+000447      09:00:05.0     +00:04:46.8          0.0539           10.57            0.02            3.68            0.15            10.7             0.1            0.07            0.02         109.375              14              10             308              24            11.4            1.64        1.53e+09         2.2e+08           9.848           0.062             -99             -99          0.0539        0.206428        0.140605         12.5956
          346900       HATLASJ090120.7+020224      09:01:20.7     +02:02:24.9          0.2009           11.28            0.01           18.95            0.49           11.06            0.15            0.16            0.06          95.954              95              26             393              62               4            0.51        7.89e+09        1.01e+09           10.56           0.056            21.2               5          0.2009         0.43968        0.316228         10.9398
          203879       HATLASJ090223.8-001639      09:02:23.8     -00:16:39.6          0.1963           10.94            0.01            8.72            0.22           11.03             0.1            0.08            0.02          96.338             -99             -99             -99             -99             0.2            0.17         3.2e+08             -99           9.166             -99             -99             -99          0.1963        0.127563       0.0136773         10.9868
          382362       HATLASJ090532.6+020220      09:05:32.6     +02:02:21.9          0.0519           10.69            0.02            4.89            0.17            10.8             0.1            0.08            0.02          109.59             -13              16             256              37            19.2            4.08        2.38e+09         5.1e+08          10.039           0.092             6.8             1.4          0.0519         0.28289         0.17338         12.6205
          600656       HATLASJ090633.6+001526      09:06:33.6     +00:15:27.9           0.165           10.88            0.01            7.66            0.19           10.98            0.11            0.08            0.02          98.913              95              22             334              53             2.3             0.1        3.01e+09         1.3e+08          10.141           0.019             -99             -99           0.165        0.156497        0.144877         11.3145
          279387       HATLASJ090750.0+010141      09:07:50.1     +01:01:41.8          0.1281            11.7            0.01           50.07            1.05           10.14            0.12            3.62            0.97         102.191             -22               3             150               7             6.8            0.58        5.35e+09         4.5e+08           9.631           0.037             -99             -99          0.1281         1.49245        0.309742         11.7188
          324842       HATLASJ090949.6+014847      09:09:49.6     +01:48:46.0          0.1819           11.84            0.02           68.47             2.7           10.89            0.12            0.88            0.24          97.531               6               1              73               3             8.5            0.58       1.364e+10         9.3e+08          10.798            0.03             -99             -99          0.1819         1.12597        0.809096         11.1359
          324931       HATLASJ091157.2+014454      09:11:57.2     +01:44:53.9          0.1694           11.39            0.01           24.49            0.64            10.9            0.16            0.31            0.11          98.569              -3               5             168              13             5.3            0.52        7.37e+09         7.2e+08           10.53           0.043             -99             -99          0.1694        0.696791         0.42658         11.2676
          216401       HATLASJ091205.8+002655      09:12:05.8     +00:26:55.6          0.0545           11.09            0.01           12.32             0.2           10.33            0.11            0.58            0.14         109.314              10               2             171               6            13.6            0.84        1.87e+09         1.1e+08           9.934           0.027             -99             -99          0.0545        0.919632        0.401791         12.5881
          210543       HATLASJ091420.1+000509      09:14:20.0     +00:05:10.0          0.2022           11.55            0.01           35.48            0.94           10.62            0.13            0.85            0.25          95.874              37               9             302              22             3.3            0.57        6.67e+09        1.14e+09          10.487           0.074             -99             -99          0.2022         0.95431        0.736207         10.9266
          378002       HATLASJ091956.8+013851      09:19:57.0     +01:38:51.6          0.1764           11.13            0.01           13.48            0.35           10.45            0.12            0.48            0.13          97.994             -10               7             151              16             2.4            0.32        3.65e+09         4.8e+08          10.225           0.057             -99             -99          0.1764        0.671695        0.595662         11.1936
          216973       HATLASJ092232.2+002707      09:22:32.3     +00:27:08.4           0.173           11.19            0.01            15.6             0.4           10.36            0.12            0.68            0.18          98.305             -96              24             518              57             3.5            0.64        5.04e+09         9.3e+08          10.366            0.08             -99             -99           0.173        0.790258         1.01391         11.2295
           30313       HATLASJ113740.6-010454      11:37:40.7     -01:04:54.1          0.1517           10.93            0.01            8.49            0.21           10.71            0.12            0.17            0.05         100.123             -99             -99             -99             -99             0.9            0.11         9.6e+08             -99           9.646             -99             -99             -99          0.1517        0.372706       0.0862979         11.4579
           53724       HATLASJ113858.4-001629      11:38:58.5     -00:16:30.2          0.1637           11.21            0.01           16.12            0.42           10.84            0.12            0.23            0.06          99.075             -58              19             261              45             4.2               1        5.46e+09        1.29e+09            10.4           0.103            18.8             4.2          0.1637        0.558437        0.363078         11.3284
           69661       HATLASJ114343.9+000203      11:43:44.1     +00:02:02.5          0.1872           11.05            0.01           11.18            0.28            10.1            0.12            0.89            0.25          97.106             -24               4              67              10             2.8            0.52        4.85e+09         8.9e+08          10.348            0.08              18             4.1          0.1872        0.765357         1.77011         11.0807
           84183       HATLASJ114540.7+002554      11:45:41.0     +00:25:55.3          0.3429           11.56            0.01           36.44            0.97           11.04            0.11            0.33            0.09          85.827             -99             -99             -99             -99             0.2            0.18        1.47e+09             -99           9.831             -99             -99             -99          0.3429        0.500882       0.0618016         9.61875
          136959       HATLASJ114625.1-014511      11:46:25.0     -01:45:13.0          0.1645           11.72            0.01            52.8            1.42           10.71             0.1            1.03            0.24          98.956              95              11             381              28             6.6            0.64        8.61e+09         8.4e+08          10.598           0.043             -99             -99          0.1645         1.14318        0.772681         11.3199
          758786       HATLASJ114702.7+001207      11:47:02.8     +00:12:07.0           0.328           11.67            0.01            46.3            1.24           10.81            0.11            0.71            0.19          86.779              61              32             335              76             2.3            0.72       1.279e+10        3.93e+09          10.769           0.134              35             9.5           0.328         0.76238        0.909913         9.74628
           30979       HATLASJ115039.6-010639      11:50:39.7     -01:06:40.7           0.343           11.93            0.01           84.51            2.32            11.3            0.14            0.42            0.14           85.84             -99             -99             -99             -99             0.5            0.18        2.84e+09             -99          10.117             -99             -99             -99           0.343        0.712678       0.0656145          9.6179
           39703       HATLASJ115141.3-004239      11:51:41.5     -00:42:39.5           0.321           11.77            0.01           58.93             1.6           10.94            0.11            0.68            0.17          87.265             -99             -99             -99             -99             1.1            0.16        5.48e+09             -99          10.402             -99             -99             -99           0.321        0.801475        0.289734         9.80703
          535507       HATLASJ115317.4-010123      11:53:17.4     -01:01:21.3          0.1804           11.18            0.01           15.13            0.39           10.73            0.19            0.28            0.12          97.661             -21              45             506             107             3.3            0.76        5.26e+09         1.2e+09          10.384           0.099             -99             -99          0.1804        0.561036        0.450817         11.1516
          179053       HATLASJ121141.8-015731      12:11:41.8     -01:57:29.7           0.317            11.8            0.01           63.65            1.73           11.18             0.1            0.42            0.09          87.599             -99             -99             -99             -99             0.4            0.17         2.1e+09             -99           9.984             -99             -99             -99           0.317        0.700851       0.0636796           9.842
          186110       HATLASJ121206.2-013425      12:12:06.2     -01:34:24.3          0.1588           10.77            0.01            5.84            0.14           10.86            0.11            0.08            0.02          99.604             -99             -99             -99             -99               0             0.9               0        1.08e+09             -99             -99             -99             -99          0.1588             -99             -99         11.3811
           55717       HATLASJ121253.5-002203      12:12:53.5     -00:22:04.4          0.1855           11.11            0.01           13.01            0.33           10.79            0.11            0.21            0.05          97.238              -8              12             202              28             2.7            0.39        4.47e+09         6.5e+08          10.313           0.063             -99             -99          0.1855        0.453398        0.333426         11.0984
           99611       HATLASJ121427.4+005818      12:14:27.4     +00:58:18.3           0.184           11.27            0.01           18.44            0.48           10.93            0.13            0.22            0.06           97.34              41               9             215              22             2.8            0.42         4.6e+09         6.9e+08           9.566           0.065             -99             -99           0.184        0.530397       0.0432514          11.114
           32169       HATLASJ121446.4-011155      12:14:46.5     -01:11:55.6          0.1797           11.55            0.01           35.36            0.94           10.82            0.11            0.54            0.14          97.707              13              19             402              47             4.6             0.6        7.25e+09         9.4e+08          10.523           0.056             -99             -99          0.1797        0.881455        0.504661         11.1589
          537340       HATLASJ121908.8-010201      12:19:08.8     -01:02:00.5          0.1575           10.89            0.01            7.76            0.19           11.12            0.11            0.06            0.01          99.635             -99             -99             -99             -99             0.5            0.18         6.1e+08             -99           9.447             -99             -99             -99          0.1575        0.100152       0.0212324         11.3951
          543473       HATLASJ140649.0-005647      14:06:49.0     -00:56:47.9          0.2715           11.66            0.01           45.51            1.22           11.25            0.12            0.25            0.07          90.656              12              36             390              86             2.3            0.52        8.34e+09        1.92e+09          10.584             0.1             -99             -99          0.2715        0.589206        0.215774         10.2526
          491545       HATLASJ140912.3-013454      14:09:12.5     -01:34:54.9          0.2649           11.89            0.01           78.16            2.14           10.97            0.13            0.84            0.26          91.098             100              11             271              27             4.3            0.66       1.494e+10        2.31e+09          10.837           0.067             -99             -99          0.2649        0.995439        0.736207         10.3142
          105572       HATLASJ141008.0+005106      14:10:08.0     +00:51:06.9          0.2564           11.83            0.01            67.9            1.85            11.1            0.12            0.54            0.15          91.702             144              29             411              70               4             0.9       1.311e+10        2.95e+09           10.78           0.098            13.7             3.6          0.2564        0.874292         0.47863         10.3943
           15049       HATLASJ141522.0+004413      14:15:22.1     +00:44:14.9          0.2682           11.37            0.01           23.69            0.62           10.84            0.14            0.34            0.11          90.928             -48              90             805             213             1.7            0.45        6.14e+09        1.62e+09          10.451           0.114            22.7             3.3          0.2682        0.546047        0.408319         10.2833
          227768       HATLASJ141908.4+011313      14:19:08.6     +01:13:10.7          0.2801           11.52            0.01           33.23            0.88              11            0.11            0.33            0.09           90.11             -99             -99             -99             -99               0             0.8               0        3.21e+09             -99             -99             -99             -99          0.2801             -99             -99         10.1731
          511560       HATLASJ141925.3-011130      14:19:25.4     -01:11:30.5          0.2533           11.75            0.01            56.6            1.53           10.15            0.12            4.03            1.16          91.991             -99             -99             -99             -99             0.3            0.16         9.1e+08             -99            9.62             -99             -99             -99          0.2533         1.34102        0.295121         10.4237
          319660       HATLASJ142057.9+015233      14:20:58.0     +01:52:32.1          0.2646           11.64            0.01           43.85            1.18           10.86            0.12             0.6            0.17          91.145              19              15             244              37             3.5            0.66       1.238e+10        2.31e+09          10.755           0.081            15.4             0.8          0.2646        0.807808        0.785236          10.317
          106336       HATLASJ142208.8+005428      14:22:09.0     +00:54:27.4          0.2541           11.46            0.01           28.77            0.76           11.17            0.13            0.19            0.06          91.953            -117              26             261              63             2.6            0.16        8.22e+09         5.1e+08           9.818           0.027             -99             -99          0.2541        0.465413       0.0444631         10.4161
          228157       HATLASJ142517.1+010546      14:25:17.1     +01:05:46.6          0.2807           11.84            0.01           68.52            1.87           11.07            0.12            0.58            0.16          90.023             -52              12             308              29             4.3             0.6       1.714e+10        2.37e+09          10.897            0.06             -99             -99          0.2807         0.85502        0.671429         10.1676
          771527       HATLASJ144116.3+002724      14:41:16.4     +00:27:26.0          0.2441           11.08            0.01           12.16            0.31           10.83            0.11            0.18            0.05          92.647             -99             -99             -99             -99               0             0.9               0        2.62e+09             -99             -99             -99             -99          0.2441             -99             -99         10.5118
          594509       HATLASJ144129.5-000902      14:41:29.7     -00:09:01.2          0.2432           11.25            0.01           17.84            0.46           10.98            0.13            0.19            0.06          92.688             -99             -99             -99             -99               0             0.9               0        2.61e+09             -99             -99             -99             -99          0.2432             -99             -99         10.5205
           93478       HATLASJ144218.7+003615      14:42:18.7     +00:36:15.5          0.2409           11.55            0.01           35.27            0.94           10.58            0.12            0.92            0.25          92.859             112              18             363              42             3.5            0.96       1.014e+10        2.76e+09          10.669           0.118             -99             -99          0.2409        0.910594         1.22744         10.5427
           16985       HATLASJ144515.0+003907      14:45:15.1     +00:39:06.4          0.2818           11.85            0.01           70.93            1.94           10.85            0.15            1.01            0.36          89.886             -99             -99             -99             -99             0.6            0.17        2.39e+09             -99           9.282             -99             -99             -99          0.2818        0.994936       0.0270396         10.1575
