#        ID_GAMA                  Source_Name          RA_str         Dec_str          z_spec           lgLIR         e_lgLIR             SFR           e_SFR         lgMstar       e_lgMstar            sSFR          e_sSFR        freq_obs         vel_obs       e_vel_obs        vel_FWHM      e_vel_FWHM           SCO10         e_SCO10        LPrmCO10      e_LPrmCO10           lgMH2         e_lgMH2      R_FWHM_kpc    e_R_FWHM_kpc               z         deltaMS        deltaGas        cosmoAge
# 
          214184       HATLASJ083601.5+002617      08:36:01.6     +00:26:18.1          0.0332           10.31            0.02            2.06             0.1           10.59             0.1            0.05            0.01         111.545              54              11             306              27            20.6            0.85        1.04e+09           4e+07            9.68           0.018            10.1             0.8          0.0332       0.0539609        0.123027         12.8565
         3895257       HATLASJ083745.1-005141      08:37:45.2     -00:51:40.9          0.0306           10.13            0.03            1.35            0.09           10.35            0.12            0.06            0.02         111.843              18              14             202              33             8.1            0.62         3.4e+08           3e+07             9.2           0.034             6.4             0.9          0.0306     -0.00289905       0.0707946         12.8898
          208589       HATLASJ083831.9+000045      08:38:31.9     +00:00:45.0          0.0781           11.15            0.01           14.17             0.4           10.27            0.11            0.77             0.2         106.911              38               3             172               8             8.8            0.68         2.5e+09         1.9e+08           10.06           0.034             6.6             0.6          0.0781        0.965884        0.616595         12.2998
          345647       HATLASJ084139.5+015346      08:41:39.5     +01:53:46.7          0.0736           10.98            0.01            9.48            0.25           10.29            0.11            0.49            0.13         107.561             -99             -99             -99             -99               0             1.3               0         3.2e+08             -99             -99             -99             -99          0.0736             -99             -99         12.3541
          417395       HATLASJ084217.7+021222      08:42:17.9     +02:12:23.4           0.096           10.93            0.04            8.51            0.79           10.53            0.11            0.25            0.07         105.185             -35               5             186              12             5.7            0.45        2.49e+09           2e+08          10.059           0.034            17.3             1.4           0.096        0.574388        0.338065         12.0873
          300757       HATLASJ084305.0+010858      08:43:05.1     +01:08:56.0          0.0777           11.05            0.03           11.31            0.78           10.41            0.17            0.44            0.17         106.975             -40               4             187              11             5.9             0.6        1.66e+09         1.7e+08           9.883           0.044             -99             -99          0.0777         0.79592        0.297167         12.3046
          371334       HATLASJ084350.7+005535      08:43:50.8     +00:55:34.8          0.0729           11.03            0.01           10.61            0.27           10.64            0.12            0.24            0.07         107.478              30              17             283              47             7.7            0.64        1.91e+09         1.6e+08           9.943           0.036             -99             -99          0.0729        0.658202        0.200909         12.3625
          345754       HATLASJ084428.3+020349      08:44:28.4     +02:03:49.8          0.0254           10.25            0.01             1.8            0.04           10.29            0.12            0.09            0.03         112.401              46               4             203              20              14            1.18         4.1e+08           3e+07           9.276           0.037             -99             -99          0.0254        0.162887       0.0968278         12.9568
          386263       HATLASJ084428.3+020657      08:44:28.4     +02:06:57.4          0.0786           11.01            0.03           10.33            0.64           10.78            0.11            0.17            0.05         106.865               5              10             349              25            13.6            1.78        3.92e+09         5.1e+08          10.255           0.057             -99             -99          0.0786        0.562289        0.298538         12.2938
          278475       HATLASJ084630.7+005055      08:46:30.9     +00:50:53.3          0.1323           11.51            0.02           32.13            1.69           10.36            0.12            1.42            0.39         101.802              -4               9             324              23             5.5             0.5        4.63e+09         4.2e+08           9.569           0.039             -99             -99          0.1323         1.17453        0.161808         11.6718
         3624571       HATLASJ084907.0-005139      08:49:07.1     -00:51:37.7          0.0698           11.18            0.01            15.1            0.33           10.48            0.11             0.5            0.13         107.752              -3               4             244               9            12.3            0.98        2.79e+09         2.2e+08          10.108           0.035             -99             -99          0.0698        0.900561         0.42462         12.4002
