# ID  lgMH2_XCOMW lgMH2_XCOZ lgMHI ID_2 lgMstar lgMHI_2 METALZ E_METALZ SFR_GALEX Field_or_Virgo_Cluster
  11  8.34        8.43       8.79  11   9.86    8.79    8.57   0.09     0.85      F                     
  13  9.04        8.8        9.32  13   10.81   9.32    8.69   0.05     -99.0     F                     
  16  8.52        8.5        9.14  16   10.23   9.12    8.68   0.01     1.08      F                     
  17  8.91        8.93       9.42  17   10.15   9.42    8.55   0.06     1.62      F                     
  20  8.14        8.14       9.47  20   10.11   9.46    8.48   0.04     3.51      F                     
  24  9.08        8.94       10.04 24   10.55   10.04   8.66   0.22     2.65      F                     
  25  8.75        8.72       9.24  25   10.33   9.24    8.67   0.03     2.01      F                     
  27  8.86        9.06       8.62  27   9.61    8.62    8.66   0.03     1.15      F                     
  31  8.41        8.32       9.77  31   10.39   9.77    8.34   0.04     1.87      F                     
  33  8.64        8.61       9.41  33   10.26   9.33    8.61   0.33     1.44      F                     
  37  8.56        8.62       8.84  37   10.03   8.86    8.72   0.22     0.93      F                     
  38  8.1         8.3        9.0   38   9.57    9.02    8.33   0.18     -99.0     F                     
  42  8.94        8.83       9.39  42   10.45   9.36    8.75   0.1      -99.0     F                     
  48  9.43        9.27       9.51  48   10.59   9.51    8.64   0.17     3.81      F                     
  50  9.11        9.02       9.23  50   10.45   9.23    8.69   0.13     2.75      F                     
  53  8.59        8.65       9.39  53   9.95    9.42    8.58   0.32     0.86      F                     
  55  8.68        8.72       9.27  55   10.08   9.27    8.69   0.15     1.16      F                     
  56  9.32        9.15       9.06  56   10.62   9.06    8.67   0.1      1.53      F                     
  57  8.95        8.82       8.91  57   10.47   8.91    8.72   0.1      1.49      F                     
  59  8.73        8.65       9.24  59   10.28   9.28    8.69   0.18     0.88      F                     
  66  9.15        9.07       9.4   66   10.39   9.4     8.44   0.29     1.82      F                     
  73  9.56        9.32       9.4   73   10.86   9.4     8.86   0.22     -99.0     F                     
  74  8.86        8.85       9.12  74   10.21   9.12    8.66   0.08     -99.0     F                     
  77  9.61        9.29       9.82  77   11.08   9.82    8.69   0.1      7.58      F                     
  78  8.49        8.74       9.23  78   9.65    9.23    8.58   0.2      0.64      F                     
  84  8.2         8.39       8.52  84   9.77    8.56    8.8    0.1      0.33      V                     
  85  9.2         9.04       9.38  85   10.63   9.38    8.71   0.13     1.54      F                     
  86  8.55        8.67       9.54  86   9.92    9.54    8.53   0.1      1.44      V                     
  88  8.72        8.81       9.58  88   10.07   9.58    8.81   0.15     1.7       V                     
  89  8.43        8.41       9.63  89   10.19   9.68    8.45   0.02     1.76      V                     
  91  9.39        9.07       9.7   91   11.08   9.63    8.76   0.1      2.24      V                     
  94  8.52        8.59       9.44  94   10.01   9.42    8.57   0.03     0.5       V                     
  95  8.35        8.46       8.65  95   10.07   8.59    8.64   0.09     0.35      V                     
  96  9.11        8.99       8.98  96   10.61   8.99    8.71   0.1      -99.0     V                     
  98  8.06        8.29       9.1   98   9.87    9.15    8.42   0.33     0.29      V                     
  102 10.02       9.73       9.72  102  11.0    9.79    8.73   0.12     12.4      V                     
  110 7.95        8.06       9.31  110  9.9     9.51    8.5    0.15     1.28      V                     
  114 9.94        9.63       9.76  114  11.07   9.85    8.76   0.11     11.3      V                     
  122 9.91        9.55       9.52  122  11.2    9.6     8.75   0.1      8.46      V                     
  130 8.11        8.31       8.58  130  9.7     8.46    8.62   0.06     0.44      V                     
  133 8.12        8.39       9.23  133  9.83    9.23    8.46   0.04     0.34      F                     
  142 8.48        8.56       9.48  142  9.97    9.48    8.57   0.03     1.76      V                     
  145 8.6         8.75       8.96  145  9.83    8.98    8.43   0.22     0.79      V                     
  148 8.55        8.74       9.05  148  9.64    9.11    8.36   0.24     0.69      V                     
  149 9.31        9.23       8.72  149  10.46   8.87    8.68   0.1      0.61      V                     
  151 8.38        8.49       8.33  151  9.93    8.88    8.68   0.1      0.46      V                     
  152 8.38        8.59       8.4   152  9.88    8.33    8.71   0.21     0.73      V                     
  153 8.27        8.44       8.46  153  9.78    8.56    8.65   0.29     0.48      V                     
  154 8.15        8.26       9.42  154  9.9     9.34    8.49   0.33     1.13      V                     
  157 8.51        8.61       8.89  157  9.92    8.89    8.59   0.03     1.0       V                     
  158 9.04        9.28       9.27  158  9.55    9.26    8.3    0.04     0.44      V                     
  160 8.73        8.71       8.92  160  10.31   9.11    8.58   0.32     1.11      V                     
  171 8.64        8.68       8.55  171  10.12   8.57    8.66   0.19     0.81      V                     
  177 8.35        8.52       8.7   177  9.73    8.7     8.52   0.12     0.69      V                     
  182 8.25        8.35       8.89  182  9.86    8.9     8.68   0.28     0.56      V                     
  187 8.29        8.61       9.47  187  9.85    9.56    8.61   0.04     1.92      V                     
  188 8.26        8.39       9.12  188  9.95    9.12    8.65   0.16     0.74      V                     
  190 9.88        9.5        9.3   190  11.38   9.32    8.77   0.1      5.44      V                     
  193 7.89        8.16       8.44  193  9.44    8.54    8.6    0.12     0.69      V                     
  194 9.35        9.13       9.97  194  10.84   9.96    8.53   0.03     1.88      V                     
  196 8.27        8.37       9.5   196  9.95    9.42    8.37   0.25     1.39      V                     
  197 8.9         9.02       8.69  197  9.87    8.69    8.51   0.48     0.63      V                     
  198 8.08        8.26       8.82  198  9.71    8.82    8.54   0.02     0.37      F                     
  201 9.68        9.41       9.87  201  11.06   9.84    8.81   0.1      2.06      V                     
  203 8.3         8.4        9.45  203  9.96    9.61    8.32   0.05     2.55      V                     
  204 9.55        9.33       9.69  204  11.03   9.59    8.77   0.1      4.78      V                     
  205 9.45        9.25       9.71  205  10.8    9.71    8.7    0.21     4.96      V                     
  206 8.65        8.96       7.98  206  9.64    7.94    8.77   0.39     0.26      V                     
  207 8.64        8.69       8.5   207  10.11   8.45    8.66   0.1      0.67      V                     
  212 8.57        8.8        9.4   212  9.63    9.4     8.37   0.12     1.05      F                     
