# ID  lgMH2_XCOMW lgMH2_XCOZ lgMHI ID_2 lgMstar lgMHI_2 METALZ E_METALZ SFR_GALEX Field_or_Virgo_Cluster
  215 9.76        9.67       9.03  215  10.36   8.68    8.65   0.1      1.61      V                     
  216 9.43        9.23       9.23  216  10.82   8.99    8.77   0.22     2.44      V                     
  230 8.42        8.55       8.68  230  9.74    8.69    8.61   0.02     0.6       V                     
  233 8.8         8.9        8.34  233  10.02   8.3     8.71   0.1      0.22      V                     
  237 8.75        8.88       8.71  237  9.86    8.76    8.66   0.16     0.73      V                     
  239 8.82        8.9        8.71  239  10.09   8.66    8.73   0.11     0.92      V                     
  244 9.36        9.25       8.73  244  10.4    8.67    8.61   0.1      1.73      V                     
  246 8.96        8.83       9.63  246  10.59   9.63    8.75   0.07     2.35      V                     
  247 9.61        9.43       9.54  247  10.72   9.55    8.65   0.07     4.4       V                     
  254 9.31        9.22       8.76  254  10.66   8.84    8.66   0.1      -99.0     V                     
  259 8.51        8.65       9.58  259  9.85    9.58    8.38   0.31     -99.0     V                     
  262 8.72        8.8        9.51  262  10.01   9.58    8.43   0.1      2.12      V                     
  266 8.69        8.69       10.15 266  10.12   10.15   8.48   0.08     3.39      F                     
  268 8.53        8.65       9.08  268  10.0    9.09    8.55   0.25     1.14      V                     
  273 8.64        8.65       8.93  273  10.14   8.92    8.69   0.1      0.49      V                     
  275 8.13        8.13       9.64  275  10.16   9.64    8.52   0.02     3.81      F                     
  280 8.37        8.53       8.62  280  9.91    8.62    8.75   0.1      0.23      V                     
  283 8.59        8.62       9.68  283  10.16   9.72    8.56   0.28     2.08      V                     
  284 8.89        8.89       8.93  284  10.17   8.92    8.71   0.09     0.45      F                     
  287 8.55        8.61       8.99  287  10.06   8.99    8.63   0.04     1.07      V                     
  289 9.13        8.93       9.68  289  10.62   9.68    8.7    0.14     3.96      F                     
  290 8.49        8.66       8.58  290  9.75    8.58    8.56   0.23     0.31      F                     
  292 8.93        8.98       9.02  292  10.02   9.02    8.77   0.1      0.68      F                     
  293 8.1         8.25       8.96  293  9.78    8.96    8.51   0.0      1.18      F                     
  295 9.77        9.61       9.67  295  10.65   9.73    8.81   0.06     5.09      F                     
  297 8.84        8.75       9.55  297  10.46   9.56    8.56   0.06     1.47      F                     
  299 8.3         8.25       9.04  299  10.32   9.2     8.64   0.02     0.84      F                     
  301 8.56        8.47       9.48  301  10.31   9.48    8.62   0.12     1.39      F                     
  310 8.82        8.85       9.01  310  10.16   8.89    8.64   0.24     0.74      F                     
  313 8.3         8.33       9.05  313  9.98    9.05    8.57   0.08     0.58      F                     
  318 8.47        8.52       9.29  318  10.02   9.25    8.3    0.25     1.21      F                     
  319 8.36        8.38       9.53  319  10.03   9.86    8.39   0.2      1.92      F                     
  320 8.37        8.33       9.68  320  10.28   9.8     8.59   0.11     3.27      F                     
  323 8.73        8.7        9.36  323  10.2    9.22    8.65   0.01     0.51      F                     
