# lgMstar   SFR     lgN2    lgO3N2    metalZ_PP04_N2    metalZ_PP04_O3N2    
  9.43      12.1    -1.22   1.89      8.2046            8.1252              
  9.78      10.6    -1.08   1.63      8.2844            8.2084              
  9.97      16.6    -0.90   1.36      8.3870            8.2948              
  10.30     45.1    -0.71   1.09      8.4953            8.3812              
  9.72      5.7     -1.05   1.49      8.3015            8.2532              
  10.04     11.1    -0.79   1.14      8.4497            8.3652              
  9.50      9.2     -1.16   1.76      8.2388            8.1668              
  10.1      26.2    -0.81   1.23      8.4383            8.3364              
  9.55      32.1    -1.23   1.93      8.1989            8.1124              
  10.25     88.2    -0.78   1.24      8.4554            8.3332              
