#    Source_Name               z           Mstar       Mstar_err           Mdust       Mdust_err            Mgas        Mgas_err             SFR         SFR_err        LPrmCO10         lgMstar         deltaMS        deltaGas          lgMISM        cosmoAge
# 
         ID-8049           0.507       9.333e+10               0       6.457e+08       8.393e+07       3.955e+10       1.623e+10         16.5959        0.331917       2.951e+09           10.97      -0.0197235        0.423765         10.5971         8.36143
         ID-5819            0.53       6.457e+10               0        1.66e+08        1.66e+07       1.254e+10       4.405e+09          18.197         0.18197       3.388e+09           10.81       0.0930784        0.194208         10.0983         8.20471
         ID-7691           0.637       6.761e+10               0       1.905e+08       1.905e+07       1.446e+10       6.026e+09         34.6737         1.04021       6.026e+09           10.83         0.24479        0.213874         10.1602            7.53
        BzK-4171           1.465       3.981e+10               0       5.012e+08       4.177e+07       5.223e+10       1.306e+10         95.4993         3.81997       2.089e+10            10.6        0.300118         1.31198         10.7179         4.31227
       BzK-12591             1.6       1.096e+11               0        1.23e+09       1.025e+08       1.202e+11       3.004e+10         275.423         5.50846       3.162e+10         11.0398        0.384064         1.09672         11.0799         3.99641
       BzK-25536           1.459       3.236e+10               0       3.311e+08       7.972e+07       3.642e+10       9.105e+09         28.8403         1.73042       1.175e+10           10.51       -0.151943         1.12546         10.5613         4.32723
       BzK-17999           1.523        3.89e+10               0       1.175e+09       6.527e+07       6.623e+10       1.656e+10          208.93          2.0893       1.698e+10         10.5899        0.624209         1.70257         10.8211         4.17184
       BzK-16000           1.522       4.266e+10               0       1.288e+09        8.35e+07       2.027e+11       5.067e+10          74.131         2.22393       2.089e+10           10.63        0.145288         4.75152         11.3069          4.1742
       BzK-21000           1.414       7.762e+10               0       6.026e+08       3.905e+07       1.247e+11       3.118e+10         114.815         2.29631       2.188e+10           10.89        0.191526         1.60654         11.0959         4.44211
