# Galaxy  Is_uplim  In_Leroy2008  In_Groves2015
NGC0628   0         1             1
NGC0925   0         1             1
HoII      1         1             1
NGC2841   0         1             1
NGC2903   0         0             0
HoI       1         1             1
NGC2976   0         1             1
NGC3184   0         1             1
NGC3198   0         1             1
IC2574    1         1             1
NGC3351   0         1             1
NGC3521   0         1             1
NGC4214   0         1             0
NGC4736   0         1             1
DDO154    1         1             1
NGC5055   0         1             1
NGC6946   0         1             1
NGC7331   0         1             1
