#    Source_Name               z         lgMstar             SFR           lgLIR        LPrmCO10       eLPrmCO10         deltaMS        deltaGas          lgMISM        cosmoAge
# 
      5MUSES-200           0.043           10.48         2.04174           10.31             -99         2.1e+08       0.0855116             -99             -99         12.7321
      5MUSES-179           0.053           11.08         1.47911           10.17        1.46e+09         1.2e+08       -0.382181       0.0558613         9.82711         12.6068
      5MUSES-169           0.064           10.82         6.16595           10.79         8.4e+08           2e+08        0.347732        0.058484         9.58704          12.471
      5MUSES-105           0.068           10.79         7.07946           10.85        1.54e+09         2.7e+08        0.414865        0.114889         9.85028         12.4221
      5MUSES-171           0.078           10.93         11.2202           11.05        2.14e+09         4.1e+08        0.521388        0.115657         9.99317          12.301
      5MUSES-229           0.082           11.36         12.0226           11.08        3.53e+09         4.6e+08        0.318835       0.0708814         10.2105         12.2531
      5MUSES-230           0.084           10.46         12.3027           11.09        2.09e+09         4.1e+08        0.794241        0.333353          9.9829         12.2292
      5MUSES-234             0.1           10.47              10              11        2.93e+09         3.3e+08         0.66841        0.456694         10.1296         12.0405
      5MUSES-132           0.117           10.67         19.9526            11.3        2.77e+09           6e+08        0.830189        0.272419         10.1052         11.8444
      5MUSES-227           0.134           10.73         8.12831           10.91           1e+09         2.9e+08         0.37589        0.085656         9.66276         11.6528
      5MUSES-141            0.14           11.15         8.51138           10.93        2.86e+09         5.8e+08        0.158375       0.0931373         10.1191         11.5863
      5MUSES-158           0.145           10.99         22.9087           11.36        5.21e+09        1.24e+09        0.664893        0.245242         10.3796         11.5312
      5MUSES-225           0.145           10.99         10.4713           11.02        4.55e+09         5.7e+08        0.324893        0.214175         10.3208         11.5312
      5MUSES-273           0.189           10.97         19.0546           11.28        3.16e+09         6.9e+08        0.513484        0.155756         10.1624          11.062
      5MUSES-136           0.204           11.41         13.4896           11.13        4.69e+09        1.11e+09       0.0917433       0.0839326         10.3339         10.9083
      5MUSES-294            0.21           11.49         33.1131           11.52             -99        3.47e+09        0.425776             -99             -99         10.8476
      5MUSES-216           0.215           10.71         23.4423           11.37        4.14e+09         8.3e+08         0.70253        0.371328         10.2798         10.7974
      5MUSES-194           0.224           11.19         27.5423           11.44             -99        6.49e+09        0.487887             -99             -99         10.7079
      5MUSES-249           0.237           10.96          40.738           11.61             -99         4.8e+09        0.764764             -99             -99         10.5805
      5MUSES-250           0.237           11.29          42.658           11.63        1.55e+10        1.89e+09        0.598345         0.36567         10.8531         10.5805
      5MUSES-275           0.286           11.13         53.7032           11.73         3.2e+10        5.68e+09        0.705964         1.09121         11.1679         10.1191
      5MUSES-313           0.322           10.64         50.1187            11.7             -99        1.01e+10        0.905192             -99             -99         9.79832
      5MUSES-156            0.34           10.17         97.7237           11.99             -99        1.28e+10         1.44633             -99             -99         9.64338
      5MUSES-101            0.36           10.86          42.658           11.63             -99        8.91e+09         0.65077             -99             -99         9.47534
