# lgMstar   SFR SFR_eHi SFR_eLo    z       Source           metalZ_M08 metalZ_eHi metalZ_eLo    FOIII4958  eFOIII4958  FOIII5007  eFOIII5007  FHbeta  eFHbeta  FOII3727  eFOII3727
  10.33     29  +81 -21            3.103   SSA_22a−C30      8.16       +0.20      -0.60         0.34       0.10        1.28       0.22        0.26    0.10      0.30     0.12         
  9.68      23  +11 -8             3.097   SSA_22a−C6       7.95       +0.20      -0.50         2.26       0.78        5.50       0.62        0.76    0.45      1.21     0.38                          
  9.41      20  +40 -13            3.098   SSA_22a−M4       8.12       +0.25      -0.45         1.08       0.30        3.66       0.49        0.69    0.25      1.46     0.23                          
  8.96      15  +15 -8             3.112   SSA_22b−C5       7.66       +0.20      -0.20         1.01       0.22        3.28       0.24        0.50    0.14       -99      -99               
  9.78      14  +18 -8             2.933   DSF_2237b−D28    8.20       +0.10      -0.25         0.50       0.16        1.86       0.36         -99     -99      0.74     0.16                          
  10.09     10  +6  -4             3.235   Q0302−C131       8.00       +0.25      -0.40         0.90       0.20        2.62       0.52        0.46    0.16      0.80     0.32                          
  10.07     13  +17 -8             3.414   Q0302−M80        8.36       +0.15      -0.15         0.42       0.20        1.32       0.26        0.40    0.12      0.56     0.18                          
  10.06     5   +2  -2             3.328   Q0302−C171       8.14       +0.25      -0.45         0.28       0.08        1.10       0.12        0.18    0.08      0.56     0.24                          
