# z_lo  z_hi  z        lgMstar_lo  lgMstar_hi  lgMstar   lgsSFR    lgSFR    metalZ_PP04_N2  metalZ_eHi  metalZ_eLo
  0.0   0.1   0.07     7.0         8.5         7.76      -9.61     -1.85              7.92  +0.12  −0.22          
  0.0   0.1   0.07     8.5         9.0         8.69      -9.78     -1.09              8.16  +0.10  −0.10          
  0.0   0.1   0.07     9.0         9.5         9.18      -9.84     -0.66              8.39  +0.09  −0.13          
  0.0   0.1   0.07     9.5         10.0        9.64      -9.94     -0.30              8.39  +0.19  −0.21          
  0.0   0.1   0.07     10.0        10.5        10.28     -9.99     +0.29              8.69  +0.08  −0.14          
  0.0   0.1   0.07     10.5        11.0        10.71     -10.36    +0.35              8.75  +0.04  −0.03          
# 
  0.1   0.4   0.25     7.0         8.5         8.09      -8.91     -0.82              8.16  +0.00  -0.00
  0.1   0.4   0.25     8.5         9.0         8.83      -9.22     -0.39              8.22  +0.00  -0.00
  0.1   0.4   0.25     9.0         9.5         9.35      -9.52     -0.17              8.34  +0.00  -0.00
  0.1   0.4   0.25     9.5         10.0        9.71      -9.69     +0.02              8.53  +0.00  -0.00
  0.1   0.4   0.25     10.0        10.5        10.11     -9.78     +0.33              8.62  +0.00  -0.00
  0.1   0.4   0.25     10.5        11.0        10.57     -9.72     +0.85              8.60  +0.00  -0.00
# 
  0.4   0.7   0.55     7.0         8.5         8.38      -8.58     -0.20              8.19  +0.04  -0.03
  0.4   0.7   0.55     8.5         9.0         8.82      -9.02     -0.20              8.25  +0.05  -0.05
  0.4   0.7   0.55     9.0         9.5         9.34      -9.45     -0.11              8.35  +0.13  -0.07
  0.4   0.7   0.55     9.5         10.0        9.69      -9.41     +0.28              8.44  +0.09  -0.08
  0.4   0.7   0.55     10.0        10.5        10.12     -9.37     +0.75              8.59  +0.02  -0.11
  0.4   0.7   0.55     10.5        11.0        10.53     -9.57     +0.96              8.64  +0.05  -0.01
# 
  0.7   0.9   0.80     7.0         8.5         8.10      -7.58     +0.52              8.04  +0.12  -0.03
  0.7   0.9   0.80     8.5         9.0         8.73      -8.07     +0.66              8.17  +0.18  -0.20
  0.7   0.9   0.80     9.0         9.5         9.34      -9.13     +0.21              8.33  +0.11  -0.07
  0.7   0.9   0.80     9.5         10.0        9.73      -9.21     +0.52              8.44  +0.11  -0.09
  0.7   0.9   0.80     10.0        10.5        10.21     -9.23     +0.98              8.60  +0.07  -0.08
  0.7   0.9   0.80     10.5        11.0        10.74     -9.54     +1.20              8.69  +0.04  -0.05
# 
  0.9   1.8   1.35     7.0         8.5         -99       -99       -99                -99   -99    -99  
  0.9   1.8   1.35     8.5         9.0         8.74      -7.98     +0.76              7.49  +0.00  -0.00
  0.9   1.8   1.35     9.0         9.5         9.20      -8.88     +0.32              8.08  +0.05  -0.05
  0.9   1.8   1.35     9.5         10.0        9.81      -8.81     +1.00              8.41  +0.04  -0.06
  0.9   1.8   1.35     10.0        10.5        10.24     -8.67     +1.57              8.52  +0.02  -0.03
  0.9   1.8   1.35     10.5        11.0        10.68     -9.12     +1.56              8.54  +0.07  -0.03
# 
  1.8   2.8   2.30     7.0         8.5         -99       -99       -99                -99   -99    -99  
  1.8   2.8   2.30     8.5         9.0         8.74      -7.22     +1.52              8.12  +0.01  -0.01
  1.8   2.8   2.30     9.0         9.5         9.28      -7.69     +1.59              8.25  +0.03  -0.05
  1.8   2.8   2.30     9.5         10.0        9.69      -8.17     +1.52              8.24  +0.08  -0.02
  1.8   2.8   2.30     10.0        10.5        10.18     -8.76     +1.42              8.28  +0.09  -0.07
  1.8   2.8   2.30     10.5        11.0        10.89     -9.21     +1.68              8.46  +0.03  -0.14
# 
  2.8   3.8   3.30     7.0         8.5         8.41      -7.90     +0.51              7.93  +0.01  -0.01
  2.8   3.8   3.30     8.5         9.0         8.82      -7.61     +1.21              7.88  +0.01  -0.01
  2.8   3.8   3.30     9.0         9.5         9.35      -8.09     +1.26              8.12  +0.03  -0.05
  2.8   3.8   3.30     9.5         10.0        9.71      -8.19     +1.52              8.16  +0.08  -0.02
  2.8   3.8   3.30     10.0        10.5        10.12     -8.77     +1.35              8.21  +0.09  -0.07
  2.8   3.8   3.30     10.5        11.0        10.75     -8.86     +1.89              8.19  +0.03  -0.14
# 
