對應編碼,原始編碼
ń,00a1
ǹ,00a2
n̂,00a3
n̄,00a4
O͘,00a5
Ó͘,00a6
Ò͘,00a7
Ô͘,00a8
Ō͘,00aa
O̍͘,00ab
o͘,00ac
ó͘,00af
ⁿ,00b0
ò͘,00b1
ô͘,00b2
ō͘,00b3
o̍͘,00b4
Á,00c1
À,00c0
Â,00c3
Ā,00c4
A̍,00c5
E̍,00c7
È,00c8
É,00c9
Ê,00ca
Ē,00cb
Ì,00cc
Í,00cd
Î,00ce
N̍,00d1
Ò,00d2
Ó,00d3
Ô,00d4
O̍,00d5
Ō,00d6
à,00e0
á,00e1
â,00e2
a̍,00e3
ā,00e4
e̍,00e7
è,00e8
é,00e9
ê,00ea
ē,00eb
ì,00ec
í,00ed
î,00ee
n̍,00f1
ò,00f2
ó,00f3
ô,00f4
o̍,00f5
ō,00f6
ù,00f9
ú,00fa
û,00fb
ū,00fc
u̍,00fd
Ā,0100
ā,0101
Ē,0112
ē,0113
Ī,012a
ī,012b
Ń,0143
ń,00a1
Ō,00d6
ō,00f6
M̍,0152
N̂,0153
M̂,0160
Ń,0161
Ū,016a
ū,016b
N̄,0178
I̍,0192
Ǹ,01f8
ǹ,01f9
O͘,022e
o͘,022f
Ō͘,0230
ō͘,0231
Ḿ,02c6
m̄,02dc
Ḿ,1e3e
ḿ,1e3f
m̀,2013
m̂,2014
Ī,201a
ī,201e
ḿ,2022
i̍,2026
M̀,2030
M̄,2039
Ǹ,203a
ⁿ,207f
M̍,2122
