# ID     RA             Dec              z_Opt      z_CO10      SCO10  eSCO10      LPrmCO10  LPErCO10  Mstar  ehi_Mstar  elo_Mstar   SFR  ehi_SFR  elo_SFR
1        10:00:35.29    +2:43:53.2       2.38       2.607       1.05   0.08        8.7e10    1.1e10    2.6e11   +0.6e11   -0.7e11    1028  +195   -250  
2        10:00:08.91    +2:40:10.3       2.284      -99         -99    1e10        -99       1e30      -99      1e10      1e10       -99   1e10   1e10  
3        09:58:40.28    +2:05:14.7       2.416      2.414       0.50   0.07        7.4e10    1.8e10    1.8e11   +0.2e11   -0.2e11    865   +230   -60   
4        10:00:31.82    +2:12:43.2       2.104      2.104       0.29   0.06        4.0e10    1.2e10    2.5e11   +0.6e11   -0.3e11    948   +164   -294  
5        10:02:24.77    +2:32:11.6       2.287      2.287       0.55   0.13        3.9e10    1.4e10    1.1e11   +0.1e11   -0.2e11    1419  +50    -294  
6        10:02:32.09    +2:34:41.4       2.68       -99         -99    1e10        -99       1e30      0.4e11   +0.2e11   -0.2e11    356   +78    -53   
7        10:01:03.55    +1:48:10.6       2.240      2.240       0.79   0.13        5.7e10    1.4e10    1.0e11   +0.2e11   -0.2e11    1089  +10    -600  
8        09:58:37.34    +2:42:58.5       2.11       2.173       0.44   0.05        2.8e10    5.0e10    4.6e11   +0.9e11   -1.2e11    395   +204   -132  
9        10:00:03.89    +2:47:32.4       1.76       -99         -99    1e10        -99       1e30      2.2e11   +0.5e11   -0.8e11    373   +155   -82   
10       10:01:19.52    +2:09:44.7       2.934      2.934       0.26   0.04        5.4e10    1.2e10    0.47e11  +0.01e11  -0.01e11   558   +15    -13   
11       09:59:57.35    +2:03:11.3       1.942      1.941       0.58   0.07        6.9e10    1.4e10    2.0e11   +0.6e11   -0.6e11    598   +268   -117  
12       10:01:16.28    +2:42:59.4       2.340      -99         -99    1e10        0.0       2.1e10    2.0e11   +0.5e11   -0.6e11    264   +79    -61   
13       10:01:58.96    +2:06:58.6       2.400      2.400       0.74   0.09        4.1e10    7.7e10    2.4e11   +0.7e11   -0.7e11    449   +186   -170  
14       10:01:01.24    +2:28:00.6       2.264      -99         -99    1e10        -99       1e10      0.18e11  +0.1e11   -0.02e11   314   +72    -25   
15       10:00:56.68    +2:52:22.5       1.654      -99         -99    1e10        0.0       3.4e10    1.0e11   +0.5e11   -0.4e11    391   +90    -99   
16       09:59:04.39    +2:13:12.5       1.779      1.780       1.05   0.16        1.8e10    4.1e10    1.3e11   +0.1e11   -0.6e11    391   +5     -53   
