#      Source_Name               z         lgMstar             SFR           lgLIR            eLIR        LPrmCO10       eLPrmCO10         deltaMS        deltaGas          lgMISM        cosmoAge
# 
 PEPJ123712+621753           1.249           10.62         43.6516           11.64            0.05         4.2e+09         1.1e+09       0.0444904        0.463455          10.286         4.90784
 PEPJ123709+621507           1.224           10.36         38.0189           11.58            0.06         7.5e+09         1.6e+09         0.18203         1.50598         10.5378         4.98513
 PEPJ123759+621732           1.084           10.58         28.8403           11.46            0.05         9.3e+09         2.3e+09      -0.0165714         1.12523         10.6312         5.45571
 PEPJ123721+621346           1.021           10.53         44.6684           11.65            0.01         7.3e+09         2.4e+09        0.246802        0.991016         10.5261         5.69057
 PEPJ123615+621008           1.027            10.9          60.256           11.78            0.01         7.9e+09         1.5e+09         0.11675        0.457493         10.5604         5.66753
 PEPJ123634+620627           1.215           11.06         89.1251           11.95            0.03         7.1e+09         1.3e+09       0.0597846        0.284457          10.514         5.01343
 PEPJ123633+621005           1.016           10.97          74.131           11.87            0.01        1.44e+10         3.5e+09        0.165685        0.709774         10.8211         5.70988
 PEPJ123646+621141           1.016           11.06          40.738           11.61            0.01         7.4e+09         1.6e+09       -0.156554        0.296476          10.532         5.70988
 PEPJ123750+621600            1.17           11.31         38.0189           11.58            0.03         1.3e+10         1.9e+09       -0.460871        0.292888         10.7767          5.1588
