# ID        z       lgMstar  SFR   metalZ_PP04_N2  metalZ_PP04_N2_err   metalZ_PP04_O3N2  metalZ_PP04_O3N2_err
42044579    1.0180  10.26    3               8.54  0.18                             8.41  0.14     
22046630    1.0225  10.29    3               8.37  0.18                             8.32  0.14     
22046748    1.0241  10.28    2               8.55  0.18                             8.39  0.14     
42044575    1.0490  9.74     6               8.43  0.18                             8.32  0.14     
42010638    1.3877  10.21    9               8.46  0.19                             8.27  0.15     
42010637    1.3882  9.96     4               8.70  0.18                             8.60  0.15     
42021412    1.3962  10.89    7               8.54  0.18                              -99   -99     
42021652    1.3984  -99      5               8.38  0.19                             8.33  0.15     
