# Source           z        FLUX_850_mJy   Gamma_RJ_tail   S_CO10_Jykms      M_ISM        L_850
HXMM01             2.31     27.0           2.6             1.73            20.1e11      10.5e31
SPT-S053816-       2.79     125.0          3.2             1.20            19.3e11      47.9e31
HATLASJ08493       2.41     19.0           2.7             0.56             7.0e11       7.1e31
H-ATLASJ0903       2.31     54.7           2.6             1.00            11.6e11      21.2e31
H-ATLASJ0913       2.63     36.7           3.0             0.76            11.1e11      14.6e31
H-ATLASJ0918       2.58     18.8           2.9             1.04            14.7e11       7.4e31
HLSW-01            2.96     52.8           3.5             1.14            20.2e11      21.4e31
H-ATLASJ1132       2.58     106.0          2.9             0.66             9.3e11       4.9e31
H-ATLASJ1158       2.19     107.0          2.5             0.74             7.9e11       4.9e31
H-ATLASJ1336       2.20     36.8           2.5             0.93            10.0e11      14.3e31
H-ATLASJ1344       2.30     73.1           2.6             2.74            31.7e11      28.4e31
H-ATLASJ1413       2.48     33.3           2.8             1.47            19.4e11      13.1e31
SMMJ2135-010       2.33     106.0          2.6             2.25            26.5e11      39.4e31
SPT-S233227-       2.73     150.0          3.1             1.70            26.4e11      57.3e31
SMMJ123549.4       2.20     8.3            2.5             0.32             3.4e11       2.8e31
SMMJ123707.2       2.49     10.7           2.8             0.91            12.1e11       3.7e31
SMMJ163650.4       2.38     8.2            2.7             0.34             4.2e11       2.8e31
SMMJ163658.1       2.45     10.7           2.8             0.37             4.8e11       3.7e31
EROJ164502+4       1.44     4.9            1.8             0.60             3.0e11       1.5e31
SMMJ02399-01       2.81     23.0           3.3             0.60             9.8e11       8.1e31
SMMJ04135+10       2.85     25.0           3.3             0.64            10.7e11       8.8e31
SMMJ04431+02       2.51     7.2            2.8             0.26             3.5e11       2.5e31
SMMJ14009+02       2.93     15.6           3.5             0.31             5.4e11       5.5e31
SMMJ14011+02       2.57     12.3           2.9             0.40             5.6e11       4.3e31
SMMJ163555.2       2.52     12.5           2.9             0.22             3.0e11       4.3e31
SMMJ163554.2       2.52     15.9           2.9             0.40             5.4e11       5.5e31
SMMJ163550.9       2.52     8.4            2.9             0.30             4.1e11       2.9e31
HATLASJ08493       2.41     25.0           2.7             0.49             6.1e11       9.4e31
