# Source                   z          Mstar          Mstar_err      Mdust          Mdust_err           Mgas       Mgas_err                SFR      SFR_err    LPrmCO10     alphaCO  alphaCO_err  Z_PP04
# 
ID-8049                    0.507      9.333E+10      0              6.457E+08      8.393E+07      3.955e+10      1.623e+10          16.595869     0.331917   2.951e+09     13.4     5.5          8.80  
ID-5819                    0.530      6.457E+10      0              1.660E+08      1.660E+07      1.254e+10      4.405e+09          18.197009     0.181970   3.388e+09     3.7      1.3          8.76  
ID-7691                    0.637      6.761E+10      0              1.905E+08      1.905E+07      1.446e+10      6.026e+09          34.673685     1.040211   6.026e+09     2.4      1.0          8.74  
BzK-4171                   1.465      3.981E+10      0              5.012E+08      4.177E+07      5.223E+10      1.306E+10          95.499259     3.819970   2.089e+10     2.5      1.1          8.59  
BzK-12591                  1.600      1.096E+11      0              1.230E+09      1.025E+08      1.202E+11      3.004E+10         275.422870     5.508457   3.162e+10     3.8      2.0          8.63  
BzK-25536                  1.459      3.236E+10      0              3.311E+08      7.972E+07      3.642E+10      9.105E+09          28.840315     1.730419   1.175e+10     3.1      2.1          8.56  
BzK-17999                  1.523      3.890E+10      0              1.175E+09      6.527E+07      6.623E+10      1.656E+10         208.929613     2.089296   1.698e+10     3.9      1.2          8.58  
BzK-16000                  1.522      4.266E+10      0              1.288E+09      8.350E+07      2.027E+11      5.067E+10          74.131024     2.223931   2.089e+10     9.7      3.1          8.53  
BzK-21000                  1.414      7.762E+10      0              6.026E+08      3.905E+07      1.247E+11      3.118E+10         114.815362     2.296307   2.188e+10     5.7      2.0          8.60  

# 
# From Magdis et al. 2012, doi:10.1088/0004-637X/760/1/6
# The z~2 SED paper not the z~3 LBG paper.
# 
# SFR = L_IR / 1e10
# 
# Mdust, L_IR from full SED fitting
# 
# Mgas = LPrmCO * alphaCO
# 
# alphaCO from Z_PP04, Z_PP04 from Mstar and SFR.
# 
# 
