PDGID,EVTGENNAME
100223,omega(2S)
10335,eta_2(1870)
100311,K(1460)0
-100311,anti-K(1460)0
100321,K(1460)+
-100321,K(1460)-
100315,K*_2(1980)0
-100315,anti-K*_2(1980)0
100325,K*_2(1980)+
-100325,K*_2(1980)-
20423,D'_10
-20423,anti-D'_10
20413,D'_1+
-20413,D'_1-
10413,D_1+
-10413,D_1-
100421,D(2S)0
-100421,anti-D(2S)0
100411,D(2S)+
-100411,D(2S)-
100423,D*(2S)0
-100423,anti-D*(2S)0
100413,D*(2S)+
-100413,D*(2S)-
510,B0H
150,B0L
10511,B_0*0
-10511,anti-B_0*0
10521,B_0*+
-10521,B_0*-
20513,B'_10
-20513,anti-B'_10
20523,B'_1+
-20523,B'_1-
10513,B_10
-10513,anti-B_10
10523,B_1+
-10523,B_1-
530,B_s0H
350,B_s0L
10531,B_s0*0
-10531,anti-B_s0*0
20533,B'_s10
-20533,anti-B'_s10
10533,B_s10
-10533,anti-B_s10
543,B_c*+
-543,B_c*-
10541,B_c0*+
-10541,B_c0*-
10543,B_c1+
-10543,B_c1-
20543,B'_c1+
-20543,B'_c1-
545,B_c2*+
-545,B_c2*-
9920443,X_1(3872)
9910445,X_2(3872)
9042413,Z(4430)+
-9042413,Z(4430)-
551,eta_b
100551,eta_b(2S)
200551,eta_b(3S)
10555,eta_b2(1D)
110555,eta_b2(2D)
130553,Upsilon_1(2D)
20555,Upsilon_2(1D)
120555,Upsilon_2(2D)
557,Upsilon_3(1D)
100557,Upsilon_3(2D)
210551,chi_b0(3P)
220553,chi_b1(3P)
200555,chi_b2(3P)
110553,h_b(2P)
210553,h_b(3P)
41214,N(1900)0
-41214,anti-N(1900)0
42124,N(1900)+
-42124,anti-N(1900)-
12118,N(1990)0
-12118,anti-N(1990)0
12218,N(1990)+
-12218,anti-N(1990)-
52114,N(2090)0
-52114,anti-N(2090)0
52214,N(2090)+
-52214,anti-N(2090)-
103212,Sigma(2250)0
-103212,anti-Sigma(2250)0
103222,Sigma(2250)+
-103222,anti-Sigma(2250)-
103112,Sigma(2250)-
-103112,anti-Sigma(2250)+
4412,Xi_cc+
-4412,anti-Xi_cc-
4414,Xi_cc*+
-4414,anti-Xi_cc*-
4422,Xi_cc++
-4422,anti-Xi_cc--
4424,Xi_cc*++
-4424,anti-Xi_cc*--
4432,Omega_cc+
-4432,anti-Omega_cc-
4434,Omega_cc*+
-4434,anti-Omega_cc*-
4444,Omega*_ccc++
-4444,anti-Omega*_ccc--
15122,Lambda_b(5912)0
-15122,anti-Lambda_b(5912)0
5124,Lambda_b(5920)0
-5124,anti-Lambda_b(5920)0
5212,Sigma_b0
-5212,anti-Sigma_b0
5214,Sigma_b*0
-5214,anti-Sigma_b*0
5312,Xi'_b-
-5312,anti-Xi'_b+
5322,Xi'_b0
-5322,anti-Xi'_b0
5314,Xi_b*-
-5314,anti-Xi_b*+
5324,Xi_b*0
-5324,anti-Xi_b*0
5334,Omega_b*-
-5334,anti-Omega_b*+
5142,Xi_bc0
-5142,anti-Xi_bc0
5242,Xi_bc+
-5242,anti-Xi_bc-
5342,Omega_bc0
-5342,anti-Omega_bc0
5412,Xi'_bc0
-5412,anti-Xi'_bc0
5414,Xi*_bc0
-5414,anti-Xi*_bc0
5422,Xi'_bc+
-5422,anti-Xi'_bc-
5424,Xi*_bc+
-5424,anti-Xi*_bc+
5432,Omega'_bc0
-5432,anti-Omega'_bc0
5434,Omega*_bc0
-5434,anti-Omega*_bc0
5442,Omega_bcc+
-5442,anti-Omega_bcc-
5444,Omega*_bcc+
-5444,anti-Omega*_bcc-
5512,Xi_bb-
-5512,anti-Xi_bb+
5514,Xi*_bb-
-5514,anti-Xi*_bb+
5522,Xi_bb0
-5522,anti-Xi_bb0
5524,Xi*_bb0
-5524,anti-Xi*_bb0
5532,Omega_bb-
-5532,anti-Omega_bb+
5534,Omega*_bb-
-5534,anti-Omega*_bb+
5542,Omega_bbc0
-5542,anti-Omega_bbc0
5544,Omega*_bbc0
-5544,anti-Omega*_bbc0
5554,Omega*_bbb-
-5554,anti-Omega*_bbb+
1000010020,deuteron
1000010030,tritium
1000020040,alpha
480000000,geantino
20022,Cerenkov
35,Higgs'0
36,A0
37,Higgs+
-37,Higgs-
7,b'
-7,anti-b'
8,t'
-8,anti-t'
17,L-
-17,L+
18,nu_L
-18,anti-nu_L
32,Z'0
33,Z''0
34,W'+
-34,W'-
41,R0
-41,anti-R0
43,Xu0
44,Xu+
-44,Xu-
81,specflav
82,rndmflav
-82,anti-rndmflav
83,phasespa
84,c-hadron
-84,anti-c-hadron
85,b-hadron
-85,anti-b-hadron
86,t-hadron
-86,anti-t-hadron
87,b'-hadron
-87,anti-b'-hadron
88,junction
90,system
91,cluster
92,string
